a0_min        Y1_intercept  Y2_intercept  Y3_intercept  LogPost       
  0.101294E+03  0.238963E-03  0.426020E-03  0.486942E-03  0.147820E+03
  0.101294E+03  0.238963E-03  0.426020E-03  0.486942E-03  0.147820E+03
  0.101294E+03  0.238963E-03  0.426020E-03  0.486942E-03  0.147820E+03
  0.101294E+03  0.238963E-03  0.426020E-03  0.486942E-03  0.147820E+03
  0.101294E+03  0.238963E-03  0.426020E-03  0.486942E-03  0.147820E+03
  0.101294E+03  0.288242E-03  0.426020E-03  0.486942E-03  0.147729E+03
  0.101294E+03  0.288242E-03  0.426020E-03  0.486942E-03  0.147729E+03
  0.101208E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.147331E+03
  0.101208E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.147331E+03
  0.101208E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.147331E+03
  0.101208E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.147331E+03
  0.101208E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.147331E+03
  0.101208E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.147331E+03
  0.101208E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.147331E+03
  0.101729E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.146992E+03
  0.101729E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.146992E+03
  0.101729E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.146992E+03
  0.101729E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.146992E+03
  0.101729E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.146992E+03
  0.101729E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.146992E+03
  0.101729E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.146992E+03
  0.101729E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.146992E+03
  0.101729E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.146992E+03
  0.101729E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.146992E+03
  0.100093E+03  0.288242E-03  0.498801E-03  0.486942E-03  0.146054E+03
