a0_min        a1_min        a2_min        a3_min        a4_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.100576E+03  0.344252E+01  0.631374E+01 -0.749593E+00  0.122457E+02  0.206372E-02  0.414128E-04  0.906351E-04  0.187482E-03  0.134959E-03  0.113515E-02  0.742560E-03  0.121471E-02  0.139936E+03
  0.100576E+03 -0.141168E+01  0.631374E+01 -0.749593E+00  0.122457E+02  0.206372E-02  0.414128E-04  0.302925E-02  0.187482E-03  0.793098E-04  0.203874E-03  0.742560E-03  0.989811E-03  0.137503E+03
  0.100576E+03 -0.141168E+01  0.631374E+01 -0.749593E+00  0.141145E+02  0.206372E-02  0.414128E-04  0.302925E-02  0.187482E-03  0.123160E-03  0.203874E-03  0.742560E-03  0.989811E-03  0.137387E+03
  0.100576E+03  0.373180E+01  0.631374E+01 -0.749593E+00  0.186809E+02  0.206372E-02  0.414128E-04  0.510593E-02  0.187482E-03  0.123160E-03  0.203874E-03  0.742560E-03  0.989811E-03  0.135444E+03
  0.100576E+03  0.373180E+01  0.631374E+01  0.752126E+01  0.137316E+02  0.206372E-02  0.414128E-04  0.510593E-02  0.856501E-04  0.123160E-03  0.203874E-03  0.742560E-03  0.989811E-03  0.137147E+03
  0.100576E+03  0.373180E+01  0.631374E+01  0.107340E+02 -0.505525E+01  0.417744E-02  0.414128E-04  0.154229E-01  0.856501E-04  0.345233E-02  0.203874E-03  0.742560E-03  0.989811E-03  0.127965E+03
  0.100576E+03  0.373180E+01 -0.102333E+02  0.185273E+02  0.662023E+01  0.318460E-02  0.113076E-02  0.146208E-01  0.856501E-04  0.345233E-02  0.203874E-03  0.742560E-03  0.989811E-03  0.125013E+03
  0.100576E+03  0.546745E+01 -0.102333E+02  0.184357E+02  0.662023E+01  0.720992E-02  0.113076E-02  0.146208E-01  0.856501E-04  0.345233E-02  0.203874E-03  0.742560E-03  0.989811E-03  0.122925E+03
  0.100576E+03  0.546745E+01  0.535627E+01  0.184357E+02  0.323863E+00  0.720992E-02  0.113076E-02  0.103240E-01  0.856501E-04  0.382830E-02  0.203874E-03  0.742560E-03  0.989811E-03  0.125278E+03
  0.100576E+03  0.546745E+01 -0.674240E+01  0.759640E+01 -0.697854E-01  0.720992E-02  0.729485E-05  0.103240E-01  0.856501E-04  0.382830E-02  0.203874E-03  0.742560E-03  0.989811E-03  0.127264E+03
  0.100576E+03  0.546745E+01 -0.528434E+01  0.759640E+01 -0.845332E+01  0.720992E-02  0.729485E-05  0.105003E-01  0.856501E-04  0.319681E-02  0.203874E-03  0.742560E-03  0.327998E-03  0.129970E+03
  0.100576E+03  0.546745E+01 -0.528434E+01  0.125142E+02  0.134510E+01  0.866806E-02  0.729485E-05  0.870153E-02  0.856501E-04  0.319681E-02  0.203874E-03  0.742560E-03  0.327998E-03  0.129431E+03
  0.100576E+03  0.546745E+01  0.533362E+01  0.155524E+02  0.169354E+01  0.766212E-02  0.729485E-05  0.870153E-02  0.856501E-04  0.319681E-02  0.203874E-03  0.742560E-03  0.387194E-03  0.129637E+03
  0.100576E+03  0.546745E+01  0.533362E+01  0.131873E+02 -0.194323E+01  0.186543E-02  0.729485E-05  0.118585E-01  0.856501E-04  0.319681E-02  0.203874E-03  0.742560E-03  0.387194E-03  0.132822E+03
  0.100576E+03  0.546745E+01 -0.248879E+00  0.143332E+02 -0.194323E+01  0.186543E-02  0.729485E-05  0.118585E-01  0.364340E-03  0.639658E-03  0.203874E-03  0.742560E-03  0.387194E-03  0.136823E+03
  0.100576E+03  0.546745E+01 -0.248879E+00  0.100835E+02 -0.988101E+01  0.186543E-02  0.729485E-05  0.770481E-02  0.364340E-03  0.639658E-03  0.573552E-04  0.742560E-03  0.387194E-03  0.137964E+03
  0.101883E+03  0.112788E+01  0.423646E+01  0.120901E+02  0.462365E+01  0.186543E-02  0.729485E-05  0.326474E-02  0.364340E-03  0.114549E-03  0.574667E-03  0.215385E-02  0.387194E-03  0.138607E+03
  0.101883E+03  0.112788E+01  0.559401E+00  0.120901E+02  0.462365E+01  0.186543E-02  0.729485E-05  0.326474E-02  0.364340E-03  0.114549E-03  0.574667E-03  0.215385E-02  0.387194E-03  0.138639E+03
  0.101883E+03  0.112788E+01  0.735211E+00  0.104112E+02  0.462365E+01  0.186543E-02  0.729485E-05  0.326474E-02  0.364340E-03  0.114549E-03  0.574667E-03  0.215385E-02  0.387194E-03  0.138801E+03
  0.101883E+03  0.418444E+00  0.352206E+01  0.104112E+02  0.175078E+02  0.186543E-02  0.729485E-05  0.326474E-02  0.364340E-03  0.114549E-03  0.574667E-03  0.348852E-02  0.387194E-03  0.136929E+03
  0.101883E+03  0.308968E+01  0.352206E+01  0.104112E+02  0.257645E+02  0.186543E-02  0.705883E-03  0.326474E-02  0.364340E-03  0.114549E-03  0.574667E-03  0.289176E-02  0.387194E-03  0.135778E+03
  0.101883E+03  0.308968E+01  0.591201E+01  0.104112E+02  0.151207E+02  0.186543E-02  0.705883E-03  0.326474E-02  0.364340E-03  0.114549E-03  0.574667E-03  0.289176E-02  0.387194E-03  0.137217E+03
  0.101883E+03  0.308968E+01  0.591201E+01  0.293188E+01  0.985370E+01  0.186543E-02  0.705883E-03  0.326474E-02  0.364340E-03  0.301231E-03  0.574667E-03  0.289176E-02  0.387194E-03  0.136937E+03
  0.101883E+03  0.308968E+01  0.448143E+00  0.293188E+01  0.985370E+01  0.186543E-02  0.705883E-03  0.326474E-02  0.364340E-03  0.301231E-03  0.574667E-03  0.289176E-02  0.387194E-03  0.136513E+03
  0.101883E+03  0.548570E+01  0.211261E+01  0.293188E+01  0.855725E+01  0.186543E-02  0.705883E-03  0.172970E-02  0.364340E-03  0.301231E-03  0.574667E-03  0.289176E-02  0.387194E-03  0.137853E+03
  0.101883E+03  0.548570E+01  0.211261E+01  0.258754E+02  0.776430E+01  0.186543E-02  0.705883E-03  0.172970E-02  0.364340E-03  0.301231E-03  0.574667E-03  0.289176E-02  0.387194E-03  0.137581E+03
  0.101883E+03  0.883838E+01  0.211261E+01  0.126132E+02  0.776430E+01  0.190526E-02  0.705883E-03  0.172970E-02  0.364340E-03  0.301231E-03  0.574667E-03  0.289176E-02  0.387194E-03  0.137435E+03
  0.101883E+03  0.883838E+01  0.211261E+01  0.126132E+02  0.664077E+01  0.190526E-02  0.220026E-03  0.410925E-02  0.364340E-03  0.301231E-03  0.574667E-03  0.139565E-02  0.387194E-03  0.137779E+03
  0.101883E+03  0.883838E+01  0.211261E+01  0.126132E+02  0.189882E+02  0.190526E-02  0.352232E-02  0.410925E-02  0.364340E-03  0.301231E-03  0.906101E-03  0.139565E-02  0.387194E-03  0.132640E+03
  0.101883E+03 -0.175636E+01  0.418685E+01  0.131822E+02  0.596807E+01  0.190526E-02  0.169580E-02  0.130470E-02  0.364340E-03  0.301231E-03  0.906101E-03  0.191052E-02  0.387194E-03  0.135734E+03
  0.101883E+03 -0.121288E+01  0.418685E+01  0.131822E+02  0.268998E+01  0.190526E-02  0.283834E-02  0.130470E-02  0.364340E-03  0.301231E-03  0.906101E-03  0.191052E-02  0.387194E-03  0.134694E+03
  0.101883E+03 -0.949007E+00  0.566143E+01  0.131822E+02  0.268998E+01  0.190526E-02  0.269867E-02  0.130470E-02  0.364340E-03  0.338486E-03  0.906101E-03  0.191052E-02  0.387194E-03  0.134693E+03
  0.101883E+03 -0.949007E+00  0.407409E+01  0.797431E+01  0.268998E+01  0.215784E-02  0.269867E-02  0.314467E-03  0.364340E-03  0.338486E-03  0.906101E-03  0.191052E-02  0.387194E-03  0.136732E+03
  0.101883E+03  0.871297E+01  0.843054E+01  0.961522E+01  0.428694E+00  0.273707E-02  0.269867E-02  0.314467E-03  0.364340E-03  0.338486E-03  0.906101E-03  0.199787E-02  0.387194E-03  0.135862E+03
