MNT_SURFAC;ZLIDAR;X;Y
248.85000;248.908;886581.97;6559035.38
248.85000;248.908;886580.13;6559034.61
248.86000;248.919;886578.30;6559033.84
248.86000;248.919;886576.46;6559033.08
248.88000;248.890;886574.63;6559032.31
248.87000;248.883;886572.79;6559031.54
248.86000;248.883;886570.96;6559030.77
248.86000;248.922;886569.12;6559030.00
248.87000;248.922;886567.29;6559029.23
248.88000;248.922;886565.45;6559028.47
248.86000;248.908;886563.62;6559027.70
248.83000;248.908;886561.78;6559026.93
248.80000;248.921;886559.95;6559026.16
248.78000;248.921;886558.11;6559025.39
248.75000;248.921;886556.27;6559024.62
248.72000;248.921;886554.44;6559023.86
248.69000;248.929;886552.60;6559023.09
248.66000;248.929;886550.77;6559022.32
248.67000;248.929;886548.93;6559021.55
248.67000;248.919;886547.10;6559020.78
248.68000;248.919;886545.26;6559020.01
248.68000;248.919;886543.43;6559019.25
248.68000;248.924;886541.59;6559018.48
248.67000;248.880;886539.76;6559017.71
248.66000;248.962;886537.92;6559016.94
248.66000;248.962;886536.09;6559016.17
248.65000;248.918;886534.25;6559015.41
248.67000;248.918;886532.42;6559014.64
248.68000;248.931;886530.58;6559013.87
248.72000;248.910;886528.74;6559013.10
248.75000;248.910;886526.91;6559012.33
248.76000;248.921;886525.07;6559011.56
248.75000;248.911;886523.24;6559010.80
248.75000;248.911;886521.40;6559010.03
248.89000;248.912;886519.57;6559009.26
249.02000;248.912;886517.73;6559008.49
249.08000;248.918;886515.90;6559007.72
249.01000;248.910;886514.06;6559006.95
248.88000;248.910;886512.23;6559006.19
248.76000;248.910;886510.39;6559005.42
248.67000;248.914;886508.56;6559004.65
248.66000;248.898;886506.72;6559003.88
248.66000;248.950;886504.89;6559003.11
248.67000;248.950;886503.05;6559002.34
248.69000;248.941;886501.22;6559001.58
248.69000;248.940;886499.38;6559000.81
248.69000;248.940;886497.54;6559000.04
248.69000;248.923;886495.71;6558999.27
248.69000;248.975;886493.87;6558998.50
248.69000;248.938;886492.04;6558997.73
248.69000;248.938;886490.20;6558996.97
248.70000;248.917;886488.37;6558996.20
248.73000;248.914;886486.53;6558995.43
248.72000;248.914;886484.70;6558994.66
248.68000;248.904;886482.86;6558993.89
248.68000;248.934;886481.03;6558993.13
248.66000;248.944;886479.19;6558992.36
248.66000;248.896;886477.36;6558991.59
248.71000;248.948;886475.52;6558990.82
248.79000;248.912;886473.69;6558990.05
248.98000;248.912;886471.85;6558989.28
249.07000;248.912;886470.02;6558988.52
248.97000;248.894;886468.18;6558987.75
248.82000;248.894;886466.34;6558986.98
248.68000;248.938;886464.51;6558986.21
248.76000;248.938;886462.67;6558985.44
248.91000;248.954;886460.84;6558984.67
248.93000;248.954;886459.00;6558983.91
248.88000;248.907;886457.17;6558983.14
248.88000;249.001;886455.33;6558982.37
248.84000;248.928;886453.50;6558981.60
248.79000;248.928;886451.66;6558980.83
248.72000;248.928;886449.83;6558980.06
248.68000;248.981;886447.99;6558979.30
248.64000;248.905;886446.03;6558979.00
248.64000;248.905;886444.07;6558978.70
248.71000;248.903;886442.10;6558978.40
248.78000;248.903;886440.14;6558978.10
248.82000;248.893;886438.17;6558977.80
248.91000;248.917;886436.21;6558977.50
249.04000;248.938;886434.25;6558977.21
249.04000;248.936;886432.28;6558976.91
249.05000;248.911;886430.32;6558976.61
248.93000;248.911;886428.36;6558976.31
248.79000;248.888;886426.39;6558976.01
248.64000;248.888;886424.43;6558975.71
248.65000;248.888;886422.47;6558975.41
248.66000;248.899;886420.50;6558975.11
248.66000;248.899;886418.54;6558974.82
248.76000;248.899;886416.58;6558974.52
248.89000;248.921;886414.61;6558974.22
249.00000;248.921;886412.65;6558973.92
249.07000;248.904;886410.69;6558973.62
248.96000;248.931;886408.72;6558973.32
248.77000;248.931;886406.76;6558973.02
248.62000;248.931;886404.80;6558972.72
248.62000;248.914;886402.83;6558972.42
248.63000;248.914;886400.87;6558972.13
248.63000;248.914;886398.91;6558971.83
248.63000;248.918;886396.94;6558971.53
248.64000;248.918;886394.98;6558971.23
248.65000;249.005;886393.02;6558970.93
248.65000;249.005;886391.05;6558970.63
248.67000;249.042;886389.09;6558970.33
248.74000;249.042;886387.13;6558970.03
248.83000;249.042;886385.16;6558969.74
248.90000;249.042;886383.20;6558969.44
248.97000;249.008;886381.24;6558969.14
248.99000;249.008;886379.27;6558968.84
248.94000;249.008;886377.31;6558968.54
248.92000;249.001;886375.35;6558968.24
248.88000;249.001;886373.38;6558967.94
248.86000;249.001;886371.42;6558967.64
248.83000;249.001;886369.46;6558967.35
248.84000;249.001;886367.49;6558967.05
248.85000;249.001;886365.53;6558966.75
248.88000;249.001;886363.57;6558966.45
248.91000;249.021;886361.60;6558966.15
248.94000;249.021;886359.64;6558965.85
249.00000;249.021;886357.68;6558965.55
249.03000;249.021;886355.71;6558965.25
249.05000;249.021;886353.75;6558964.96
249.05000;249.021;886351.79;6558964.66
249.06000;249.021;886349.82;6558964.36
249.07000;0.000;886347.86;6558964.06
249.08000;0.000;886345.90;6558963.76
249.08000;0.000;886343.93;6558963.46
249.08000;0.000;886341.97;6558963.16
249.08000;0.000;886340.01;6558962.86
249.08000;0.000;886338.04;6558962.57
249.09000;0.000;886336.08;6558962.27
249.13000;0.000;886334.12;6558961.97
249.15000;0.000;886332.15;6558961.67
249.17000;0.000;886330.19;6558961.37
249.19000;0.000;886328.23;6558961.07
249.21000;0.000;886326.26;6558960.77
249.24000;0.000;886324.30;6558960.47
249.26000;0.000;886322.34;6558960.18
249.27000;248.995;886320.37;6558959.88
249.28000;248.925;886318.41;6558959.58
249.18000;248.925;886316.45;6558959.28
249.13000;0.000;886314.48;6558958.98
249.09000;0.000;886312.52;6558958.68
249.07000;0.000;886310.56;6558958.38
249.09000;0.000;886308.59;6558958.08
249.06000;0.000;886306.63;6558957.79
249.05000;0.000;886304.67;6558957.49
249.05000;0.000;886302.70;6558957.19
249.08000;0.000;886300.74;6558956.89
249.11000;0.000;886298.78;6558956.59
249.14000;0.000;886296.81;6558956.29
249.14000;0.000;886294.85;6558955.99
249.14000;0.000;886292.89;6558955.69
249.14000;248.977;886290.92;6558955.40
249.13000;248.977;886288.96;6558955.10
249.14000;248.977;886287.00;6558954.80
249.14000;248.977;886285.03;6558954.50
249.14000;248.977;886283.07;6558954.20
249.14000;248.977;886281.11;6558953.90
249.13000;248.977;886279.14;6558953.60
249.13000;249.025;886277.18;6558953.30
249.12000;249.025;886275.22;6558953.00
249.11000;249.025;886273.25;6558952.71
249.10000;249.027;886271.29;6558952.41
249.10000;249.027;886269.33;6558952.11
249.09000;249.027;886267.36;6558951.81
