a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        
   0.101026E+03   0.313094E-03   0.542831E-03   0.975578E-03   0.429449E-03   0.559941E-03   0.158142E-02   0.109161E-03   0.386540E-02   0.139999E+03
   0.101026E+03   0.313094E-03   0.542831E-03   0.975578E-03   0.274337E-03   0.559941E-03   0.158142E-02   0.109161E-03   0.328962E-02   0.140682E+03
   0.101026E+03   0.160914E-03   0.542831E-03   0.975578E-03   0.390637E-03   0.182241E-03   0.158142E-02   0.109161E-03   0.328962E-02   0.141389E+03
   0.101026E+03   0.160914E-03   0.542831E-03   0.975578E-03   0.390637E-03   0.182241E-03   0.158142E-02   0.316056E-03   0.328962E-02   0.141175E+03
   0.101026E+03   0.160914E-03   0.542831E-03   0.147163E-02   0.390637E-03   0.182241E-03   0.158142E-02   0.316056E-03   0.404771E-02   0.139681E+03
   0.101026E+03   0.160914E-03   0.562472E-03   0.941750E-03   0.397321E-03   0.182241E-03   0.158142E-02   0.316056E-03   0.404771E-02   0.140588E+03
   0.101026E+03   0.160914E-03   0.562472E-03   0.941750E-03   0.397321E-03   0.182241E-03   0.158142E-02   0.316056E-03   0.359433E-02   0.140932E+03
   0.101026E+03   0.160914E-03   0.562472E-03   0.941750E-03   0.397321E-03   0.182241E-03   0.584850E-03   0.429332E-03   0.359433E-02   0.142616E+03
   0.101026E+03   0.160914E-03   0.562472E-03   0.941750E-03   0.397321E-03   0.290918E-03   0.584850E-03   0.429332E-03   0.359433E-02   0.142481E+03
   0.101026E+03   0.160914E-03   0.462325E-03   0.941750E-03   0.397321E-03   0.146413E-03   0.584850E-03   0.429332E-03   0.418919E-02   0.142440E+03
   0.101026E+03   0.160914E-03   0.462325E-03   0.941750E-03   0.397321E-03   0.146413E-03   0.584850E-03   0.429332E-03   0.945765E-03   0.146247E+03
   0.101026E+03   0.160914E-03   0.462325E-03   0.941750E-03   0.397321E-03   0.146413E-03   0.584850E-03   0.429332E-03   0.945765E-03   0.146247E+03
   0.101026E+03   0.160914E-03   0.462325E-03   0.941750E-03   0.397321E-03   0.146413E-03   0.584850E-03   0.250217E-02   0.945765E-03   0.142990E+03
   0.101026E+03   0.137894E-03   0.462325E-03   0.443251E-03   0.397321E-03   0.262704E-03   0.584850E-03   0.250217E-02   0.945765E-03   0.143922E+03
   0.101026E+03   0.137894E-03   0.462325E-03   0.443251E-03   0.738146E-03   0.262704E-03   0.584850E-03   0.352212E-02   0.945765E-03   0.142350E+03
   0.100692E+03   0.137894E-03   0.462325E-03   0.443251E-03   0.738146E-03   0.262704E-03   0.584850E-03   0.375364E-02   0.945765E-03   0.141995E+03
   0.100692E+03   0.137894E-03   0.462325E-03   0.443251E-03   0.738146E-03   0.262704E-03   0.584850E-03   0.561774E-02   0.945765E-03   0.140824E+03
