a0_min        a1_min        a2_min        a3_min        a4_min        Y1_intercept  Y2_intercept  Y3_intercept  LogPost       
  0.102329E+03  0.477976E+01  0.463763E+01  0.637483E+01  0.127794E+02  0.348741E-03  0.373879E-03  0.294076E-03  0.148851E+03
  0.102329E+03  0.512820E+01  0.463763E+01  0.637483E+01  0.127794E+02  0.348741E-03  0.373879E-03  0.294076E-03  0.148714E+03
  0.102447E+03  0.209460E+01  0.463763E+01  0.637483E+01  0.104143E+02  0.348741E-03  0.373879E-03  0.294076E-03  0.148781E+03
  0.102447E+03  0.209460E+01  0.463763E+01  0.540162E+01  0.148518E+02  0.348741E-03  0.373879E-03  0.294076E-03  0.148958E+03
  0.102447E+03  0.209460E+01  0.463763E+01  0.540162E+01  0.174168E+02  0.348741E-03  0.373879E-03  0.294076E-03  0.148902E+03
  0.102447E+03  0.529577E+01  0.463763E+01  0.540162E+01  0.174168E+02  0.348741E-03  0.373879E-03  0.294076E-03  0.148209E+03
  0.102447E+03  0.529577E+01  0.541917E+01  0.540162E+01  0.134363E+02  0.348741E-03  0.373879E-03  0.294076E-03  0.148530E+03
  0.103754E+03  0.956207E+00  0.990451E+01  0.740818E+01  0.279409E+02  0.348741E-03  0.373879E-03  0.294076E-03  0.147506E+03
  0.103754E+03 -0.940097E-01  0.109391E+02  0.102308E+02  0.279409E+02  0.348741E-03  0.373879E-03  0.294076E-03  0.146111E+03
  0.103754E+03  0.905902E+01  0.122608E+02  0.145967E+02  0.279409E+02  0.348741E-03  0.373879E-03  0.294076E-03  0.148200E+03
  0.103754E+03  0.905902E+01  0.122608E+02  0.145967E+02  0.281167E+02  0.348741E-03  0.373879E-03  0.294076E-03  0.148183E+03
  0.103754E+03  0.905902E+01  0.155487E+02  0.258749E+02  0.142815E+02  0.348741E-03  0.373879E-03  0.294076E-03  0.148096E+03
  0.103045E+03  0.118459E+02  0.155487E+02  0.258749E+02  0.142815E+02  0.348741E-03  0.373879E-03  0.294076E-03  0.147913E+03
