a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.102638E+03   0.308199E+01   0.919417E+01  -0.891206E+01   0.818864E+01   0.598206E-03   0.308807E-03   0.409074E-03   0.145341E+03
   0.102638E+03   0.308199E+01   0.302441E+01   0.138274E+01   0.699653E+01   0.598206E-03   0.308807E-03   0.409074E-03   0.146891E+03
   0.101757E+03   0.308199E+01   0.165097E+01   0.128745E+02  -0.579979E+01   0.598206E-03   0.308807E-03   0.261432E-03   0.147047E+03
   0.101757E+03   0.308199E+01   0.684424E+01   0.103633E+02   0.144697E+02   0.598206E-03   0.308807E-03   0.261432E-03   0.148772E+03
   0.101757E+03   0.308199E+01   0.310531E+01   0.103633E+02   0.587443E+01   0.598206E-03   0.308807E-03   0.261432E-03   0.148783E+03
   0.101757E+03   0.308199E+01   0.391910E+01   0.494195E+01   0.310342E+01   0.149995E-03   0.308807E-03   0.261432E-03   0.150182E+03
   0.100575E+03   0.308199E+01  -0.341304E+01   0.494195E+01   0.310342E+01   0.149995E-03   0.308807E-03   0.261432E-03   0.149397E+03
   0.100575E+03  -0.158807E+01  -0.429218E+01   0.125460E-01   0.310342E+01   0.149995E-03   0.308807E-03   0.261432E-03   0.148363E+03
   0.100528E+03  -0.158807E+01  -0.121342E+01  -0.176741E+00   0.425310E+01   0.149995E-03   0.308807E-03   0.261432E-03   0.148486E+03
   0.100528E+03  -0.158807E+01  -0.264263E+01   0.495513E+01   0.261222E+01   0.149995E-03   0.362660E-04   0.261432E-03   0.147303E+03
   0.100528E+03   0.142393E+01   0.485442E+00   0.100233E+02   0.408777E+01   0.149995E-03   0.362660E-04   0.261432E-03   0.148382E+03
   0.100654E+03   0.701568E+00  -0.293214E+01   0.100233E+02   0.171019E+02   0.149995E-03   0.362660E-04   0.261432E-03   0.144264E+03
   0.100654E+03   0.701568E+00  -0.191584E+01  -0.391489E+01   0.175614E+02   0.149995E-03   0.362660E-04   0.261432E-03   0.146763E+03
   0.103372E+03   0.701568E+00   0.991499E+00  -0.673227E+01   0.224720E+02   0.681783E-03   0.362660E-04   0.467303E-04   0.144255E+03
   0.103372E+03   0.701568E+00   0.146636E+02   0.159554E+02   0.774401E+01   0.681783E-03   0.685301E-05   0.467303E-04   0.144319E+03
   0.103372E+03   0.701568E+00   0.794631E+01   0.159554E+02   0.102111E+02   0.681783E-03   0.685301E-05   0.467303E-04   0.144723E+03
   0.103372E+03   0.412110E+01   0.897211E+01   0.117492E+02   0.110059E+02   0.418211E-03   0.685301E-05   0.467303E-04   0.149284E+03
   0.103372E+03   0.435370E+01   0.813278E+01   0.117492E+02   0.762868E+01   0.418211E-03   0.685301E-05   0.467303E-04   0.148357E+03
   0.103372E+03   0.435370E+01   0.813278E+01   0.117492E+02   0.162157E+02   0.418211E-03   0.275927E-03   0.467303E-04   0.148974E+03
   0.103372E+03   0.435370E+01   0.124904E+02   0.201688E+02   0.143092E+02   0.114514E-04   0.139048E-03   0.630056E-03   0.145872E+03
   0.103372E+03   0.765460E+01   0.916435E+01   0.201688E+02   0.648212E+01   0.273611E-04   0.139048E-03   0.634929E-03   0.147084E+03
   0.103372E+03   0.765460E+01   0.916435E+01   0.996216E+01   0.140423E+02   0.273611E-04   0.139048E-03   0.634929E-03   0.147775E+03
   0.101578E+03   0.680012E+01   0.899258E+01   0.292462E+01   0.100134E+02   0.273611E-04   0.139048E-03   0.634929E-03   0.147007E+03
   0.101578E+03   0.705184E+01   0.899258E+01   0.292462E+01   0.111026E+02   0.273611E-04   0.139048E-03   0.300044E-03   0.148079E+03
   0.101578E+03   0.705184E+01   0.899258E+01   0.213740E+02   0.108064E+02   0.273611E-04   0.139048E-03   0.182994E-03   0.148167E+03
   0.101578E+03   0.525335E+01   0.899258E+01   0.172702E+02   0.108064E+02   0.273611E-04   0.139048E-03   0.182994E-03   0.149193E+03
   0.101578E+03   0.525335E+01   0.788174E+01   0.172702E+02   0.921721E+01   0.273611E-04   0.139048E-03   0.182994E-03   0.149585E+03
   0.101578E+03   0.525335E+01   0.788174E+01   0.960234E+01   0.218363E+02   0.273611E-04   0.139048E-03   0.182994E-03   0.149073E+03
   0.101578E+03   0.525335E+01   0.788174E+01   0.933591E+01   0.218363E+02   0.121558E-03   0.139048E-03   0.182994E-03   0.149022E+03
   0.101578E+03   0.525335E+01   0.422234E+01   0.101607E+02   0.105205E+02   0.918059E-04   0.139048E-03   0.182994E-03   0.151182E+03
   0.101578E+03   0.381510E+01   0.911156E+01   0.749275E+01   0.105205E+02   0.918059E-04   0.326582E-03   0.182994E-03   0.150377E+03
   0.101578E+03   0.350465E+01   0.911156E+01   0.772130E+01   0.105205E+02   0.918059E-04   0.326582E-03   0.182994E-03   0.150341E+03
   0.101578E+03   0.350465E+01   0.911156E+01   0.584869E+01   0.105205E+02   0.306273E-03   0.326582E-03   0.182994E-03   0.150054E+03
   0.101578E+03   0.350465E+01   0.911156E+01   0.584869E+01   0.105205E+02   0.306273E-03   0.330312E-03   0.182994E-03   0.150040E+03
   0.101578E+03   0.249524E+01   0.911156E+01   0.542989E+01   0.105205E+02   0.306273E-03   0.330312E-03   0.182994E-03   0.149975E+03
   0.101931E+03   0.249524E+01   0.911156E+01   0.125487E+02   0.820444E+01   0.369128E-03   0.330312E-03   0.182994E-03   0.148970E+03
