<CdSiteHydro>;<CdStationHydro>;<CdCapteur>;<GrdSerieObsHydro>;<DtObsHydro>;<StObsHydro>;<ResObsHydro>;<QualifObsHydro>;<MethObsHydro>;<ContObsHydro>;<FLG>
"Code du site hydrométrique";"Code de la station hydrométrique";"Code du capteur";"Grandeur observée de la série";"Date d'observation hydrométrique";"Résultat de l'observation hydro";"Résultat de l'observation hydrométrique";"Qualification de la donnée de l'observation hydrométrique";"Méthode d'obtention du résultat de l'observation hydrométrique";"Continuité de la donnée de l'observation hydrométrique";<FLG>
V2942010;V294201001;;Q;"2001-01-11 03:45:00";16;223595;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-11 09:30:00";16;234557;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-11 17:00:00";16;234557;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-12 00:00:00";16;212632;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-12 10:15:00";16;207151;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-12 19:45:00";16;221697;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-13 00:00:00";16;223173;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-13 02:36:00";16;220854;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-13 08:54:00";16;163949;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-13 09:57:00";16;159989;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-13 13:00:00";16;154520;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-13 17:15:00";16;159611;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-14 05:03:00";16;155840;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-14 05:51:00";16;150937;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-14 07:24:00";16;126046;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-14 08:24:00";16;114920;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-14 10:30:00";16;108509;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-14 15:30:00";16;104084;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-15 03:42:00";16;102557;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-15 05:48:00";16;133777;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-15 10:45:00";16;150183;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-15 12:21:00";16;176584;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-15 13:15:00";16;184173;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-15 23:30:00";16;202303;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-16 09:15:00";16;179535;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-16 10:18:00";16;180589;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-16 11:42:00";16;188600;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-16 13:30:00";16;192184;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-16 18:30:00";16;193659;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-16 20:09:00";16;198719;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-16 21:27:00";16;206519;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-16 23:30:00";16;210735;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-17 00:30:00";16;208416;20;10;0;<FLG>
V2942010;V294201001;;Q;"2001-01-17 03:09:00";16;193659;20;10;0;<FLG>
