a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.102006E+03   0.939535E+01   0.518828E+01   0.251732E+02   0.851345E-03   0.512715E-03   0.674200E-02   0.808352E-03   0.115158E-04   0.606171E-03   0.786400E-03   0.580737E-03   0.178567E+03   0.000000E+00   0.000000E+00   0.178567E+03  -0.357134E+03
   0.102006E+03   0.939535E+01   0.116295E+01   0.294283E+02   0.851345E-03   0.512715E-03   0.728280E-02   0.209135E-02   0.115158E-04   0.606171E-03   0.786400E-03   0.580737E-03   0.175566E+03   0.000000E+00   0.000000E+00   0.175566E+03  -0.351132E+03
   0.102469E+03   0.939535E+01   0.921297E+01   0.276829E+02   0.917742E-03   0.607157E-03   0.314119E-02   0.209135E-02   0.115158E-04   0.606171E-03   0.786400E-03   0.580737E-03   0.179455E+03   0.000000E+00   0.000000E+00   0.179455E+03  -0.358910E+03
   0.102469E+03   0.999581E+01   0.585065E+01   0.265379E+02   0.857173E-03   0.607157E-03   0.314119E-02   0.342998E-02   0.115158E-04   0.668819E-03   0.786400E-03   0.580737E-03   0.177595E+03   0.000000E+00   0.000000E+00   0.177595E+03  -0.355190E+03
   0.102469E+03   0.999581E+01   0.585065E+01   0.241447E+02   0.352469E-03   0.612273E-03   0.296813E-02   0.342998E-02   0.115158E-04   0.668819E-03   0.786400E-03   0.580737E-03   0.178261E+03   0.000000E+00   0.000000E+00   0.178261E+03  -0.356522E+03
   0.100903E+03   0.101682E+02   0.424111E+01   0.241447E+02   0.352469E-03   0.612273E-03   0.296813E-02   0.364767E-02   0.115158E-04   0.668819E-03   0.786400E-03   0.580737E-03   0.176337E+03   0.000000E+00   0.000000E+00   0.176337E+03  -0.352674E+03
   0.100903E+03   0.122970E+02   0.424111E+01   0.241447E+02   0.749763E-03   0.612273E-03   0.308632E-02   0.364767E-02   0.115158E-04   0.668819E-03   0.786400E-03   0.580737E-03   0.175670E+03   0.000000E+00   0.000000E+00   0.175670E+03  -0.351340E+03
   0.100903E+03   0.825494E+01   0.676199E+01   0.241447E+02   0.749763E-03   0.612273E-03   0.308632E-02   0.364767E-02   0.115158E-04   0.668819E-03   0.786400E-03   0.580737E-03   0.177233E+03   0.000000E+00   0.000000E+00   0.177233E+03  -0.354466E+03
   0.100903E+03   0.825494E+01   0.676199E+01   0.247633E+02   0.749763E-03   0.612273E-03   0.114807E-02   0.369898E-02   0.115158E-04   0.302825E-03   0.786400E-03   0.580737E-03   0.179884E+03   0.000000E+00   0.000000E+00   0.179884E+03  -0.359768E+03
   0.100903E+03   0.571975E+01  -0.946013E+00   0.168056E+02   0.749763E-03   0.612273E-03   0.114807E-02   0.369898E-02   0.115158E-04   0.302825E-03   0.786400E-03   0.580737E-03   0.180164E+03   0.000000E+00   0.000000E+00   0.180164E+03  -0.360328E+03
   0.100903E+03   0.571975E+01   0.128780E+01   0.131130E+02   0.579235E-03   0.612273E-03   0.114807E-02   0.194895E-02   0.168372E-03   0.302825E-03   0.786400E-03   0.580737E-03   0.183352E+03   0.000000E+00   0.000000E+00   0.183352E+03  -0.366704E+03
   0.995387E+02   0.571975E+01   0.128780E+01   0.185318E+02   0.579235E-03   0.612273E-03   0.114807E-02   0.826005E-03   0.168372E-03   0.302825E-03   0.786400E-03   0.580737E-03   0.183387E+03   0.000000E+00   0.000000E+00   0.183387E+03  -0.366774E+03
   0.995387E+02   0.718542E+01   0.128780E+01   0.535095E+01   0.579235E-03   0.612273E-03   0.114807E-02   0.826005E-03   0.168372E-03   0.109204E-02   0.786400E-03   0.580737E-03   0.183921E+03   0.000000E+00   0.000000E+00   0.183921E+03  -0.367842E+03
   0.995387E+02   0.291450E+00  -0.376643E+01  -0.533132E+01   0.579235E-03   0.612273E-03   0.114807E-02   0.826005E-03   0.168372E-03   0.108245E-03   0.135759E-02   0.580737E-03   0.181886E+03   0.000000E+00   0.000000E+00   0.181886E+03  -0.363772E+03
   0.995387E+02   0.291450E+00  -0.124924E+01   0.946567E+01   0.579235E-03   0.612273E-03   0.114807E-02   0.826005E-03   0.168372E-03   0.108245E-03   0.135759E-02   0.580737E-03   0.182259E+03   0.000000E+00   0.000000E+00   0.182259E+03  -0.364518E+03
   0.995387E+02   0.291450E+00   0.114409E+01   0.359642E+01   0.579235E-03   0.612273E-03   0.114807E-02   0.826005E-03   0.168372E-03   0.108245E-03   0.135759E-02   0.282406E-03   0.183228E+03   0.000000E+00   0.000000E+00   0.183228E+03  -0.366456E+03
   0.995387E+02   0.291450E+00   0.144877E+01   0.359642E+01   0.579235E-03   0.612273E-03   0.793497E-03   0.826005E-03   0.168372E-03   0.108245E-03   0.135759E-02   0.282406E-03   0.183861E+03   0.000000E+00   0.000000E+00   0.183861E+03  -0.367722E+03
   0.995387E+02   0.291450E+00  -0.129581E+01   0.359642E+01   0.217444E-03   0.612273E-03   0.793497E-03   0.899289E-04   0.168372E-03   0.458007E-03   0.135759E-02   0.282406E-03   0.183539E+03   0.000000E+00   0.000000E+00   0.183539E+03  -0.367078E+03
   0.995387E+02   0.291450E+00  -0.129581E+01   0.483980E+01   0.217444E-03   0.612273E-03   0.793497E-03   0.883488E-03   0.637654E-03   0.458007E-03   0.135759E-02   0.282406E-03   0.185206E+03   0.000000E+00   0.000000E+00   0.185206E+03  -0.370412E+03
   0.995387E+02   0.291450E+00  -0.129581E+01   0.120213E+01   0.217444E-03   0.612273E-03   0.793497E-03   0.883488E-03   0.637654E-03   0.458007E-03   0.953245E-04   0.282406E-03   0.187021E+03   0.000000E+00   0.000000E+00   0.187021E+03  -0.374042E+03
