a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        
   0.100175E+03   0.284914E+01   0.204122E+01   0.117704E-03   0.152978E-03   0.619565E-03   0.725679E-03   0.116318E-02   0.128945E-02   0.714024E-03   0.273743E-03   0.186020E+03
   0.100175E+03   0.844768E+00   0.223985E+01   0.117704E-03   0.152978E-03   0.619565E-03   0.725679E-03   0.166332E-03   0.141809E-02   0.714024E-03   0.273743E-03   0.186373E+03
   0.100175E+03   0.844768E+00  -0.874996E+00   0.117704E-03   0.152978E-03   0.619565E-03   0.725679E-03   0.166332E-03   0.282566E-03   0.714024E-03   0.273743E-03   0.186824E+03
   0.100175E+03   0.456199E+01  -0.874996E+00   0.372803E-04   0.473993E-03   0.619565E-03   0.725679E-03   0.166332E-03   0.297001E-02   0.714024E-03   0.273743E-03   0.183986E+03
   0.100175E+03   0.456199E+01  -0.874996E+00   0.967327E-04   0.473993E-03   0.238910E-03   0.725679E-03   0.166332E-03   0.297001E-02   0.215644E-03   0.273743E-03   0.184108E+03
   0.100175E+03   0.382559E+01  -0.874996E+00   0.967327E-04   0.473993E-03   0.238910E-03   0.725679E-03   0.166332E-03   0.330324E-02   0.347406E-03   0.273743E-03   0.184207E+03
   0.100175E+03   0.163147E+01   0.301424E+01   0.967327E-04   0.710672E-04   0.238910E-03   0.725679E-03   0.170817E-03   0.111988E-02   0.347406E-03   0.273743E-03   0.187266E+03
   0.100175E+03   0.620806E+01   0.301424E+01   0.967327E-04   0.710672E-04   0.238910E-03   0.887170E-03   0.170817E-03   0.111988E-02   0.347406E-03   0.860107E-04   0.184855E+03
   0.996157E+02   0.620806E+01  -0.156979E+01   0.967327E-04   0.710672E-04   0.238910E-03   0.887170E-03   0.170817E-03   0.148395E-02   0.584444E-03   0.771880E-03   0.183638E+03
   0.100904E+03   0.721108E+01  -0.156979E+01   0.967327E-04   0.710672E-04   0.238910E-03   0.887170E-03   0.170817E-03   0.148395E-02   0.584444E-03   0.157304E-02   0.182448E+03
   0.100904E+03   0.148087E+01   0.484616E+01   0.967327E-04   0.710672E-04   0.238910E-03   0.887170E-03   0.170817E-03   0.153533E-02   0.800900E-03   0.157304E-02   0.182615E+03
   0.100904E+03   0.590813E+00   0.484616E+01   0.967327E-04   0.710672E-04   0.104263E-02   0.887170E-03   0.170817E-03   0.733465E-03   0.800900E-03   0.157304E-02   0.183065E+03
   0.101714E+03   0.783632E+01   0.902408E+01   0.967327E-04   0.710672E-04   0.104263E-02   0.887170E-03   0.723794E-03   0.733465E-03   0.800900E-03   0.136089E-02   0.183319E+03
   0.101714E+03   0.495033E+01   0.902408E+01   0.967327E-04   0.710672E-04   0.104263E-02   0.887170E-03   0.723794E-03   0.767739E-03   0.800900E-03   0.136089E-02   0.183715E+03
   0.101714E+03   0.594086E+01   0.142522E+02   0.967327E-04   0.601000E-03   0.144842E-02   0.887170E-03   0.723794E-03   0.767739E-03   0.540936E-03   0.136089E-02   0.182265E+03
   0.101714E+03   0.546777E+01   0.358913E+01   0.967327E-04   0.601000E-03   0.144842E-02   0.887170E-03   0.723794E-03   0.767739E-03   0.540936E-03   0.136089E-02   0.182620E+03
   0.101714E+03   0.546777E+01   0.620523E+01   0.967327E-04   0.601000E-03   0.144842E-02   0.887170E-03   0.723794E-03   0.767739E-03   0.144768E-02   0.106972E-02   0.182019E+03
   0.101714E+03   0.281895E+01   0.376500E+01   0.967327E-04   0.146156E-03   0.126268E-02   0.887170E-03   0.723794E-03   0.582154E-03   0.144768E-02   0.106972E-02   0.181846E+03
   0.101714E+03   0.281895E+01   0.100065E+02   0.967327E-04   0.146156E-03   0.365914E-03   0.198920E-02   0.723794E-03   0.582154E-03   0.144768E-02   0.106972E-02   0.181144E+03
