a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.121423E+03   0.311932E+02   0.344066E-03   0.994288E+01   0.122869E+02   0.117010E+02   0.182440E+02   0.479670E+02
   0.121423E+03   0.332205E+02   0.344066E-03   0.994288E+01   0.131054E+02   0.181577E+02   0.201482E+02   0.433363E+02
   0.121423E+03   0.332205E+02   0.344066E-03   0.994288E+01   0.131054E+02   0.181577E+02   0.195195E+02   0.435893E+02
   0.121423E+03   0.307395E+02   0.344066E-03   0.115296E+02   0.131054E+02   0.206911E+02   0.194841E+02   0.455608E+02
   0.122371E+03   0.307395E+02   0.344066E-03   0.909787E+01   0.110874E+02   0.211191E+02   0.262294E+02   0.431095E+02
   0.122371E+03   0.307395E+02   0.344066E-03   0.909787E+01   0.110874E+02   0.211191E+02   0.206240E+02   0.459863E+02
   0.122371E+03   0.308056E+02   0.344066E-03   0.909787E+01   0.856100E+01   0.183030E+02   0.158053E+02   0.486186E+02
   0.120865E+03   0.318085E+02   0.344066E-03   0.949194E+01   0.856100E+01   0.170632E+02   0.158053E+02   0.493128E+02
   0.120865E+03   0.318085E+02   0.104701E-03   0.905300E+01   0.856100E+01   0.170632E+02   0.165722E+02   0.500526E+02
   0.120865E+03   0.318085E+02   0.104701E-03   0.905300E+01   0.848604E+01   0.144797E+02   0.164448E+02   0.504087E+02
   0.120865E+03   0.312552E+02   0.104701E-03   0.905300E+01   0.848604E+01   0.169532E+02   0.172964E+02   0.498939E+02
   0.120865E+03   0.312552E+02   0.104701E-03   0.905300E+01   0.848604E+01   0.169532E+02   0.172964E+02   0.498939E+02
   0.120865E+03   0.312552E+02   0.104701E-03   0.107038E+02   0.824714E+01   0.160052E+02   0.174187E+02   0.498530E+02
   0.120865E+03   0.312552E+02   0.490078E-04   0.107553E+02   0.787820E+01   0.109634E+02   0.115553E+02   0.487524E+02
   0.119955E+03   0.312552E+02   0.490078E-04   0.107553E+02   0.787820E+01   0.109634E+02   0.115553E+02   0.474165E+02
   0.119955E+03   0.312552E+02   0.490078E-04   0.829023E+01   0.756137E+01   0.115837E+02   0.115553E+02   0.474173E+02
   0.119955E+03   0.312552E+02   0.490078E-04   0.107423E+02   0.756137E+01   0.115837E+02   0.146475E+02   0.481402E+02
   0.119955E+03   0.312552E+02   0.490078E-04   0.128899E+02   0.756137E+01   0.115837E+02   0.126541E+02   0.470084E+02
   0.119955E+03   0.324819E+02   0.490078E-04   0.131428E+02   0.111534E+02   0.144075E+02   0.126541E+02   0.493029E+02
   0.119999E+03   0.324819E+02   0.490078E-04   0.106858E+02   0.850300E+01   0.143292E+02   0.154008E+02   0.506284E+02
   0.119999E+03   0.324819E+02   0.490078E-04   0.106858E+02   0.822062E+01   0.143292E+02   0.154008E+02   0.505110E+02
   0.119999E+03   0.317587E+02   0.490078E-04   0.106858E+02   0.977135E+01   0.127983E+02   0.154008E+02   0.502570E+02
   0.119857E+03   0.311544E+02   0.490078E-04   0.831837E+01   0.977135E+01   0.130252E+02   0.154008E+02   0.486053E+02
   0.119857E+03   0.311544E+02   0.490078E-04   0.842047E+01   0.880114E+01   0.130252E+02   0.175066E+02   0.481369E+02
