Km_SU1_Rh_a0  Km_SU1_Rh_a1  Km_SU1_Rh_a2  Km_SU1_Rh_a3  Km_SU1_Rh_a4  Km_SU2_Rh_a0  Km_SU2_Rh_a1  Km_SU1_Ai_a0  Km_SU1_Ai_a1  Km_SU1_Ai_a2  Km_SU1_Ai_a3  Km_SU1_Ai_a4  Km_SU2_Ai_a0  Km_SU2_Ai_a1  Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.395458E+02 -0.878125E+00  0.867873E+00  0.466206E+01  0.157687E+01  0.366039E+02  0.822459E+01  0.224915E+02 -0.838504E+01 -0.131645E+02 -0.542110E+00  0.997733E+01  0.133967E+02 -0.224081E+01  0.123758E+00  0.196756E-02  0.159388E-01  0.112115E-01  0.531576E-02 -0.192785E+02
  0.395458E+02 -0.878125E+00  0.867873E+00  0.466206E+01  0.157687E+01  0.366039E+02  0.822459E+01  0.224915E+02 -0.838504E+01 -0.131645E+02 -0.542110E+00  0.909726E+01  0.138102E+02 -0.224081E+01  0.123758E+00  0.196756E-02  0.159388E-01  0.109445E-01  0.506672E-02 -0.195042E+02
  0.391985E+02 -0.878125E+00  0.867873E+00  0.466206E+01  0.128082E+01  0.366039E+02  0.822459E+01  0.224915E+02 -0.838504E+01 -0.131645E+02 -0.542110E+00  0.909726E+01  0.151630E+02 -0.224081E+01  0.124823E+00  0.279009E-02  0.159388E-01  0.120177E-01  0.685107E-02 -0.182670E+02
  0.391985E+02 -0.878125E+00  0.867873E+00  0.466206E+01  0.128082E+01  0.366039E+02  0.822459E+01  0.225017E+02 -0.838504E+01 -0.131645E+02 -0.542110E+00  0.909726E+01  0.151630E+02 -0.224081E+01  0.124530E+00  0.352007E-02  0.148189E-01  0.130723E-01  0.599379E-02 -0.192460E+02
  0.391985E+02 -0.878125E+00  0.547442E+00  0.466206E+01  0.128082E+01  0.366039E+02  0.822459E+01  0.224734E+02 -0.838504E+01 -0.131645E+02 -0.884101E+00  0.909726E+01  0.151630E+02 -0.209096E+00  0.124530E+00  0.447751E-02  0.133024E-01  0.113319E-01  0.470590E-02 -0.175271E+02
  0.391985E+02 -0.878125E+00  0.547442E+00  0.466206E+01  0.128082E+01  0.370229E+02  0.738171E+01  0.224734E+02 -0.838504E+01 -0.131645E+02 -0.884101E+00  0.909726E+01  0.151630E+02 -0.209096E+00  0.124530E+00  0.359771E-02  0.141229E-01  0.114496E-01  0.394054E-02 -0.184914E+02
  0.391985E+02 -0.878125E+00  0.547442E+00  0.466206E+01  0.128082E+01  0.368030E+02  0.738171E+01  0.224734E+02 -0.838504E+01 -0.131645E+02 -0.554757E+00  0.909726E+01  0.130920E+02 -0.209096E+00  0.125008E+00  0.454754E-02  0.133789E-01  0.132217E-01  0.245302E-02 -0.174151E+02
  0.391985E+02 -0.878125E+00  0.547442E+00  0.466206E+01  0.128082E+01  0.373331E+02  0.604224E+01  0.225641E+02 -0.838504E+01 -0.131645E+02 -0.554757E+00  0.110658E+02  0.134079E+02 -0.209096E+00  0.125310E+00  0.459325E-02  0.145349E-01  0.124982E-01  0.347136E-02 -0.189992E+02
  0.391985E+02 -0.878125E+00  0.547442E+00  0.466206E+01  0.200486E+01  0.366271E+02  0.604224E+01  0.225641E+02 -0.838504E+01 -0.131645E+02 -0.554757E+00  0.110658E+02  0.134079E+02 -0.209096E+00  0.125564E+00  0.400631E-02  0.135764E-01  0.119686E-01  0.460215E-02 -0.170921E+02
  0.391985E+02 -0.878125E+00  0.547442E+00  0.466206E+01  0.200486E+01  0.366271E+02  0.604224E+01  0.225641E+02 -0.838504E+01 -0.131645E+02 -0.554757E+00  0.110658E+02  0.119174E+02 -0.209096E+00  0.125646E+00  0.350985E-02  0.122171E-01  0.118482E-01  0.462105E-02 -0.176264E+02
