a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.976065E+02   0.149870E+02  -0.110640E+02   0.841619E-03   0.133586E+02   0.816517E+01   0.167706E+02   0.162134E+02   0.338141E+02
   0.976065E+02   0.762968E+01   0.159116E+01   0.444571E-04   0.140054E+02   0.759649E+01   0.153785E+02   0.160340E+02   0.369535E+02
   0.100091E+03   0.251443E+01  -0.677964E+01   0.620581E-03   0.862996E+01   0.125348E+02   0.138687E+02   0.133003E+02   0.381921E+02
   0.100560E+03   0.492699E+01   0.931946E+01   0.228864E-04   0.133543E+02   0.751084E+01   0.216067E+02   0.170079E+02   0.355137E+02
   0.100560E+03   0.169801E+01  -0.263710E+02   0.831395E-03   0.126261E+02   0.120025E+02   0.119509E+02   0.136695E+02   0.355740E+02
   0.101818E+03  -0.632089E+01  -0.777581E+00   0.581025E-03   0.808066E+01   0.115576E+02   0.143074E+02   0.159713E+02   0.365528E+02
   0.101339E+03  -0.968705E+01  -0.802573E+01   0.185377E-03   0.106035E+02   0.160440E+02   0.134046E+02   0.151046E+02   0.331785E+02
   0.999081E+02   0.540130E+01  -0.316549E+01   0.127293E-02   0.788734E+01   0.834550E+01   0.144194E+02   0.161953E+02   0.359272E+02
   0.102512E+03  -0.946189E+01   0.532986E+01   0.121358E-02   0.970306E+01   0.792736E+01   0.145279E+02   0.120374E+02   0.347357E+02
   0.102239E+03   0.259502E+02   0.152300E+02   0.146727E-02   0.955827E+01   0.746216E+01   0.126756E+02   0.151717E+02   0.319600E+02
   0.102239E+03   0.785828E+01   0.121550E+02   0.443555E-03   0.928350E+01   0.103876E+02   0.166553E+02   0.125266E+02   0.371166E+02
   0.994858E+02   0.168004E+00   0.929153E+01   0.639789E-03   0.713544E+01   0.144761E+02   0.196089E+02   0.144489E+02   0.344854E+02
   0.100946E+03   0.205037E+01   0.458738E+01   0.925225E-03   0.971655E+01   0.113718E+02   0.129672E+02   0.198835E+02   0.360886E+02
   0.983187E+02   0.226108E+01  -0.191502E+02   0.414673E-03   0.877741E+01   0.124669E+02   0.187371E+02   0.240324E+02   0.344909E+02
   0.990328E+02  -0.160161E+01  -0.197598E+01   0.414673E-03   0.127243E+02   0.133244E+02   0.142753E+02   0.221374E+02   0.353177E+02
   0.994466E+02  -0.165253E+00  -0.196172E+02   0.696975E-03   0.876099E+01   0.819389E+01   0.132262E+02   0.138943E+02   0.381287E+02
   0.991772E+02  -0.134437E+01  -0.250989E+02   0.320159E-03   0.665123E+01   0.938981E+01   0.958632E+01   0.140922E+02   0.344478E+02
   0.100839E+03   0.183235E+01   0.799361E+01   0.116452E-03   0.966180E+01   0.809139E+01   0.151872E+02   0.195087E+02   0.384442E+02
   0.101643E+03  -0.612864E+01   0.511985E+01   0.779472E-03   0.101901E+02   0.787738E+01   0.164762E+02   0.141708E+02   0.367128E+02
   0.964154E+02   0.175274E+02  -0.343535E+01   0.648203E-03   0.101901E+02   0.104080E+02   0.164633E+02   0.168781E+02   0.331397E+02
   0.101800E+03   0.642452E+00  -0.164076E+02   0.250213E-03   0.113846E+02   0.113434E+02   0.153625E+02   0.128537E+02   0.367422E+02
   0.968491E+02   0.688271E+01  -0.186597E+02   0.322583E-03   0.985759E+01   0.134548E+02   0.179703E+02   0.176526E+02   0.356245E+02
   0.995313E+02   0.915385E+01   0.235291E+01   0.550997E-03   0.863123E+01   0.127631E+02   0.150239E+02   0.175323E+02   0.374801E+02
   0.102226E+03  -0.112729E+01   0.247204E+02   0.923165E-04   0.109674E+02   0.780304E+01   0.913928E+01   0.131951E+02   0.343704E+02
   0.101263E+03   0.487624E+01  -0.200859E+02   0.119616E-03   0.143328E+02   0.109268E+02   0.212523E+02   0.112991E+02   0.331592E+02
   0.970653E+02   0.428843E+00  -0.772919E+01   0.264766E-03   0.963518E+01   0.563264E+01   0.113891E+02   0.238026E+02   0.318972E+02
   0.100111E+03   0.442663E+01   0.474971E+01   0.136103E-03   0.112126E+02   0.792257E+01   0.200995E+02   0.109536E+02   0.373398E+02
   0.977315E+02  -0.315056E+01  -0.199413E+02   0.127838E-02   0.102422E+02   0.958200E+01   0.149455E+02   0.163555E+02   0.353390E+02
   0.967840E+02   0.392057E+01  -0.161013E+02   0.156701E-03   0.754424E+01   0.805497E+01   0.141187E+02   0.139765E+02   0.378296E+02
   0.991334E+02  -0.167521E+01  -0.152058E+02   0.118459E-03   0.852822E+01   0.815965E+01   0.159632E+02   0.200358E+02   0.380119E+02
   0.971939E+02   0.302608E+01  -0.651601E+01   0.248025E-03   0.106776E+02   0.113189E+02   0.109411E+02   0.243466E+02   0.350849E+02
   0.100642E+03   0.413484E+00   0.186309E+02   0.147101E-03   0.113183E+02   0.114478E+02   0.167847E+02   0.136903E+02   0.376873E+02
   0.100261E+03  -0.206752E+00  -0.241602E+02   0.108138E-03   0.102017E+02   0.880863E+01   0.218514E+02   0.149192E+02   0.367726E+02
   0.969502E+02   0.131570E+02  -0.965264E+00   0.102744E-02   0.986174E+01   0.940223E+01   0.174525E+02   0.197983E+02   0.344152E+02
   0.994025E+02   0.133013E+02  -0.113490E+02   0.100993E-02   0.116728E+02   0.876751E+01   0.123340E+02   0.145775E+02   0.355739E+02
   0.982784E+02   0.280656E+01  -0.163117E+02   0.521176E-04   0.938655E+01   0.905297E+01   0.177385E+02   0.115765E+02   0.393183E+02
   0.977381E+02   0.307918E+01  -0.787391E+01   0.119854E-03   0.111317E+02   0.933362E+01   0.125594E+02   0.170280E+02   0.398131E+02
   0.967148E+02  -0.289565E+00  -0.114062E+02   0.119854E-03   0.170113E+02   0.783255E+01   0.114024E+02   0.179401E+02   0.325479E+02
   0.100477E+03   0.791314E+01  -0.114062E+02   0.739693E-03   0.111026E+02   0.991255E+01   0.125285E+02   0.131371E+02   0.372765E+02
   0.995895E+02   0.418240E+01   0.403185E+01   0.675318E-03   0.119402E+02   0.616781E+01   0.163331E+02   0.104411E+02   0.346996E+02
   0.100124E+03   0.831501E+01  -0.139814E+02   0.163087E-02   0.902088E+01   0.103328E+02   0.128816E+02   0.162222E+02   0.346957E+02
   0.101305E+03  -0.391804E+00  -0.569481E+01   0.181819E-03   0.745900E+01   0.101814E+02   0.125377E+02   0.177339E+02   0.373303E+02
   0.100026E+03  -0.600766E+01  -0.968331E+01   0.704861E-05   0.105008E+02   0.884336E+01   0.123889E+02   0.128303E+02   0.381800E+02
   0.100194E+03   0.113141E+01   0.570422E+00   0.607590E-03   0.815747E+01   0.844204E+01   0.122620E+02   0.125746E+02   0.382808E+02
   0.995979E+02   0.496643E+01   0.177555E+01   0.691892E-03   0.997369E+01   0.950659E+01   0.177320E+02   0.129886E+02   0.385152E+02
   0.975733E+02   0.193046E+01   0.833606E+01   0.708561E-03   0.913130E+01   0.123354E+02   0.160649E+02   0.178234E+02   0.360059E+02
   0.999858E+02  -0.201304E+01   0.236078E+01   0.239514E-03   0.905480E+01   0.793889E+01   0.181160E+02   0.139344E+02   0.389428E+02
   0.985005E+02   0.462922E+01  -0.521744E+01   0.239514E-03   0.905480E+01   0.103929E+02   0.166065E+02   0.181902E+02   0.397928E+02
   0.100233E+03   0.789652E+00   0.171657E+02   0.210871E-03   0.976455E+01   0.163854E+02   0.137344E+02   0.135410E+02   0.351823E+02
   0.990297E+02   0.860839E+01   0.735384E+00   0.144907E-03   0.113134E+02   0.102138E+02   0.121469E+02   0.151083E+02   0.394245E+02
   0.987469E+02   0.410397E+01  -0.169692E+02   0.427932E-03   0.792793E+01   0.111544E+02   0.116550E+02   0.152757E+02   0.385692E+02
   0.101190E+03  -0.337977E+01   0.103657E+02   0.538219E-03   0.101343E+02   0.113176E+02   0.192985E+02   0.134127E+02   0.371559E+02
   0.989730E+02   0.908099E+01  -0.559731E+01   0.953415E-03   0.950568E+01   0.105850E+02   0.148579E+02   0.134127E+02   0.376887E+02
   0.978641E+02  -0.198192E+01   0.428109E+01   0.483844E-03   0.127682E+02   0.949174E+01   0.100266E+02   0.166194E+02   0.354161E+02
   0.100366E+03   0.422438E+01  -0.166894E+02   0.152597E-02   0.144275E+02   0.913081E+01   0.109204E+02   0.155448E+02   0.325084E+02
   0.100081E+03   0.168196E+02   0.810999E+01   0.767274E-03   0.106429E+02   0.982870E+01   0.231124E+02   0.190494E+02   0.324398E+02
   0.992428E+02   0.991570E+01   0.436927E+01   0.168714E-03   0.970761E+01   0.837988E+01   0.134542E+02   0.174082E+02   0.388856E+02
   0.975944E+02   0.541504E+01  -0.292275E+01   0.132648E-03   0.799658E+01   0.109201E+02   0.134542E+02   0.131363E+02   0.395505E+02
   0.102233E+03  -0.855342E+01  -0.102032E+01   0.284677E-04   0.107837E+02   0.830984E+01   0.136750E+02   0.147564E+02   0.361959E+02
   0.996591E+02   0.108290E+02  -0.852144E+01   0.218942E-04   0.137653E+02   0.106380E+02   0.142643E+02   0.167398E+02   0.369257E+02
   0.993605E+02   0.951525E+01   0.948868E+01   0.135344E-04   0.127857E+02   0.109296E+02   0.173813E+02   0.176916E+02   0.371010E+02
   0.993605E+02   0.260453E+01  -0.330714E+01   0.134229E-03   0.128009E+02   0.131141E+02   0.151389E+02   0.163442E+02   0.385282E+02
   0.993605E+02   0.109128E+02   0.259739E+01   0.188271E-03   0.858392E+01   0.138802E+02   0.156064E+02   0.141885E+02   0.374318E+02
   0.983708E+02   0.821019E+00   0.479818E+01   0.612561E-03   0.109585E+02   0.831419E+01   0.177015E+02   0.155469E+02   0.378901E+02
   0.999419E+02   0.788245E+01  -0.309368E+01   0.111556E-02   0.116726E+02   0.959468E+01   0.135404E+02   0.158519E+02   0.365969E+02
   0.100045E+03  -0.885811E+01  -0.650528E+01   0.698113E-03   0.994189E+01   0.909383E+01   0.135404E+02   0.206527E+02   0.354109E+02
   0.964715E+02   0.397499E+01  -0.619829E+01   0.139876E-03   0.109225E+02   0.108479E+02   0.196155E+02   0.146000E+02   0.374406E+02
   0.966598E+02   0.452221E+01  -0.141860E+02   0.143453E-03   0.105106E+02   0.746375E+01   0.185581E+02   0.152820E+02   0.373196E+02
   0.998719E+02   0.745640E+01  -0.173393E+02   0.779648E-03   0.128322E+02   0.895372E+01   0.116602E+02   0.110491E+02   0.354529E+02
   0.993583E+02   0.238491E+01  -0.343851E+01   0.157971E-03   0.122486E+02   0.930668E+01   0.168130E+02   0.180520E+02   0.392848E+02
   0.987704E+02  -0.360238E+01  -0.780659E+01   0.301287E-03   0.132247E+02   0.976010E+01   0.201475E+02   0.936799E+01   0.345080E+02
   0.100261E+03   0.535215E+01   0.338360E+00   0.631749E-03   0.854233E+01   0.807978E+01   0.144702E+02   0.162331E+02   0.383940E+02
   0.988006E+02   0.463509E+01   0.338360E+00   0.155952E-03   0.809767E+01   0.116805E+02   0.159810E+02   0.124470E+02   0.395879E+02
   0.994289E+02   0.321077E+00  -0.220191E+02   0.179166E-03   0.133875E+02   0.137024E+02   0.152226E+02   0.166054E+02   0.363565E+02
   0.976818E+02   0.761739E+01  -0.477006E+01   0.417189E-03   0.845161E+01   0.761277E+01   0.110441E+02   0.160038E+02   0.377723E+02
   0.997403E+02   0.346468E+01  -0.477006E+01   0.367454E-03   0.116595E+02   0.996110E+01   0.135121E+02   0.210616E+02   0.379997E+02
   0.985809E+02   0.598647E+01  -0.759223E+00   0.150869E-03   0.192096E+02   0.114882E+02   0.122435E+02   0.152771E+02   0.339483E+02
