a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.985070E+02 -0.500374E+00 -0.845763E+01  0.305743E-04  0.982835E+01  0.916304E+01  0.195518E+02  0.148864E+02  0.394437E+02
  0.985070E+02  0.191797E+01 -0.326952E+01  0.305743E-04  0.838674E+01  0.689210E+01  0.206051E+02  0.148864E+02  0.377912E+02
  0.985070E+02  0.527805E+01 -0.110707E+01  0.305743E-04  0.838674E+01  0.689210E+01  0.203762E+02  0.168321E+02  0.374774E+02
  0.985070E+02  0.527805E+01 -0.112872E+02  0.305743E-04  0.102069E+02  0.693436E+01  0.210378E+02  0.150418E+02  0.376940E+02
  0.989342E+02  0.459635E+01 -0.762727E+01  0.537488E-03  0.924500E+01  0.812275E+01  0.198224E+02  0.179922E+02  0.377261E+02
  0.989342E+02  0.667348E+01 -0.197538E+02  0.537488E-03  0.865813E+01  0.869955E+01  0.163585E+02  0.164018E+02  0.382799E+02
  0.989342E+02 -0.108637E+01 -0.206565E+02  0.537488E-03  0.865813E+01  0.855552E+01  0.147771E+02  0.169979E+02  0.380735E+02
  0.989342E+02 -0.108637E+01 -0.114890E+02  0.537488E-03  0.865813E+01  0.795021E+01  0.156477E+02  0.177806E+02  0.383372E+02
  0.989342E+02 -0.108637E+01 -0.987238E+01  0.385359E-03  0.816924E+01  0.759063E+01  0.173646E+02  0.170171E+02  0.382614E+02
  0.989342E+02  0.174416E+01 -0.149825E+02  0.385359E-03  0.817822E+01  0.759063E+01  0.159113E+02  0.167342E+02  0.387716E+02
  0.989342E+02  0.174416E+01 -0.123153E+02  0.277626E-03  0.817822E+01  0.811381E+01  0.171665E+02  0.131420E+02  0.394516E+02
  0.988919E+02  0.174416E+01 -0.883005E+01  0.277626E-03  0.937705E+01  0.960117E+01  0.188377E+02  0.145494E+02  0.398555E+02
  0.988919E+02  0.174416E+01 -0.155140E+02  0.277626E-03  0.977523E+01  0.933937E+01  0.195805E+02  0.131662E+02  0.391117E+02
  0.988919E+02  0.174416E+01 -0.181552E+02  0.277626E-03  0.836899E+01  0.788696E+01  0.184053E+02  0.159865E+02  0.385299E+02
  0.988919E+02  0.174416E+01 -0.156744E+02  0.277626E-03  0.788371E+01  0.746246E+01  0.184043E+02  0.164800E+02  0.381288E+02
  0.988919E+02 -0.221829E+01 -0.184242E+02  0.277626E-03  0.893435E+01  0.876616E+01  0.214588E+02  0.164800E+02  0.367698E+02
  0.988919E+02 -0.221829E+01 -0.184242E+02  0.277626E-03  0.746874E+01  0.126432E+02  0.214588E+02  0.160341E+02  0.352885E+02
  0.988919E+02  0.675184E+01 -0.119891E+02  0.101611E-03  0.762036E+01  0.114664E+02  0.205776E+02  0.160341E+02  0.377052E+02
  0.988919E+02  0.675184E+01 -0.730919E+01  0.101611E-03  0.866291E+01  0.120254E+02  0.194892E+02  0.159364E+02  0.386927E+02
  0.988919E+02  0.481889E+01 -0.113388E+02  0.101611E-03  0.105449E+02  0.116664E+02  0.202333E+02  0.159364E+02  0.387332E+02
  0.988919E+02  0.481889E+01 -0.289738E+01  0.101611E-03  0.125077E+02  0.106808E+02  0.217821E+02  0.146261E+02  0.378723E+02
  0.988919E+02  0.481889E+01 -0.141946E+02  0.101611E-03  0.125152E+02  0.110955E+02  0.207491E+02  0.129008E+02  0.377432E+02
  0.988919E+02  0.481889E+01 -0.167675E+02  0.101611E-03  0.112833E+02  0.110955E+02  0.193346E+02  0.109259E+02  0.378311E+02
  0.988919E+02  0.425493E+01 -0.145771E+02  0.101611E-03  0.974840E+01  0.104397E+02  0.193034E+02  0.109259E+02  0.386057E+02
  0.988919E+02  0.425493E+01 -0.145771E+02  0.101611E-03  0.900017E+01  0.114929E+02  0.168013E+02  0.109259E+02  0.390133E+02
