a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100152E+03   0.341592E+01   0.596310E-03   0.106823E+02   0.100109E+02   0.185280E+03  -0.212285E+01   0.000000E+00   0.187403E+03  -0.374806E+03
   0.100152E+03   0.337715E+01   0.596310E-03   0.106823E+02   0.942951E+01   0.185175E+03  -0.223548E+01   0.000000E+00   0.187410E+03  -0.374821E+03
   0.100152E+03   0.337715E+01   0.353599E-03   0.112092E+02   0.942951E+01   0.184819E+03  -0.271732E+01   0.000000E+00   0.187536E+03  -0.375073E+03
   0.100152E+03   0.337715E+01   0.647460E-03   0.112092E+02   0.941604E+01   0.184230E+03  -0.272439E+01   0.000000E+00   0.186954E+03  -0.373909E+03
   0.100152E+03   0.337715E+01   0.624970E-03   0.105609E+02   0.941604E+01   0.185006E+03  -0.216222E+01   0.000000E+00   0.187168E+03  -0.374336E+03
   0.100152E+03   0.337715E+01   0.624970E-03   0.105609E+02   0.941604E+01   0.185006E+03  -0.216222E+01   0.000000E+00   0.187168E+03  -0.374336E+03
   0.100152E+03   0.337715E+01   0.555306E-03   0.105609E+02   0.101822E+02   0.185615E+03  -0.207572E+01   0.000000E+00   0.187691E+03  -0.375381E+03
   0.100152E+03   0.337715E+01   0.555306E-03   0.115791E+02   0.996258E+01   0.184634E+03  -0.305627E+01   0.000000E+00   0.187690E+03  -0.375381E+03
   0.100152E+03   0.334421E+01   0.555306E-03   0.101968E+02   0.996258E+01   0.185825E+03  -0.187331E+01   0.000000E+00   0.187698E+03  -0.375397E+03
   0.100152E+03   0.334421E+01   0.500998E-03   0.101968E+02   0.106916E+02   0.185762E+03  -0.216683E+01   0.000000E+00   0.187929E+03  -0.375858E+03
   0.100152E+03   0.334421E+01   0.500998E-03   0.864378E+01   0.106669E+02   0.184902E+03  -0.302718E+01   0.000000E+00   0.187929E+03  -0.375858E+03
   0.100152E+03   0.334421E+01   0.272493E-03   0.927370E+01   0.102707E+02   0.184535E+03  -0.210913E+01   0.000000E+00   0.186644E+03  -0.373288E+03
   0.100152E+03   0.198790E+01   0.272493E-03   0.978522E+01   0.102707E+02   0.185055E+03  -0.190212E+01   0.000000E+00   0.186957E+03  -0.373914E+03
   0.100152E+03   0.198790E+01   0.272493E-03   0.978522E+01   0.102707E+02   0.185055E+03  -0.190212E+01   0.000000E+00   0.186957E+03  -0.373914E+03
   0.100152E+03   0.198790E+01   0.272493E-03   0.978522E+01   0.112137E+02   0.184347E+03  -0.261039E+01   0.000000E+00   0.186957E+03  -0.373915E+03
   0.100152E+03   0.222201E-02   0.381427E-03   0.959111E+01   0.112137E+02   0.184788E+03  -0.265393E+01   0.000000E+00   0.187442E+03  -0.374884E+03
   0.100152E+03   0.372688E+01   0.381427E-03   0.959111E+01   0.112137E+02   0.184944E+03  -0.265393E+01   0.000000E+00   0.187598E+03  -0.375196E+03
   0.100152E+03   0.363529E+01   0.381427E-03   0.105652E+02   0.107294E+02   0.185275E+03  -0.236223E+01   0.000000E+00   0.187637E+03  -0.375274E+03
   0.100152E+03   0.363529E+01   0.381427E-03   0.110352E+02   0.933734E+01   0.185049E+03  -0.258803E+01   0.000000E+00   0.187637E+03  -0.375274E+03
   0.100152E+03   0.363529E+01   0.381427E-03   0.111218E+02   0.829709E+01   0.183572E+03  -0.406521E+01   0.000000E+00   0.187637E+03  -0.375274E+03
