a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.100406E+03   0.266338E+01   0.404567E-03   0.896979E+01   0.102781E+02   0.185413E+03
   0.100406E+03   0.266338E+01   0.404567E-03   0.896979E+01   0.104697E+02   0.185327E+03
   0.100406E+03   0.266338E+01   0.404567E-03   0.992523E+01   0.104697E+02   0.185814E+03
   0.100406E+03   0.266338E+01   0.404567E-03   0.992523E+01   0.104697E+02   0.185814E+03
   0.100406E+03   0.266338E+01   0.404567E-03   0.992523E+01   0.100311E+02   0.185962E+03
   0.100406E+03   0.266338E+01   0.665041E-03   0.967025E+01   0.100311E+02   0.184912E+03
   0.100406E+03   0.266338E+01   0.581427E-03   0.101249E+02   0.921543E+01   0.185404E+03
   0.100406E+03   0.266338E+01   0.581427E-03   0.101249E+02   0.921543E+01   0.185404E+03
   0.100406E+03   0.266338E+01   0.581427E-03   0.101249E+02   0.987223E+01   0.185661E+03
   0.100406E+03   0.266338E+01   0.581427E-03   0.983622E+01   0.938420E+01   0.185541E+03
   0.990224E+02   0.312349E+01   0.581427E-03   0.108342E+02   0.938420E+01   0.184054E+03
   0.994970E+02   0.312349E+01   0.581427E-03   0.108342E+02   0.938420E+01   0.184860E+03
   0.994970E+02   0.312349E+01   0.581427E-03   0.111483E+02   0.938420E+01   0.184562E+03
   0.994970E+02   0.312349E+01   0.581427E-03   0.997956E+01   0.870166E+01   0.184574E+03
   0.994970E+02   0.312349E+01   0.581427E-03   0.109838E+02   0.774929E+01   0.181870E+03
   0.994970E+02   0.105930E+01   0.581427E-03   0.109838E+02   0.866423E+01   0.183885E+03
   0.985004E+02   0.105930E+01   0.581427E-03   0.120698E+02   0.980584E+01   0.181008E+03
   0.985004E+02   0.105930E+01   0.581427E-03   0.121223E+02   0.980584E+01   0.180921E+03
   0.992311E+02   0.105930E+01   0.431816E-03   0.116604E+02   0.121896E+02   0.181893E+03
   0.992311E+02   0.105930E+01   0.431816E-03   0.952813E+01   0.130687E+02   0.181467E+03
   0.992311E+02   0.105930E+01   0.464959E-03   0.995624E+01   0.130687E+02   0.181541E+03
   0.100013E+03   0.105930E+01   0.568672E-03   0.100395E+02   0.113357E+02   0.184853E+03
   0.100013E+03   0.105930E+01   0.568672E-03   0.100395E+02   0.104121E+02   0.185643E+03
   0.100013E+03  -0.172802E+01   0.595846E-03   0.110123E+02   0.104121E+02   0.183597E+03
   0.100013E+03   0.424762E+01   0.710100E-03   0.110123E+02   0.107452E+02   0.183339E+03
   0.100013E+03   0.424762E+01   0.710100E-03   0.120310E+02   0.990804E+01   0.182341E+03
   0.100187E+03   0.572220E+01   0.710100E-03   0.112781E+02   0.990804E+01   0.182831E+03
   0.100003E+03   0.572220E+01   0.302032E-03   0.869508E+01   0.982678E+01   0.182619E+03
   0.100003E+03   0.572220E+01   0.302032E-03   0.846268E+01   0.913361E+01   0.181908E+03
   0.100003E+03   0.572220E+01   0.302032E-03   0.846268E+01   0.108681E+02   0.181798E+03
   0.100003E+03   0.572220E+01   0.578327E-03   0.860168E+01   0.108681E+02   0.183299E+03
   0.100003E+03   0.736311E+01   0.465262E-03   0.877129E+01   0.874119E+01   0.181736E+03
   0.100003E+03   0.736311E+01   0.465262E-03   0.879687E+01   0.874119E+01   0.181771E+03
   0.100003E+03   0.736311E+01   0.465262E-03   0.860042E+01   0.991065E+01   0.182254E+03
   0.100003E+03   0.772316E+00   0.465262E-03   0.966747E+01   0.989580E+01   0.186108E+03
   0.100003E+03   0.772316E+00   0.603085E-03   0.111437E+02   0.111270E+02   0.184059E+03
   0.100003E+03   0.772316E+00   0.603085E-03   0.116738E+02   0.111270E+02   0.183401E+03
   0.100003E+03   0.119492E+01   0.603085E-03   0.992631E+01   0.111839E+02   0.184793E+03
   0.994442E+02   0.576986E+01   0.603085E-03   0.992631E+01   0.111839E+02   0.183395E+03
   0.994442E+02   0.576986E+01   0.603085E-03   0.103065E+02   0.916633E+01   0.183761E+03
   0.994442E+02  -0.988461E-01   0.603085E-03   0.103065E+02   0.916633E+01   0.184289E+03
   0.994442E+02  -0.988461E-01   0.546662E-03   0.110654E+02   0.916633E+01   0.184127E+03
   0.994442E+02  -0.988461E-01   0.745379E-03   0.106001E+02   0.916633E+01   0.182660E+03
   0.994442E+02   0.519423E+01   0.549933E-03   0.962528E+01   0.100160E+02   0.184716E+03
   0.994442E+02   0.519423E+01   0.383641E-03   0.995073E+01   0.979330E+01   0.184521E+03
   0.994442E+02   0.159846E+01   0.383641E-03   0.913098E+01   0.939626E+01   0.185320E+03
   0.994442E+02   0.159846E+01   0.383641E-03   0.914544E+01   0.939626E+01   0.185333E+03
   0.994442E+02  -0.287718E+00   0.383641E-03   0.914544E+01   0.104957E+02   0.184538E+03
   0.994442E+02  -0.287718E+00   0.383641E-03   0.107685E+02   0.110746E+02   0.184042E+03
   0.994966E+02  -0.287718E+00   0.393213E-03   0.107685E+02   0.110746E+02   0.184169E+03
   0.994966E+02   0.127114E+01   0.393213E-03   0.113273E+02   0.100539E+02   0.184917E+03
   0.994966E+02   0.127114E+01   0.393213E-03   0.113273E+02   0.100539E+02   0.184917E+03
   0.994966E+02   0.127114E+01   0.393213E-03   0.113273E+02   0.100539E+02   0.184917E+03
   0.994966E+02   0.127114E+01   0.405787E-03   0.101206E+02   0.999886E+01   0.185843E+03
   0.994966E+02   0.127114E+01   0.672730E-03   0.941015E+01   0.943386E+01   0.184256E+03
   0.994928E+02   0.426220E+01   0.436688E-03   0.868497E+01   0.897634E+01   0.184139E+03
   0.994928E+02   0.426220E+01   0.436688E-03   0.868497E+01   0.954841E+01   0.184553E+03
   0.996539E+02   0.426220E+01   0.436688E-03   0.868497E+01   0.954841E+01   0.184731E+03
   0.996539E+02   0.155999E+01   0.436688E-03   0.103266E+02   0.106190E+02   0.185819E+03
   0.996539E+02   0.293832E+01   0.436688E-03   0.106210E+02   0.106323E+02   0.185622E+03
   0.996539E+02   0.268296E+00   0.436688E-03   0.104345E+02   0.106323E+02   0.185368E+03
   0.996539E+02   0.268296E+00   0.407083E-03   0.104345E+02   0.103107E+02   0.185488E+03
   0.996539E+02   0.268296E+00   0.407083E-03   0.990891E+01   0.103107E+02   0.185626E+03
   0.996539E+02   0.268296E+00   0.407083E-03   0.990891E+01   0.103107E+02   0.185626E+03
   0.996539E+02   0.268296E+00   0.407083E-03   0.862999E+01   0.103107E+02   0.184683E+03
   0.996539E+02   0.268296E+00   0.407083E-03   0.864092E+01   0.108627E+02   0.184352E+03
   0.996539E+02   0.268296E+00   0.407083E-03   0.864092E+01   0.106433E+02   0.184521E+03
   0.996539E+02   0.275894E+01   0.387124E-03   0.106115E+02   0.106433E+02   0.185529E+03
   0.996539E+02   0.258236E+01   0.387124E-03   0.108088E+02   0.106433E+02   0.185411E+03
   0.996539E+02   0.258236E+01   0.372643E-03   0.118032E+02   0.105431E+02   0.184247E+03
   0.996539E+02   0.258236E+01   0.595807E-03   0.118032E+02   0.109976E+02   0.183415E+03
   0.996539E+02   0.258236E+01   0.595807E-03   0.118032E+02   0.116769E+02   0.182605E+03
   0.996539E+02   0.258236E+01   0.448437E-03   0.817921E+01   0.912799E+01   0.184024E+03
   0.996539E+02   0.258236E+01   0.448437E-03   0.817921E+01   0.895580E+01   0.183852E+03
   0.100491E+03   0.148313E+01   0.448437E-03   0.963279E+01   0.914527E+01   0.185651E+03
   0.100491E+03   0.148313E+01   0.448437E-03   0.963279E+01   0.109737E+02   0.185437E+03
   0.100491E+03   0.750069E+00   0.448437E-03   0.107148E+02   0.107635E+02   0.185192E+03
   0.100491E+03   0.750069E+00   0.448437E-03   0.107148E+02   0.115329E+02   0.184377E+03
   0.100491E+03   0.750069E+00   0.448437E-03   0.107148E+02   0.115329E+02   0.184377E+03
   0.994201E+02   0.750069E+00   0.448437E-03   0.107148E+02   0.118175E+02   0.183775E+03
   0.994201E+02   0.135513E+01   0.263817E-03   0.981635E+01   0.102276E+02   0.184680E+03
   0.100651E+03   0.135513E+01   0.286675E-03   0.981635E+01   0.102276E+02   0.184336E+03
   0.100651E+03   0.135513E+01   0.286675E-03   0.113913E+02   0.102276E+02   0.183356E+03
   0.990305E+02   0.135513E+01   0.579847E-03   0.113913E+02   0.102276E+02   0.183535E+03
   0.990305E+02   0.135513E+01   0.298911E-03   0.113913E+02   0.106375E+02   0.182973E+03
   0.990305E+02   0.135513E+01   0.298911E-03   0.113913E+02   0.101973E+02   0.183187E+03
