a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100605E+03   0.540623E-04   0.341389E-03   0.488109E-04   0.909596E-03   0.218071E+03   0.000000E+00   0.000000E+00   0.218071E+03  -0.436142E+03
   0.100605E+03   0.177504E-03   0.341389E-03   0.265258E-03   0.909596E-03   0.217041E+03   0.000000E+00   0.000000E+00   0.217041E+03  -0.434082E+03
   0.100605E+03   0.109573E-03   0.341389E-03   0.265258E-03   0.909596E-03   0.217119E+03   0.000000E+00   0.000000E+00   0.217119E+03  -0.434238E+03
   0.100320E+03   0.109573E-03   0.341389E-03   0.265258E-03   0.909596E-03   0.216896E+03   0.000000E+00   0.000000E+00   0.216896E+03  -0.433792E+03
   0.100320E+03   0.109573E-03   0.341389E-03   0.265258E-03   0.909596E-03   0.216896E+03   0.000000E+00   0.000000E+00   0.216896E+03  -0.433792E+03
   0.100320E+03   0.109573E-03   0.341389E-03   0.265258E-03   0.909596E-03   0.216896E+03   0.000000E+00   0.000000E+00   0.216896E+03  -0.433792E+03
   0.100320E+03   0.109573E-03   0.341389E-03   0.265258E-03   0.709597E-03   0.216553E+03   0.000000E+00   0.000000E+00   0.216553E+03  -0.433106E+03
   0.100320E+03   0.109573E-03   0.341389E-03   0.265258E-03   0.709597E-03   0.216553E+03   0.000000E+00   0.000000E+00   0.216553E+03  -0.433106E+03
   0.100320E+03   0.109573E-03   0.341389E-03   0.265258E-03   0.709597E-03   0.216553E+03   0.000000E+00   0.000000E+00   0.216553E+03  -0.433106E+03
   0.100320E+03   0.109573E-03   0.341389E-03   0.265258E-03   0.709597E-03   0.216553E+03   0.000000E+00   0.000000E+00   0.216553E+03  -0.433106E+03
   0.100320E+03   0.109573E-03   0.341389E-03   0.265258E-03   0.709597E-03   0.216553E+03   0.000000E+00   0.000000E+00   0.216553E+03  -0.433106E+03
   0.100320E+03   0.109573E-03   0.341389E-03   0.265258E-03   0.709597E-03   0.216553E+03   0.000000E+00   0.000000E+00   0.216553E+03  -0.433106E+03
   0.100320E+03   0.109573E-03   0.341389E-03   0.265258E-03   0.709597E-03   0.216553E+03   0.000000E+00   0.000000E+00   0.216553E+03  -0.433106E+03
   0.100320E+03   0.109573E-03   0.341389E-03   0.265258E-03   0.709597E-03   0.216553E+03   0.000000E+00   0.000000E+00   0.216553E+03  -0.433106E+03
   0.100320E+03   0.109573E-03   0.341389E-03   0.265258E-03   0.709597E-03   0.216553E+03   0.000000E+00   0.000000E+00   0.216553E+03  -0.433106E+03
   0.100320E+03   0.109573E-03   0.341389E-03   0.265258E-03   0.145604E-02   0.215689E+03   0.000000E+00   0.000000E+00   0.215689E+03  -0.431378E+03
   0.100320E+03   0.109573E-03   0.341389E-03   0.265258E-03   0.166438E-02   0.215002E+03   0.000000E+00   0.000000E+00   0.215002E+03  -0.430004E+03
   0.100320E+03   0.282153E-03   0.341389E-03   0.190932E-03   0.166438E-02   0.215193E+03   0.000000E+00   0.000000E+00   0.215193E+03  -0.430386E+03
   0.100320E+03   0.534788E-03   0.649763E-03   0.190932E-03   0.166438E-02   0.213005E+03   0.000000E+00   0.000000E+00   0.213005E+03  -0.426010E+03
   0.100320E+03   0.534788E-03   0.649763E-03   0.190932E-03   0.166438E-02   0.213005E+03   0.000000E+00   0.000000E+00   0.213005E+03  -0.426010E+03
   0.100320E+03   0.647090E-03   0.649763E-03   0.190932E-03   0.166438E-02   0.212601E+03   0.000000E+00   0.000000E+00   0.212601E+03  -0.425202E+03
