a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.975897E+02   0.681268E-03   0.962727E+01   0.100256E+02   0.120693E+02   0.145702E+02   0.175752E+03  -0.759677E+01   0.000000E+00   0.183349E+03  -0.366698E+03
   0.975897E+02   0.681268E-03   0.102936E+02   0.899848E+01   0.120693E+02   0.155139E+02   0.175595E+03  -0.775354E+01   0.000000E+00   0.183349E+03  -0.366697E+03
   0.975897E+02   0.403239E-03   0.102936E+02   0.899848E+01   0.120693E+02   0.155299E+02   0.174650E+03  -0.775546E+01   0.000000E+00   0.182405E+03  -0.364811E+03
   0.975897E+02   0.604244E-03   0.923695E+01   0.899848E+01   0.138583E+02   0.155299E+02   0.176276E+03  -0.734129E+01   0.000000E+00   0.183617E+03  -0.367235E+03
   0.975897E+02   0.604244E-03   0.923695E+01   0.899848E+01   0.149100E+02   0.155299E+02   0.176281E+03  -0.733655E+01   0.000000E+00   0.183618E+03  -0.367235E+03
   0.975897E+02   0.604244E-03   0.104552E+02   0.965128E+01   0.149100E+02   0.155299E+02   0.176264E+03  -0.735303E+01   0.000000E+00   0.183617E+03  -0.367234E+03
   0.975897E+02   0.604244E-03   0.104552E+02   0.954924E+01   0.152206E+02   0.152836E+02   0.176268E+03  -0.734940E+01   0.000000E+00   0.183617E+03  -0.367235E+03
   0.975897E+02   0.604244E-03   0.109371E+02   0.102687E+02   0.101084E+02   0.152836E+02   0.174557E+03  -0.906007E+01   0.000000E+00   0.183617E+03  -0.367234E+03
   0.975897E+02   0.604244E-03   0.115827E+02   0.102687E+02   0.113494E+02   0.121225E+02   0.174859E+03  -0.875873E+01   0.000000E+00   0.183618E+03  -0.367235E+03
   0.975897E+02   0.604244E-03   0.865528E+01   0.102687E+02   0.113494E+02   0.117073E+02   0.174993E+03  -0.862414E+01   0.000000E+00   0.183617E+03  -0.367234E+03
   0.975897E+02   0.604244E-03   0.103296E+02   0.102687E+02   0.147611E+02   0.191490E+02   0.175301E+03  -0.831694E+01   0.000000E+00   0.183618E+03  -0.367236E+03
   0.975897E+02   0.604244E-03   0.113157E+02   0.861076E+01   0.147611E+02   0.183690E+02   0.175211E+03  -0.840687E+01   0.000000E+00   0.183618E+03  -0.367236E+03
   0.975897E+02   0.604244E-03   0.994799E+01   0.999374E+01   0.171389E+02   0.161811E+02   0.175861E+03  -0.775679E+01   0.000000E+00   0.183618E+03  -0.367236E+03
   0.975897E+02   0.604244E-03   0.103207E+02   0.104595E+02   0.146954E+02   0.137073E+02   0.176248E+03  -0.736960E+01   0.000000E+00   0.183618E+03  -0.367235E+03
   0.975897E+02   0.604244E-03   0.106150E+02   0.104595E+02   0.146954E+02   0.134407E+02   0.176158E+03  -0.745922E+01   0.000000E+00   0.183617E+03  -0.367234E+03
   0.975897E+02   0.430168E-03   0.113690E+02   0.104595E+02   0.139064E+02   0.129772E+02   0.174989E+03  -0.777688E+01   0.000000E+00   0.182766E+03  -0.365532E+03
   0.975897E+02   0.430168E-03   0.992440E+01   0.105097E+02   0.139064E+02   0.146735E+02   0.175453E+03  -0.731299E+01   0.000000E+00   0.182766E+03  -0.365532E+03
   0.976361E+02   0.430168E-03   0.992440E+01   0.105097E+02   0.118387E+02   0.165505E+02   0.174746E+03  -0.801585E+01   0.000000E+00   0.182762E+03  -0.365524E+03
   0.976361E+02   0.889067E-03   0.108629E+02   0.105097E+02   0.120369E+02   0.158568E+02   0.173499E+03  -0.798773E+01   0.000000E+00   0.181487E+03  -0.362973E+03
   0.976361E+02   0.889067E-03   0.108629E+02   0.105082E+02   0.148919E+02   0.158568E+02   0.173892E+03  -0.759550E+01   0.000000E+00   0.181487E+03  -0.362975E+03
   0.983770E+02   0.889067E-03   0.913519E+01   0.105082E+02   0.148919E+02   0.148279E+02   0.174055E+03  -0.733492E+01   0.000000E+00   0.181390E+03  -0.362780E+03
   0.983770E+02   0.889067E-03   0.997248E+01   0.885919E+01   0.115520E+02   0.148279E+02   0.173489E+03  -0.790058E+01   0.000000E+00   0.181390E+03  -0.362779E+03
   0.983770E+02   0.889067E-03   0.133704E+02   0.885919E+01   0.115520E+02   0.148279E+02   0.172142E+03  -0.924828E+01   0.000000E+00   0.181390E+03  -0.362781E+03
   0.997543E+02   0.889067E-03   0.102996E+02   0.885919E+01   0.125871E+02   0.148279E+02   0.171832E+03  -0.756118E+01   0.000000E+00   0.179393E+03  -0.358786E+03
   0.969939E+02   0.889067E-03   0.102996E+02   0.116265E+02   0.125871E+02   0.161878E+02   0.172890E+03  -0.809217E+01   0.000000E+00   0.180982E+03  -0.361964E+03
