a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.968311E+02   0.754516E-03   0.945328E+01   0.103279E+02   0.159220E+02   0.137420E+02   0.174666E+03
   0.968311E+02   0.754516E-03   0.994224E+01   0.980128E+01   0.159220E+02   0.154475E+02   0.174683E+03
   0.975505E+02   0.754516E-03   0.868348E+01   0.980128E+01   0.156348E+02   0.154475E+02   0.175369E+03
   0.975505E+02   0.754516E-03   0.868348E+01   0.980128E+01   0.165163E+02   0.154475E+02   0.175219E+03
   0.975505E+02   0.754516E-03   0.120119E+02   0.980128E+01   0.194557E+02   0.117037E+02   0.173349E+03
   0.975505E+02   0.754516E-03   0.110287E+02   0.980128E+01   0.151548E+02   0.166287E+02   0.175115E+03
   0.975505E+02   0.754516E-03   0.110287E+02   0.980128E+01   0.151548E+02   0.171932E+02   0.174981E+03
   0.975505E+02   0.754516E-03   0.110287E+02   0.137159E+02   0.161110E+02   0.171932E+02   0.173279E+03
   0.975505E+02   0.754516E-03   0.122478E+02   0.140141E+02   0.161110E+02   0.171932E+02   0.172582E+03
   0.975505E+02   0.754516E-03   0.118445E+02   0.133055E+02   0.161110E+02   0.171932E+02   0.173228E+03
   0.975505E+02   0.754516E-03   0.118445E+02   0.133055E+02   0.161434E+02   0.164852E+02   0.173385E+03
   0.975505E+02   0.754516E-03   0.118445E+02   0.133055E+02   0.170451E+02   0.183848E+02   0.172679E+03
   0.975505E+02   0.712336E-03   0.122680E+02   0.116910E+02   0.170451E+02   0.183848E+02   0.173643E+03
   0.975505E+02   0.712336E-03   0.127623E+02   0.116910E+02   0.170451E+02   0.181576E+02   0.173455E+03
   0.985068E+02   0.712336E-03   0.127623E+02   0.117559E+02   0.170451E+02   0.142082E+02   0.173742E+03
   0.977530E+02   0.527576E-03   0.124063E+02   0.892435E+01   0.170451E+02   0.150136E+02   0.175096E+03
   0.964178E+02   0.527576E-03   0.667743E+01   0.915896E+01   0.102713E+02   0.846587E+01   0.167820E+03
   0.964178E+02   0.527576E-03   0.667743E+01   0.915896E+01   0.102713E+02   0.846587E+01   0.167820E+03
   0.980838E+02   0.527576E-03   0.783412E+01   0.936236E+01   0.102713E+02   0.846587E+01   0.170670E+03
   0.980838E+02   0.102714E-02   0.783412E+01   0.936236E+01   0.193213E+02   0.973882E+01   0.169063E+03
   0.980838E+02   0.102714E-02   0.102915E+02   0.960564E+01   0.202618E+02   0.142703E+02   0.171076E+03
   0.980838E+02   0.374346E-03   0.102915E+02   0.960564E+01   0.182127E+02   0.183915E+02   0.172820E+03
   0.980838E+02   0.374346E-03   0.955091E+01   0.949702E+01   0.184171E+02   0.183915E+02   0.172810E+03
   0.980838E+02   0.374346E-03   0.955091E+01   0.742143E+01   0.184171E+02   0.183915E+02   0.171978E+03
   0.980838E+02   0.374346E-03   0.924951E+01   0.723010E+01   0.203660E+02   0.136485E+02   0.171747E+03
   0.980838E+02   0.818384E-03   0.106612E+02   0.723010E+01   0.197123E+02   0.129659E+02   0.172584E+03
   0.980838E+02   0.818384E-03   0.109491E+02   0.723010E+01   0.238008E+02   0.143179E+02   0.170725E+03
   0.982521E+02   0.818384E-03   0.125374E+02   0.808509E+01   0.130461E+02   0.143179E+02   0.173643E+03
   0.982521E+02   0.513443E-03   0.133628E+02   0.808509E+01   0.130461E+02   0.143179E+02   0.174031E+03
   0.982521E+02   0.513443E-03   0.131528E+02   0.808509E+01   0.159838E+02   0.139713E+02   0.174136E+03
   0.982521E+02   0.605556E-03   0.122387E+02   0.801091E+01   0.159493E+02   0.164387E+02   0.174706E+03
   0.982521E+02   0.605556E-03   0.121496E+02   0.801091E+01   0.160905E+02   0.195640E+02   0.173775E+03
   0.982521E+02   0.605556E-03   0.986770E+01   0.801091E+01   0.182813E+02   0.121460E+02   0.174701E+03
   0.982521E+02   0.605556E-03   0.986770E+01   0.801091E+01   0.182813E+02   0.121460E+02   0.174701E+03
   0.982521E+02   0.605556E-03   0.986770E+01   0.801091E+01   0.182813E+02   0.100179E+02   0.173414E+03
   0.982521E+02   0.605556E-03   0.101592E+02   0.801091E+01   0.139199E+02   0.154296E+02   0.175671E+03
   0.982521E+02   0.605556E-03   0.102580E+02   0.907410E+01   0.144618E+02   0.155160E+02   0.176033E+03
   0.982521E+02   0.605556E-03   0.721921E+01   0.114695E+02   0.144618E+02   0.178446E+02   0.174212E+03
   0.982521E+02   0.605556E-03   0.836522E+01   0.114695E+02   0.144618E+02   0.178446E+02   0.174993E+03
   0.982521E+02   0.605556E-03   0.811250E+01   0.115446E+02   0.115119E+02   0.195736E+02   0.173614E+03
   0.982521E+02   0.605556E-03   0.965312E+01   0.115446E+02   0.106823E+02   0.195736E+02   0.173482E+03
   0.982521E+02   0.605556E-03   0.789195E+01   0.115446E+02   0.106823E+02   0.195736E+02   0.172998E+03
   0.982521E+02   0.605556E-03   0.789195E+01   0.115446E+02   0.111848E+02   0.159704E+02   0.174355E+03
   0.982521E+02   0.605556E-03   0.789195E+01   0.100277E+02   0.111848E+02   0.159704E+02   0.174754E+03
   0.982521E+02   0.605556E-03   0.100905E+02   0.623385E+01   0.111848E+02   0.154688E+02   0.172961E+03
   0.982521E+02   0.605556E-03   0.902210E+01   0.110313E+02   0.144855E+02   0.154688E+02   0.175845E+03
   0.982521E+02   0.605556E-03   0.902210E+01   0.110313E+02   0.144855E+02   0.154688E+02   0.175845E+03
   0.982521E+02   0.605556E-03   0.902210E+01   0.104548E+02   0.155921E+02   0.154688E+02   0.175917E+03
   0.982521E+02   0.605556E-03   0.902210E+01   0.104548E+02   0.155921E+02   0.154688E+02   0.175917E+03
   0.982521E+02   0.605556E-03   0.902210E+01   0.104548E+02   0.173967E+02   0.154688E+02   0.175552E+03
   0.982521E+02   0.605556E-03   0.102446E+02   0.104548E+02   0.173967E+02   0.209792E+02   0.173850E+03
   0.982521E+02   0.605556E-03   0.102446E+02   0.104548E+02   0.113251E+02   0.209792E+02   0.173567E+03
   0.982521E+02   0.605556E-03   0.102446E+02   0.127185E+02   0.102723E+02   0.161419E+02   0.173567E+03
   0.982521E+02   0.605556E-03   0.102446E+02   0.127185E+02   0.103960E+02   0.141777E+02   0.173824E+03
   0.982521E+02   0.605556E-03   0.102446E+02   0.106184E+02   0.103960E+02   0.141777E+02   0.174682E+03
   0.982521E+02   0.605556E-03   0.106565E+02   0.106184E+02   0.103960E+02   0.141777E+02   0.174600E+03
   0.982521E+02   0.443569E-03   0.102877E+02   0.102883E+02   0.151896E+02   0.166531E+02   0.174758E+03
   0.982521E+02   0.443569E-03   0.100281E+02   0.906260E+01   0.151896E+02   0.166531E+02   0.174810E+03
   0.982521E+02   0.443569E-03   0.100281E+02   0.906260E+01   0.171822E+02   0.126432E+02   0.174505E+03
   0.982521E+02   0.443569E-03   0.100281E+02   0.972554E+01   0.186068E+02   0.174573E+02   0.173871E+03
   0.968092E+02   0.443569E-03   0.126408E+02   0.972554E+01   0.169123E+02   0.110190E+02   0.172724E+03
   0.968092E+02   0.443569E-03   0.126408E+02   0.972554E+01   0.169123E+02   0.125046E+02   0.173372E+03
   0.968092E+02   0.803977E-03   0.126408E+02   0.972554E+01   0.169123E+02   0.125046E+02   0.172919E+03
   0.968092E+02   0.803977E-03   0.126408E+02   0.124935E+02   0.159412E+02   0.120327E+02   0.172096E+03
   0.984547E+02   0.803977E-03   0.799660E+01   0.912333E+01   0.159412E+02   0.171792E+02   0.174052E+03
   0.984547E+02   0.803977E-03   0.867886E+01   0.912333E+01   0.159412E+02   0.171792E+02   0.174344E+03
   0.984547E+02   0.803977E-03   0.867886E+01   0.912333E+01   0.159412E+02   0.103966E+02   0.173397E+03
   0.984547E+02   0.820221E-03   0.867886E+01   0.108122E+02   0.113294E+02   0.882574E+01   0.170838E+03
   0.981019E+02   0.820221E-03   0.867886E+01   0.108122E+02   0.134252E+02   0.843398E+01   0.171117E+03
   0.981019E+02   0.820221E-03   0.867886E+01   0.115489E+02   0.150859E+02   0.139850E+02   0.174482E+03
   0.981019E+02   0.820221E-03   0.867886E+01   0.932785E+01   0.150859E+02   0.139850E+02   0.174894E+03
   0.981019E+02   0.820221E-03   0.659478E+01   0.924292E+01   0.150859E+02   0.131168E+02   0.173146E+03
   0.981019E+02   0.820221E-03   0.851318E+01   0.100163E+02   0.150859E+02   0.131168E+02   0.174730E+03
   0.981019E+02   0.820221E-03   0.851318E+01   0.101126E+02   0.150859E+02   0.123993E+02   0.174547E+03
   0.981019E+02   0.820221E-03   0.101811E+02   0.105482E+02   0.112431E+02   0.123993E+02   0.173867E+03
   0.981019E+02   0.705010E-03   0.113405E+02   0.105482E+02   0.143589E+02   0.117778E+02   0.175036E+03
   0.963746E+02   0.705010E-03   0.113405E+02   0.131163E+02   0.143589E+02   0.117778E+02   0.172175E+03
   0.963746E+02   0.570016E-03   0.113405E+02   0.123964E+02   0.143589E+02   0.117778E+02   0.172801E+03
   0.963746E+02   0.687423E-03   0.931317E+01   0.120957E+02   0.125290E+02   0.117778E+02   0.172889E+03
   0.963746E+02   0.687423E-03   0.931317E+01   0.995357E+01   0.125290E+02   0.181230E+02   0.173390E+03
   0.963746E+02   0.687423E-03   0.113749E+02   0.120736E+02   0.102316E+02   0.181230E+02   0.171187E+03
   0.962182E+02   0.759236E-03   0.113749E+02   0.120736E+02   0.102316E+02   0.181611E+02   0.170396E+03
   0.962182E+02   0.759236E-03   0.840197E+01   0.942317E+01   0.101369E+02   0.181611E+02   0.171094E+03
   0.962182E+02   0.759236E-03   0.123491E+02   0.132191E+02   0.962434E+01   0.146928E+02   0.169437E+03
   0.962182E+02   0.759236E-03   0.115926E+02   0.132191E+02   0.173977E+02   0.175073E+02   0.170910E+03
   0.962182E+02   0.759236E-03   0.115094E+02   0.126966E+02   0.173977E+02   0.136010E+02   0.171675E+03
   0.962182E+02   0.759236E-03   0.756373E+01   0.126966E+02   0.153322E+02   0.114415E+02   0.171139E+03
   0.962182E+02   0.759236E-03   0.960465E+01   0.104973E+02   0.153322E+02   0.133730E+02   0.173324E+03
   0.962182E+02   0.819219E-03   0.960465E+01   0.104973E+02   0.141960E+02   0.125080E+02   0.172748E+03
   0.962182E+02   0.746692E-03   0.960465E+01   0.104973E+02   0.142012E+02   0.124348E+02   0.173244E+03
   0.962182E+02   0.746692E-03   0.960465E+01   0.111174E+02   0.142012E+02   0.124348E+02   0.173076E+03
   0.962182E+02   0.746692E-03   0.797850E+01   0.835628E+01   0.173435E+02   0.124348E+02   0.172241E+03
   0.962182E+02   0.746692E-03   0.797850E+01   0.848142E+01   0.187715E+02   0.124348E+02   0.171846E+03
   0.962182E+02   0.746692E-03   0.797850E+01   0.105296E+02   0.187715E+02   0.156132E+02   0.172127E+03
   0.962182E+02   0.785105E-03   0.915024E+01   0.126609E+02   0.119333E+02   0.159463E+02   0.171809E+03
   0.100027E+03   0.856114E-03   0.915024E+01   0.126609E+02   0.119333E+02   0.159463E+02   0.170157E+03
   0.100027E+03   0.752785E-03   0.112384E+02   0.124200E+02   0.160947E+02   0.159463E+02   0.170585E+03
   0.100027E+03   0.752785E-03   0.115609E+02   0.124200E+02   0.148111E+02   0.169913E+02   0.170397E+03
   0.100027E+03   0.752785E-03   0.877034E+01   0.108736E+02   0.154691E+02   0.169913E+02   0.171300E+03
   0.969313E+02   0.752785E-03   0.877034E+01   0.108736E+02   0.154691E+02   0.169913E+02   0.174360E+03
   0.969313E+02   0.752785E-03   0.877034E+01   0.108736E+02   0.154691E+02   0.169913E+02   0.174360E+03
   0.969313E+02   0.752785E-03   0.877034E+01   0.108736E+02   0.105562E+02   0.169913E+02   0.173211E+03
   0.969313E+02   0.752785E-03   0.877034E+01   0.108736E+02   0.105562E+02   0.133053E+02   0.173470E+03
   0.969313E+02   0.752785E-03   0.877034E+01   0.108736E+02   0.105562E+02   0.133053E+02   0.173470E+03
