a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.118370E+03   0.342368E+02   0.212435E-03   0.748094E+01   0.838817E+01   0.196565E+02   0.946189E-03   0.375035E+02  -0.135621E+01   0.000000E+00   0.388597E+02  -0.777194E+02
   0.118370E+03   0.342368E+02   0.212435E-03   0.705597E+01   0.838817E+01   0.186971E+02   0.946189E-03   0.374518E+02  -0.140787E+01   0.000000E+00   0.388597E+02  -0.777193E+02
   0.118370E+03   0.342368E+02   0.212435E-03   0.702667E+01   0.923108E+01   0.205988E+02   0.133826E-02   0.364946E+02  -0.236509E+01   0.000000E+00   0.388597E+02  -0.777194E+02
   0.118370E+03   0.342368E+02   0.212435E-03   0.847714E+01   0.961318E+01   0.205988E+02   0.133826E-02   0.375423E+02  -0.131745E+01   0.000000E+00   0.388597E+02  -0.777195E+02
   0.118370E+03   0.331866E+02   0.522822E-03   0.878762E+01   0.101371E+02   0.195747E+02   0.156116E-03   0.371590E+02  -0.367635E+00   0.000000E+00   0.375266E+02  -0.750533E+02
   0.118370E+03   0.331866E+02   0.522822E-03   0.893300E+01   0.106173E+02   0.195747E+02   0.156116E-03   0.371034E+02  -0.423207E+00   0.000000E+00   0.375266E+02  -0.750532E+02
   0.119573E+03   0.331866E+02   0.522822E-03   0.975886E+01   0.991042E+01   0.176234E+02   0.208859E-03   0.383752E+02   0.625906E+00   0.000000E+00   0.377493E+02  -0.754986E+02
   0.119573E+03   0.331866E+02   0.522822E-03   0.863575E+01   0.109423E+02   0.176234E+02   0.208859E-03   0.380366E+02   0.287299E+00   0.000000E+00   0.377493E+02  -0.754986E+02
   0.119573E+03   0.331866E+02   0.522822E-03   0.752750E+01   0.102618E+02   0.176234E+02   0.208859E-03   0.375917E+02  -0.157568E+00   0.000000E+00   0.377493E+02  -0.754985E+02
   0.119573E+03   0.331866E+02   0.522822E-03   0.789778E+01   0.874034E+01   0.164608E+02   0.208859E-03   0.380831E+02   0.333811E+00   0.000000E+00   0.377493E+02  -0.754986E+02
