a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        
   0.101674E+03   0.339656E+00   0.241366E-03   0.122154E-03   0.110776E-02   0.175660E-02   0.634040E-03   0.529676E-03   0.250055E-03   0.160966E-03   0.144981E+03
   0.101346E+03  -0.747852E+00   0.241366E-03   0.122154E-03   0.110776E-02   0.175660E-02   0.634040E-03   0.529676E-03   0.250055E-03   0.160966E-03   0.144839E+03
   0.101346E+03   0.383248E+01   0.241366E-03   0.122154E-03   0.141817E-02   0.175660E-02   0.634040E-03   0.529676E-03   0.447976E-04   0.160966E-03   0.144070E+03
   0.101346E+03   0.175058E+01   0.241366E-03   0.122154E-03   0.303505E-03   0.178736E-03   0.634040E-03   0.529676E-03   0.447976E-04   0.160966E-03   0.149713E+03
   0.101762E+03   0.175058E+01   0.760386E-03   0.122154E-03   0.303505E-03   0.178736E-03   0.634040E-03   0.529676E-03   0.447976E-04   0.160966E-03   0.148090E+03
   0.100696E+03   0.175058E+01   0.760386E-03   0.122154E-03   0.303505E-03   0.178736E-03   0.634040E-03   0.529676E-03   0.447976E-04   0.160966E-03   0.148472E+03
   0.100644E+03   0.175058E+01   0.760386E-03   0.439369E-04   0.303505E-03   0.178736E-03   0.634040E-03   0.529676E-03   0.447976E-04   0.160966E-03   0.148458E+03
   0.100644E+03   0.175058E+01   0.760386E-03   0.439369E-04   0.303505E-03   0.178736E-03   0.646638E-02   0.353847E-03   0.447976E-04   0.160966E-03   0.143107E+03
   0.100644E+03   0.109978E+00   0.760386E-03   0.128159E-03   0.303505E-03   0.178736E-03   0.646638E-02   0.312912E-03   0.447976E-04   0.160966E-03   0.142876E+03
   0.100644E+03  -0.123348E+01   0.435324E-03   0.128159E-03   0.293686E-03   0.178736E-03   0.471711E-02   0.312912E-03   0.447976E-04   0.160966E-03   0.143911E+03
   0.100644E+03   0.341217E+01   0.186948E-03   0.128159E-03   0.293686E-03   0.441030E-02   0.372001E-02   0.312912E-03   0.447976E-04   0.160966E-03   0.140089E+03
   0.100644E+03   0.341217E+01   0.150635E-03   0.128159E-03   0.286222E-04   0.441030E-02   0.372001E-02   0.416057E-02   0.447976E-04   0.160966E-03   0.135635E+03
   0.101432E+03   0.882999E+00   0.150635E-03   0.128159E-03   0.286222E-04   0.562590E-04   0.320516E-02   0.359082E-03   0.447976E-04   0.160966E-03   0.146538E+03
   0.101432E+03   0.882999E+00   0.150635E-03   0.128159E-03   0.615254E-03   0.562590E-04   0.548046E-03   0.359082E-03   0.447976E-04   0.160966E-03   0.149698E+03
   0.101432E+03   0.507246E+00   0.150635E-03   0.128159E-03   0.615254E-03   0.172559E-03   0.208117E-03   0.359082E-03   0.447976E-04   0.160966E-03   0.150218E+03
   0.102096E+03   0.507246E+00   0.150635E-03   0.128159E-03   0.822149E-03   0.172559E-03   0.208117E-03   0.359082E-03   0.447976E-04   0.809106E-03   0.147745E+03
   0.102096E+03   0.507246E+00   0.150635E-03   0.128159E-03   0.822149E-03   0.194383E-03   0.208117E-03   0.190096E-03   0.447976E-04   0.809106E-03   0.147800E+03
   0.102096E+03   0.507246E+00   0.150635E-03   0.128159E-03   0.822149E-03   0.194383E-03   0.213531E-03   0.190096E-03   0.447976E-04   0.809106E-03   0.147793E+03
   0.102096E+03   0.187971E+01   0.150635E-03   0.128159E-03   0.822149E-03   0.194383E-03   0.213531E-03   0.190096E-03   0.447976E-04   0.809106E-03   0.147737E+03
   0.102096E+03   0.187971E+01   0.150635E-03   0.128159E-03   0.822149E-03   0.320245E-03   0.213531E-03   0.347299E-02   0.447976E-04   0.809106E-03   0.143767E+03
   0.100758E+03   0.187971E+01   0.150635E-03   0.128159E-03   0.722002E-03   0.320245E-03   0.213531E-03   0.144002E-02   0.447976E-04   0.809106E-03   0.146479E+03
   0.100758E+03   0.187971E+01   0.150635E-03   0.128159E-03   0.111400E-03   0.320245E-03   0.213531E-03   0.144002E-02   0.447976E-04   0.809106E-03   0.147664E+03
   0.100758E+03   0.187971E+01   0.150635E-03   0.128159E-03   0.111400E-03   0.320245E-03   0.213531E-03   0.816744E-03   0.447976E-04   0.809106E-03   0.148815E+03
   0.100758E+03   0.187971E+01   0.150635E-03   0.128159E-03   0.111400E-03   0.320245E-03   0.318193E-03   0.816744E-03   0.447976E-04   0.267466E-02   0.145837E+03
