a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        
   0.101589E+03   0.497442E+01   0.100387E+01   0.137998E+02   0.258637E-03   0.121070E-03   0.393331E-03   0.614059E-03   0.702323E-03   0.449937E-03   0.487586E-03   0.411242E-03   0.146765E+03
   0.101309E+03   0.497442E+01  -0.325452E+00   0.108067E+02   0.258637E-03   0.121070E-03   0.393331E-03   0.614059E-03   0.702323E-03   0.449937E-03   0.487586E-03   0.411242E-03   0.146947E+03
   0.101604E+03   0.497442E+01  -0.325452E+00   0.108067E+02   0.258637E-03   0.121070E-03   0.393331E-03   0.614059E-03   0.788543E-03   0.449937E-03   0.116391E-02   0.411242E-03   0.145208E+03
   0.101604E+03   0.576901E+01   0.979566E+01   0.879072E+01   0.258637E-03   0.121070E-03   0.393331E-03   0.614059E-03   0.173516E-04   0.449937E-03   0.116391E-02   0.411242E-03   0.145773E+03
   0.101604E+03   0.576901E+01   0.867626E+01   0.879072E+01   0.258637E-03   0.121070E-03   0.393331E-03   0.614059E-03   0.173516E-04   0.449937E-03   0.116391E-02   0.411242E-03   0.146200E+03
   0.101604E+03   0.576901E+01   0.119787E+02   0.116665E+02   0.258637E-03   0.121070E-03   0.444638E-03   0.284664E-03   0.173516E-04   0.449937E-03   0.116391E-02   0.411242E-03   0.144712E+03
   0.101604E+03   0.450263E+01   0.540205E+01   0.598304E+01   0.258637E-03   0.121070E-03   0.444638E-03   0.284664E-03   0.173516E-04   0.449937E-03   0.116391E-02   0.411242E-03   0.147613E+03
   0.101604E+03   0.145095E+01   0.506100E+01   0.214726E+01   0.258637E-03   0.121070E-03   0.618923E-03   0.284664E-03   0.173516E-04   0.449937E-03   0.270118E-03   0.411242E-03   0.149031E+03
   0.101756E+03   0.145095E+01   0.538656E+01   0.399542E+01   0.258637E-03   0.121070E-03   0.618923E-03   0.284664E-03   0.173516E-04   0.449937E-03   0.270118E-03   0.187203E-03   0.149171E+03
   0.101756E+03   0.145095E+01   0.690574E+01   0.399542E+01   0.258637E-03   0.121070E-03   0.618923E-03   0.284664E-03   0.173516E-04   0.449937E-03   0.270118E-03   0.187203E-03   0.148780E+03
   0.100406E+03   0.319602E+01  -0.335864E+01   0.460867E+01   0.258637E-03   0.121070E-03   0.618923E-03   0.284664E-03   0.173516E-04   0.449937E-03   0.784187E-03   0.187203E-03   0.147888E+03
   0.100406E+03   0.319602E+01  -0.107029E+01   0.684582E+01   0.258637E-03   0.121070E-03   0.618923E-03   0.284664E-03   0.173516E-04   0.449937E-03   0.784187E-03   0.187203E-03   0.147837E+03
   0.100406E+03   0.319602E+01  -0.461930E+00   0.493032E+01   0.258637E-03   0.121070E-03   0.618923E-03   0.284664E-03   0.173516E-04   0.449937E-03   0.784187E-03   0.187203E-03   0.147915E+03
   0.100406E+03   0.319602E+01   0.225062E+01   0.493032E+01   0.383280E-03   0.121070E-03   0.618923E-03   0.284664E-03   0.173516E-04   0.449937E-03   0.784187E-03   0.187203E-03   0.147253E+03
   0.100406E+03   0.319602E+01   0.225062E+01   0.918660E+01   0.383280E-03   0.121070E-03   0.618923E-03   0.284664E-03   0.173516E-04   0.881456E-04   0.784187E-03   0.187203E-03   0.147399E+03
   0.100406E+03   0.423887E+01   0.135405E+01   0.918660E+01   0.383280E-03   0.121070E-03   0.618923E-03   0.284664E-03   0.173516E-04   0.881456E-04   0.784187E-03   0.187203E-03   0.147641E+03
   0.101692E+03   0.423887E+01   0.528751E+01   0.918660E+01   0.383280E-03   0.121070E-03   0.618923E-03   0.284664E-03   0.173516E-04   0.881456E-04   0.784187E-03   0.187203E-03   0.148482E+03
   0.101692E+03   0.423887E+01  -0.245584E+01   0.918660E+01   0.383280E-03   0.335077E-03   0.618923E-03   0.284664E-03   0.173516E-04   0.212058E-03   0.784187E-03   0.187203E-03   0.147047E+03
   0.101275E+03   0.423887E+01  -0.245584E+01   0.946634E+01   0.383280E-03   0.351653E-03   0.618923E-03   0.284664E-03   0.173516E-04   0.212058E-03   0.520769E-04   0.187203E-03   0.148782E+03
   0.101275E+03   0.503241E+01  -0.298231E+01   0.946634E+01   0.383280E-03   0.392401E-03   0.618923E-03   0.284664E-03   0.317565E-03   0.212058E-03   0.520769E-04   0.187203E-03   0.147926E+03
   0.100943E+03   0.503241E+01  -0.404771E+01   0.378778E+01   0.229701E-02   0.392401E-03   0.618923E-03   0.284664E-03   0.317565E-03   0.878841E-03   0.520769E-04   0.187203E-03   0.144348E+03
   0.100943E+03  -0.712553E+00  -0.652170E-01   0.378778E+01   0.229701E-02   0.101555E-02   0.155906E-03   0.284664E-03   0.317565E-03   0.878841E-03   0.520769E-04   0.187203E-03   0.142567E+03
   0.101149E+03   0.881269E+00  -0.652170E-01  -0.116688E+02   0.472847E-02   0.136350E-03   0.155906E-03   0.284664E-03   0.317565E-03   0.677971E-03   0.520769E-04   0.187203E-03   0.143292E+03
   0.101149E+03  -0.106689E+01  -0.157553E+02  -0.148384E+02   0.472847E-02   0.136350E-03   0.155906E-03   0.284664E-03   0.317565E-03   0.292461E-02   0.520769E-04   0.224269E-02   0.136449E+03
   0.100602E+03   0.147628E+00  -0.157553E+02  -0.153298E+02   0.516191E-02   0.769798E-03   0.155906E-03   0.284664E-03   0.317565E-03   0.253553E-02   0.520769E-04   0.224269E-02   0.135439E+03
