a0_min        a1_min        a2_min        a3_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.101451E+03 -0.370194E+01  0.758418E+01 -0.718698E+01  0.110983E-02  0.325208E-03  0.172425E-03  0.885194E-04  0.265285E-02  0.121250E-02  0.635250E-04  0.779060E-03  0.140218E+03
  0.101451E+03 -0.370194E+01  0.758418E+01 -0.718698E+01  0.110983E-02  0.325208E-03  0.172425E-03  0.885194E-04  0.265285E-02  0.811833E-03  0.635250E-04  0.779060E-03  0.140994E+03
  0.101451E+03 -0.488240E+01 -0.375049E+01 -0.125397E+02  0.110983E-02  0.325208E-03  0.172425E-03  0.885194E-04  0.484939E-02  0.811833E-03  0.635250E-04  0.779060E-03  0.139583E+03
  0.101451E+03 -0.476401E+01 -0.678409E+01 -0.225234E+02  0.110983E-02  0.325208E-03  0.172425E-03  0.885194E-04  0.548545E-03  0.441844E-03  0.635250E-04  0.779060E-03  0.143524E+03
  0.101451E+03 -0.476401E+01 -0.218434E+01 -0.237473E+02  0.110983E-02  0.325208E-03  0.172425E-03  0.885194E-04  0.548545E-03  0.441844E-03  0.635250E-04  0.779060E-03  0.142891E+03
  0.102009E+03 -0.476401E+01 -0.218434E+01 -0.267787E+02  0.110983E-02  0.325208E-03  0.172425E-03  0.885194E-04  0.548545E-03  0.441844E-03  0.635250E-04  0.779060E-03  0.143052E+03
  0.102009E+03 -0.476401E+01 -0.312323E+00 -0.267787E+02  0.110983E-02  0.325208E-03  0.825881E-03  0.885194E-04  0.548545E-03  0.441844E-03  0.635250E-04  0.779060E-03  0.141574E+03
  0.102009E+03 -0.476401E+01 -0.919246E+01 -0.267787E+02  0.110983E-02  0.842519E-03  0.223717E-02  0.885194E-04  0.548545E-03  0.441844E-03  0.635250E-04  0.779060E-03  0.138005E+03
  0.102009E+03 -0.476401E+01 -0.919246E+01 -0.267787E+02  0.110983E-02  0.842519E-03  0.223717E-02  0.885194E-04  0.548545E-03  0.254809E-03  0.635250E-04  0.779060E-03  0.138010E+03
  0.102009E+03 -0.994151E-01 -0.715502E+01 -0.267787E+02  0.110983E-02  0.842519E-03  0.223717E-02  0.885194E-04  0.548545E-03  0.254809E-03  0.635250E-04  0.779060E-03  0.138008E+03
  0.101299E+03 -0.994151E-01 -0.715502E+01 -0.138945E+02  0.110983E-02  0.842519E-03  0.223717E-02  0.885194E-04  0.548545E-03  0.154536E-02  0.139820E-02  0.779060E-03  0.137732E+03
  0.101299E+03  0.257182E+01 -0.715502E+01 -0.138945E+02  0.110983E-02  0.842519E-03  0.293576E-02  0.885194E-04  0.548545E-03  0.397422E-02  0.139820E-02  0.182298E-03  0.135578E+03
  0.101299E+03  0.257182E+01 -0.715502E+01 -0.115046E+02  0.110983E-02  0.842519E-03  0.293576E-02  0.885194E-04  0.548545E-03  0.397422E-02  0.139820E-02  0.182298E-03  0.135680E+03
  0.101299E+03  0.257182E+01 -0.517522E+01 -0.238526E+02  0.110983E-02  0.842519E-03  0.302244E-03  0.885194E-04  0.548545E-03  0.482811E-03  0.562049E-03  0.182298E-03  0.140664E+03
  0.101299E+03  0.257182E+01 -0.517522E+01 -0.255243E+01  0.110983E-02  0.842519E-03  0.302244E-03  0.885194E-04  0.548545E-03  0.482811E-03  0.562049E-03  0.182298E-03  0.145257E+03
  0.101299E+03  0.257182E+01 -0.517522E+01 -0.255243E+01  0.252425E-04  0.842519E-03  0.302244E-03  0.885194E-04  0.778604E-03  0.482811E-03  0.562049E-03  0.182298E-03  0.146657E+03
  0.101299E+03  0.164551E-01  0.219822E+01 -0.255243E+01  0.252425E-04  0.842519E-03  0.302244E-03  0.885194E-04  0.778604E-03  0.482811E-03  0.562049E-03  0.182298E-03  0.147403E+03
  0.101299E+03  0.164551E-01  0.219822E+01  0.736964E+00  0.252425E-04  0.842519E-03  0.302244E-03  0.885194E-04  0.778604E-03  0.482811E-03  0.562049E-03  0.182298E-03  0.147279E+03
  0.101299E+03  0.164551E-01  0.219822E+01  0.736964E+00  0.252425E-04  0.829999E-04  0.302244E-03  0.885194E-04  0.778604E-03  0.482811E-03  0.562049E-03  0.182298E-03  0.148817E+03
  0.101299E+03  0.164551E-01  0.255727E+01  0.736964E+00  0.252425E-04  0.829999E-04  0.302244E-03  0.885194E-04  0.778604E-03  0.482811E-03  0.562049E-03  0.182298E-03  0.148798E+03
  0.101299E+03  0.164551E-01  0.255727E+01  0.734155E+01  0.252425E-04  0.829999E-04  0.302244E-03  0.419953E-03  0.778604E-03  0.482811E-03  0.562049E-03  0.182298E-03  0.147523E+03
