"X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10"
1 -0.0186976465786042 -0.499475597018632 0.028030128031889 0.373689527265861 -0.0350009089052081 -0.310208142576378 0.0407725088907611 0.270002718576777
1 -0.00861153126594483 -0.499888762293883 0.0129157003539436 0.374721929794928 -0.0161410335891905 -0.312013443300841 0.0188251539037267 0.272707800260558
1 0.00147458404671474 -0.499996738402834 -0.0022118680542402 0.374991846027769 0.00276481703223335 -0.31248573060548 -0.00322558947781415 0.273416096024573
1 0.0115606993593742 -0.499799525345483 -0.0173371863270446 0.3744988915111 0.0216627934329574 -0.311623275015285 -0.0252586199348004 0.272122851929689
1 0.0216468146720334 -0.499297123121832 -0.0324448635988519 0.373243768429952 0.0404990605079317 -0.309429234986748 -0.0471529154282663 0.268836748573051
1 0.0317329299846931 -0.49848953173188 -0.0475195090040458 0.371228265607678 0.0592198962127981 -0.305911649835992 -0.0687880751187866 0.263579855159882
1 0.0418190452973526 -0.497376751175627 -0.0625457316770077 0.368455258505946 0.0777717902035204 -0.301083421723097 -0.0900448596411834 0.256387512637469
1 0.0519051606100118 -0.495958781453073 -0.0775081407521204 0.364928709224741 0.0961015424760224 -0.294962286692623 -0.110805728299562 0.247308146248736
1 0.0619912759226715 -0.494235622564219 -0.0923913453637674 0.360653666502368 0.114156362005822 -0.287570774770349 -0.13095537174772 0.236403008079864
1 0.0720773912353307 -0.492207274509064 -0.10717995464633 0.355636265715448 0.131883965387664 -0.278936159116199 -0.150381238719981 0.223745850393535
1 0.0821635065479902 -0.489873737287608 -0.121858577734191 0.34988372887892 0.149232675475154 -0.269090394233375 -0.168974055377523 0.209422530756482
1 0.0922496218606499 -0.487235010899851 -0.136411823761735 0.34340436464604 0.166151520020397 -0.258070043233701 -0.186628335835243 0.193530550187082
1 0.102335737173309 -0.484291095345793 -0.150824301863341 0.336207568308384 0.182590330313624 -0.245916194159155 -0.203242882434208 0.176178525765886
1 0.112421852485969 -0.481041990625435 -0.165080621173395 0.328303821795843 0.198499839822837 -0.232674365359608 -0.218721274324777 0.157485599369001
1 0.122507967798628 -0.477487696738775 -0.179165390826277 0.319704693676627 0.213831782833433 -0.218394399926773 -0.232972342925398 0.13758078440141
1 0.132594083111288 -0.473628213685815 -0.193063219956371 0.310422839157263 0.228538993087845 -0.203130349184343 -0.245910632822189 0.116602252624348
