a0_min_r_1     a0_flood_r_1   a1_flood_r_1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.114565E+03   0.331303E+02   0.333875E+01   0.533940E-03   0.122024E+02   0.107842E+02   0.135773E+02   0.182680E+02   0.465506E+02  -0.880750E+01   0.000000E+00   0.553581E+02  -0.110716E+03
   0.114565E+03   0.331303E+02   0.333875E+01   0.533940E-03   0.122024E+02   0.963707E+01   0.135773E+02   0.176512E+02   0.469061E+02  -0.845203E+01   0.000000E+00   0.553581E+02  -0.110716E+03
   0.114565E+03   0.331303E+02   0.349880E+01   0.533940E-03   0.126446E+02   0.963707E+01   0.141997E+02   0.170138E+02   0.470254E+02  -0.846936E+01   0.000000E+00   0.554948E+02  -0.110990E+03
   0.114565E+03   0.331303E+02   0.308343E+01   0.533940E-03   0.128318E+02   0.960776E+01   0.141997E+02   0.189155E+02   0.459287E+02  -0.915284E+01   0.000000E+00   0.550815E+02  -0.110163E+03
   0.116525E+03   0.331303E+02   0.330770E+01   0.533940E-03   0.128318E+02   0.998987E+01   0.141997E+02   0.175834E+02   0.466648E+02  -0.874204E+01   0.000000E+00   0.554068E+02  -0.110814E+03
   0.116525E+03   0.331303E+02   0.261560E+01   0.533940E-03   0.133080E+02   0.936920E+01   0.136087E+02   0.170319E+02   0.469483E+02  -0.890371E+01   0.000000E+00   0.558520E+02  -0.111704E+03
   0.116525E+03   0.331303E+02   0.212003E+01   0.533940E-03   0.133080E+02   0.107863E+02   0.137424E+02   0.176354E+02   0.466280E+02  -0.921085E+01   0.000000E+00   0.558389E+02  -0.111678E+03
   0.116525E+03   0.331303E+02   0.179871E+01   0.533940E-03   0.139664E+02   0.106447E+02   0.144421E+02   0.179410E+02   0.460267E+02  -0.965942E+01   0.000000E+00   0.556861E+02  -0.111372E+03
   0.116525E+03   0.331303E+02   0.196311E+01   0.533940E-03   0.125829E+02   0.116116E+02   0.129720E+02   0.178346E+02   0.465348E+02  -0.924344E+01   0.000000E+00   0.557782E+02  -0.111556E+03
   0.116525E+03   0.331303E+02   0.260731E+01   0.533940E-03   0.118762E+02   0.108102E+02   0.128597E+02   0.182218E+02   0.470885E+02  -0.876468E+01   0.000000E+00   0.558532E+02  -0.111706E+03
   0.116525E+03   0.331303E+02   0.303524E+01   0.533940E-03   0.118762E+02   0.948613E+01   0.140982E+02   0.199111E+02   0.465898E+02  -0.905485E+01   0.000000E+00   0.556446E+02  -0.111289E+03
   0.116525E+03   0.331303E+02   0.282214E+01   0.533940E-03   0.118762E+02   0.936677E+01   0.151749E+02   0.199111E+02   0.466863E+02  -0.908811E+01   0.000000E+00   0.557744E+02  -0.111549E+03
   0.116525E+03   0.331303E+02   0.312008E+01   0.533940E-03   0.118762E+02   0.810402E+01   0.171511E+02   0.183613E+02   0.463667E+02  -0.921475E+01   0.000000E+00   0.555815E+02  -0.111163E+03
   0.116525E+03   0.331303E+02   0.321907E+01   0.533940E-03   0.958836E+01   0.735609E+01   0.163611E+02   0.183613E+02   0.464902E+02  -0.900520E+01   0.000000E+00   0.554954E+02  -0.110991E+03
   0.116525E+03   0.331303E+02   0.323773E+01   0.533940E-03   0.101257E+02   0.740864E+01   0.163611E+02   0.196993E+02   0.459970E+02  -0.948043E+01   0.000000E+00   0.554774E+02  -0.110955E+03
   0.116525E+03   0.331303E+02   0.323773E+01   0.533940E-03   0.907551E+01   0.909860E+01   0.165659E+02   0.192111E+02   0.469452E+02  -0.853227E+01   0.000000E+00   0.554775E+02  -0.110955E+03
   0.116525E+03   0.331303E+02   0.335754E+01   0.533940E-03   0.825841E+01   0.896896E+01   0.165659E+02   0.197000E+02   0.463672E+02  -0.898859E+01   0.000000E+00   0.553558E+02  -0.110712E+03
   0.116525E+03   0.331303E+02   0.376307E+01   0.533940E-03   0.825841E+01   0.896896E+01   0.183543E+02   0.197000E+02   0.453533E+02  -0.947698E+01   0.000000E+00   0.548303E+02  -0.109661E+03
   0.116525E+03   0.331303E+02   0.357730E+01   0.533940E-03   0.825841E+01   0.108961E+02   0.188971E+02   0.186532E+02   0.456787E+02  -0.941307E+01   0.000000E+00   0.550918E+02  -0.110184E+03
   0.116525E+03   0.331303E+02   0.323308E+01   0.533940E-03   0.747133E+01   0.108961E+02   0.185565E+02   0.186532E+02   0.456842E+02  -0.979838E+01   0.000000E+00   0.554826E+02  -0.110965E+03
   0.116525E+03   0.331303E+02   0.314953E+01   0.533940E-03   0.885537E+01   0.108961E+02   0.172833E+02   0.179597E+02   0.470782E+02  -0.847839E+01   0.000000E+00   0.555566E+02  -0.111113E+03
   0.115008E+03   0.331303E+02   0.309609E+01   0.533940E-03   0.108000E+02   0.115957E+02   0.159226E+02   0.190435E+02   0.466550E+02  -0.888728E+01   0.000000E+00   0.555423E+02  -0.111085E+03
   0.115008E+03   0.331303E+02   0.259445E+01   0.533940E-03   0.108000E+02   0.999369E+01   0.170124E+02   0.166348E+02   0.470593E+02  -0.797086E+01   0.000000E+00   0.550302E+02  -0.110060E+03
   0.115008E+03   0.337932E+02   0.275527E+01   0.533940E-03   0.109311E+02   0.882827E+01   0.173546E+02   0.167287E+02   0.475302E+02  -0.818624E+01   0.000000E+00   0.557164E+02  -0.111433E+03
   0.115008E+03   0.337932E+02   0.255393E+01   0.533940E-03   0.109311E+02   0.806495E+01   0.156826E+02   0.162688E+02   0.475504E+02  -0.804331E+01   0.000000E+00   0.555937E+02  -0.111187E+03
   0.115742E+03   0.337932E+02   0.317883E+01   0.533940E-03   0.984961E+01   0.744829E+01   0.146087E+02   0.163512E+02   0.474618E+02  -0.819880E+01   0.000000E+00   0.556606E+02  -0.111321E+03
   0.115742E+03   0.337932E+02   0.317883E+01   0.533940E-03   0.905836E+01   0.744829E+01   0.132096E+02   0.166120E+02   0.472806E+02  -0.838006E+01   0.000000E+00   0.556607E+02  -0.111321E+03
   0.115742E+03   0.337932E+02   0.367478E+01   0.195728E-03   0.842693E+01   0.745648E+01   0.136320E+02   0.145209E+02   0.482108E+02  -0.823697E+01   0.000000E+00   0.564478E+02  -0.112896E+03
   0.115742E+03   0.337932E+02   0.367478E+01   0.195728E-03   0.785405E+01   0.745648E+01   0.137153E+02   0.163247E+02   0.477326E+02  -0.871520E+01   0.000000E+00   0.564478E+02  -0.112896E+03
   0.115742E+03   0.337932E+02   0.277040E+01   0.195728E-03   0.887556E+01   0.708400E+01   0.155310E+02   0.158750E+02   0.491504E+02  -0.860552E+01   0.000000E+00   0.577559E+02  -0.115512E+03
   0.115742E+03   0.337932E+02   0.298360E+01   0.195728E-03   0.887556E+01   0.654278E+01   0.159434E+02   0.142329E+02   0.483654E+02  -0.923264E+01   0.000000E+00   0.575980E+02  -0.115196E+03
   0.115742E+03   0.337932E+02   0.257950E+01   0.195728E-03   0.958893E+01   0.696254E+01   0.135648E+02   0.104859E+02   0.480203E+02  -0.978576E+01   0.000000E+00   0.578061E+02  -0.115612E+03
   0.115742E+03   0.337932E+02   0.322843E+01   0.195728E-03   0.988626E+01   0.763172E+01   0.128849E+02   0.104859E+02   0.480362E+02  -0.927327E+01   0.000000E+00   0.573095E+02  -0.114619E+03
   0.115742E+03   0.337932E+02   0.371078E+01   0.195728E-03   0.988626E+01   0.763172E+01   0.132386E+02   0.122886E+02   0.481146E+02  -0.825993E+01   0.000000E+00   0.563745E+02  -0.112749E+03
   0.114421E+03   0.337932E+02   0.327725E+01   0.195728E-03   0.103895E+02   0.818932E+01   0.132386E+02   0.142494E+02   0.497126E+02  -0.766649E+01   0.000000E+00   0.573791E+02  -0.114758E+03
   0.114421E+03   0.337932E+02   0.365000E+01   0.195728E-03   0.872212E+01   0.923897E+01   0.122703E+02   0.152011E+02   0.499616E+02  -0.767440E+01   0.000000E+00   0.576360E+02  -0.115272E+03
   0.114421E+03   0.337932E+02   0.365000E+01   0.195728E-03   0.994323E+01   0.101008E+02   0.120133E+02   0.164203E+02   0.497838E+02  -0.785226E+01   0.000000E+00   0.576361E+02  -0.115272E+03
