a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        
   0.101164E+03   0.124411E+01   0.102232E+02   0.513766E+01   0.608463E+00   0.449911E-03   0.602802E-03   0.135570E-02   0.134422E-02   0.206730E-03   0.119785E-03   0.197951E-02   0.124544E-02   0.179114E+03
   0.101164E+03   0.679131E+01   0.100514E+02   0.524441E+01   0.608463E+00   0.389857E-03   0.602802E-03   0.135570E-02   0.134422E-02   0.332592E-03   0.119785E-03   0.574792E-02   0.124544E-02   0.175912E+03
   0.101164E+03   0.679131E+01   0.562723E+01   0.192696E+02   0.178412E+02   0.259803E-03   0.602802E-03   0.577814E-03   0.665774E-03   0.332592E-03   0.119785E-03   0.497787E-03   0.124544E-02   0.184136E+03
   0.101164E+03   0.913842E+01   0.562723E+01   0.155838E+02  -0.808149E+01   0.259803E-03   0.602802E-03   0.190477E-03   0.665774E-03   0.332592E-03   0.119785E-03   0.497787E-03   0.684496E-03   0.183218E+03
   0.101164E+03   0.913842E+01   0.562723E+01   0.562766E+01   0.577549E+01   0.259803E-03   0.602802E-03   0.190477E-03   0.665774E-03   0.332592E-03   0.242294E-02   0.497787E-03   0.595318E-03   0.183963E+03
   0.101164E+03   0.913842E+01   0.610247E+01   0.884545E+01   0.303489E+01   0.259803E-03   0.396315E-03   0.190477E-03   0.665774E-03   0.332592E-03   0.242294E-02   0.497787E-03   0.595318E-03   0.184302E+03
   0.101164E+03   0.932731E+01   0.610247E+01   0.146153E+02   0.176282E+02   0.259803E-03   0.396315E-03   0.699877E-03   0.665774E-03   0.589840E-03   0.242294E-02   0.497787E-03   0.595318E-03   0.184332E+03
   0.101164E+03   0.932731E+01   0.990344E+01   0.146153E+02   0.850112E+01   0.259803E-03   0.396315E-03   0.699877E-03   0.665774E-03   0.589840E-03   0.111040E-02   0.497787E-03   0.599462E-03   0.187159E+03
   0.101164E+03   0.898119E+01   0.990344E+01   0.130068E+02   0.850112E+01   0.259803E-03   0.396315E-03   0.699877E-03   0.665774E-03   0.589840E-03   0.111040E-02   0.497787E-03   0.599462E-03   0.187242E+03
   0.101164E+03   0.760794E+01   0.749608E+01   0.871734E+01   0.149160E+02   0.259803E-03   0.396315E-03   0.699877E-03   0.181637E-02   0.589840E-03   0.797492E-03   0.497787E-03   0.746793E-03   0.185651E+03
   0.101164E+03   0.760794E+01   0.595369E+01   0.184460E+02   0.746974E+01   0.259803E-03   0.396315E-03   0.699877E-03   0.181637E-02   0.987134E-03   0.797492E-03   0.615982E-03   0.746793E-03   0.185009E+03
   0.101164E+03   0.760794E+01   0.245546E+01   0.184460E+02   0.132824E+02   0.159728E-02   0.396315E-03   0.699877E-03   0.181637E-02   0.987134E-03   0.431497E-03   0.615982E-03   0.746793E-03   0.182308E+03
   0.101164E+03   0.760794E+01   0.549464E+01   0.190646E+02   0.669435E+01   0.973269E-03   0.396315E-03   0.746054E-03   0.481660E-04   0.987134E-03   0.431497E-03   0.615982E-03   0.746793E-03   0.183228E+03
   0.101164E+03   0.760794E+01   0.911159E+01   0.194863E+02   0.943032E+01   0.973269E-03   0.396315E-03   0.746054E-03   0.805586E-03   0.182735E-02   0.431497E-03   0.615982E-03   0.746793E-03   0.184153E+03
   0.101164E+03   0.445472E+01   0.911159E+01   0.194863E+02  -0.301456E+01   0.359387E-03   0.396315E-03   0.746054E-03   0.805586E-03   0.182735E-02   0.431497E-03   0.615982E-03   0.746793E-03   0.183559E+03
