a0_min         a0_flood       a1_flood       a2_flood       a3_flood       a4_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.118986E+03   0.326189E+02  -0.703388E+00   0.144560E+01  -0.124435E+01  -0.176247E+00   0.434279E-02   0.113438E+02   0.879028E+01   0.890446E+01   0.132560E+02   0.712595E+02
   0.125944E+03   0.305432E+02  -0.698111E+00   0.147510E+01  -0.120646E+01  -0.279093E+00   0.434279E-02   0.113158E+02   0.981524E+01   0.808833E+01   0.114918E+02   0.720966E+02
   0.125334E+03   0.326339E+02  -0.904435E+00   0.144813E+01  -0.123821E+01  -0.383252E+00   0.495885E-03   0.113663E+02   0.109085E+02   0.808833E+01   0.127949E+02   0.717966E+02
   0.125334E+03   0.326339E+02  -0.793917E+00   0.146712E+01  -0.104497E+01  -0.296123E+00   0.988158E-03   0.111402E+02   0.110243E+02   0.808833E+01   0.123029E+02   0.721054E+02
   0.127833E+03   0.293497E+02  -0.863011E+00   0.161343E+01  -0.119191E+01  -0.235664E+00   0.293370E-02   0.115218E+02   0.958269E+01   0.808833E+01   0.130051E+02   0.715505E+02
   0.140447E+03   0.332433E+02  -0.779008E+00   0.166749E+01  -0.107024E+01  -0.318076E+00   0.293370E-02   0.124468E+02   0.958269E+01   0.791423E+01   0.118853E+02   0.718735E+02
   0.144068E+03   0.364462E+02  -0.414973E+00   0.167594E+01  -0.982035E+00  -0.556794E+00   0.306189E-02   0.123616E+02   0.100402E+02   0.842114E+01   0.109234E+02   0.724353E+02
   0.155952E+03   0.337723E+02  -0.215869E-01   0.181148E+01  -0.930107E+00  -0.859956E+00   0.592456E-02   0.117748E+02   0.106170E+02   0.842114E+01   0.986314E+01   0.720271E+02
   0.153293E+03   0.305714E+02  -0.441564E-01   0.191516E+01  -0.106175E+01  -0.888762E+00   0.276177E-02   0.121722E+02   0.103281E+02   0.842114E+01   0.986314E+01   0.727426E+02
   0.158586E+03   0.292815E+02  -0.165219E+00   0.203123E+01  -0.957388E+00  -0.628880E+00   0.176402E-02   0.123743E+02   0.101759E+02   0.793225E+01   0.950356E+01   0.725163E+02
   0.170032E+03   0.276017E+02  -0.219455E+00   0.210200E+01  -0.108514E+01  -0.108543E+01   0.553788E-02   0.127943E+02   0.938248E+01   0.722041E+01   0.783549E+01   0.704100E+02
   0.177541E+03   0.268979E+02  -0.310651E+00   0.223433E+01  -0.883586E+00  -0.100636E+01   0.556187E-02   0.123311E+02   0.940162E+01   0.750752E+01   0.842930E+01   0.710996E+02
   0.169705E+03   0.274123E+02  -0.410841E+00   0.230372E+01  -0.102301E+01  -0.791303E+00   0.392587E-02   0.123311E+02   0.105625E+02   0.750752E+01   0.698455E+01   0.704664E+02
   0.179599E+03   0.303348E+02  -0.272686E+00   0.217054E+01  -0.112833E+01  -0.106089E+01   0.400132E-02   0.115819E+02   0.105249E+02   0.814038E+01   0.755020E+01   0.714075E+02
   0.184938E+03   0.288790E+02  -0.349867E+00   0.217043E+01  -0.106851E+01  -0.115530E+01   0.265048E-02   0.112694E+02   0.887841E+01   0.814038E+01   0.755020E+01   0.717349E+02
   0.178700E+03   0.301684E+02  -0.344955E+00   0.220985E+01  -0.120014E+01  -0.142178E+01   0.265048E-02   0.112694E+02   0.860818E+01   0.102493E+02   0.856953E+01   0.726261E+02
   0.186744E+03   0.295294E+02  -0.314632E+00   0.197449E+01  -0.131764E+01  -0.196719E+01   0.265048E-02   0.948449E+01   0.919318E+01   0.859690E+01   0.861734E+01   0.728517E+02
   0.188369E+03   0.342945E+02  -0.524024E+00   0.212663E+01  -0.869762E+00  -0.183205E+01   0.265048E-02   0.988929E+01   0.919318E+01   0.914232E+01   0.884752E+01   0.726789E+02
   0.178335E+03   0.367669E+02  -0.217943E+00   0.226294E+01  -0.895999E+00  -0.180825E+01   0.224647E-03   0.896595E+01   0.919318E+01   0.101036E+02   0.868390E+01   0.728889E+02
