a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.102430E+03   0.164126E+01   0.786745E+01   0.685667E-04   0.449656E-03   0.270985E-03   0.885831E-03   0.189263E+03   0.000000E+00   0.000000E+00   0.189263E+03  -0.378526E+03
   0.102430E+03   0.164126E+01   0.786745E+01   0.685667E-04   0.449656E-03   0.270985E-03   0.885831E-03   0.189263E+03   0.000000E+00   0.000000E+00   0.189263E+03  -0.378526E+03
   0.100151E+03   0.160047E+01   0.789537E+01   0.685667E-04   0.449656E-03   0.270985E-03   0.885831E-03   0.188867E+03   0.000000E+00   0.000000E+00   0.188867E+03  -0.377734E+03
   0.100151E+03   0.160047E+01   0.507265E+01   0.685667E-04   0.449656E-03   0.247096E-03   0.885831E-03   0.190526E+03   0.000000E+00   0.000000E+00   0.190526E+03  -0.381052E+03
   0.100193E+03   0.160047E+01  -0.503106E+00   0.685667E-04   0.580953E-03   0.247096E-03   0.885831E-03   0.191148E+03   0.000000E+00   0.000000E+00   0.191148E+03  -0.382296E+03
   0.100193E+03   0.160047E+01  -0.503106E+00   0.685667E-04   0.753214E-03   0.247096E-03   0.885831E-03   0.190249E+03   0.000000E+00   0.000000E+00   0.190249E+03  -0.380498E+03
   0.100193E+03   0.271952E+01  -0.503106E+00   0.644897E-03   0.753214E-03   0.247096E-03   0.882001E-03   0.188574E+03   0.000000E+00   0.000000E+00   0.188574E+03  -0.377148E+03
   0.100193E+03   0.568726E+01  -0.503106E+00   0.644897E-03   0.753214E-03   0.247096E-03   0.116578E-02   0.186612E+03   0.000000E+00   0.000000E+00   0.186612E+03  -0.373224E+03
   0.100193E+03   0.568726E+01   0.266882E+01   0.644897E-03   0.252594E-03   0.247096E-03   0.722435E-03   0.188012E+03   0.000000E+00   0.000000E+00   0.188012E+03  -0.376024E+03
   0.100193E+03   0.465064E+01   0.235240E+01   0.644897E-03   0.252594E-03   0.247096E-03   0.722435E-03   0.189036E+03   0.000000E+00   0.000000E+00   0.189036E+03  -0.378072E+03
   0.100193E+03   0.138603E+01   0.239330E+01   0.644897E-03   0.252594E-03   0.247096E-03   0.722435E-03   0.190199E+03   0.000000E+00   0.000000E+00   0.190199E+03  -0.380398E+03
   0.100193E+03   0.773099E+00  -0.858718E+00   0.896328E-03   0.252594E-03   0.247096E-03   0.722435E-03   0.189464E+03   0.000000E+00   0.000000E+00   0.189464E+03  -0.378928E+03
