a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.979624E+02  -0.975125E+00   0.424872E-03   0.865570E+01   0.112170E+02   0.149949E+02   0.125219E+02   0.174376E+03  -0.788181E+01   0.000000E+00   0.182258E+03  -0.364516E+03
   0.979624E+02  -0.975125E+00   0.613198E-03   0.865570E+01   0.112170E+02   0.184536E+02   0.125219E+02   0.174745E+03  -0.862605E+01   0.000000E+00   0.183371E+03  -0.366742E+03
   0.979624E+02  -0.975125E+00   0.613198E-03   0.835092E+01   0.108870E+02   0.184536E+02   0.145676E+02   0.174985E+03  -0.838563E+01   0.000000E+00   0.183371E+03  -0.366741E+03
   0.979624E+02  -0.975125E+00   0.613198E-03   0.712517E+01   0.108870E+02   0.184536E+02   0.957873E+01   0.172029E+03  -0.113415E+02   0.000000E+00   0.183371E+03  -0.366741E+03
   0.979624E+02  -0.975125E+00   0.613198E-03   0.822304E+01   0.867769E+01   0.184536E+02   0.117053E+02   0.174454E+03  -0.891646E+01   0.000000E+00   0.183370E+03  -0.366741E+03
   0.979624E+02   0.883741E+00   0.613198E-03   0.108755E+02   0.790308E+01   0.166511E+02   0.149443E+02   0.175504E+03  -0.812537E+01   0.000000E+00   0.183629E+03  -0.367259E+03
   0.979624E+02  -0.173412E+01   0.613198E-03   0.100420E+02   0.106701E+02   0.166511E+02   0.149443E+02   0.175475E+03  -0.761832E+01   0.000000E+00   0.183093E+03  -0.366187E+03
   0.979624E+02   0.560999E+00   0.613198E-03   0.113115E+02   0.106701E+02   0.166511E+02   0.149443E+02   0.175700E+03  -0.792698E+01   0.000000E+00   0.183627E+03  -0.367254E+03
   0.979624E+02   0.560999E+00   0.613198E-03   0.113115E+02   0.134381E+02   0.158486E+02   0.145542E+02   0.174593E+03  -0.903351E+01   0.000000E+00   0.183627E+03  -0.367253E+03
   0.979624E+02   0.560999E+00   0.613198E-03   0.112879E+02   0.134381E+02   0.161226E+02   0.160157E+02   0.174420E+03  -0.920741E+01   0.000000E+00   0.183627E+03  -0.367255E+03
   0.979624E+02   0.560999E+00   0.694214E-03   0.157848E+02   0.982481E+01   0.161226E+02   0.160157E+02   0.172777E+03  -0.105629E+02   0.000000E+00   0.183340E+03  -0.366680E+03
   0.979624E+02   0.560999E+00   0.694214E-03   0.120479E+02   0.100462E+02   0.162084E+02   0.102283E+02   0.173853E+03  -0.948653E+01   0.000000E+00   0.183340E+03  -0.366679E+03
   0.979624E+02   0.560999E+00   0.448493E-03   0.118585E+02   0.100462E+02   0.162084E+02   0.129550E+02   0.174765E+03  -0.807229E+01   0.000000E+00   0.182837E+03  -0.365675E+03
