IDTRANS;DIST;pk;ALTI_MOY
2142;10752,5;51195;191,7053
2143;10757,5;51190;191,7065
2144;10762,5;51185;191,7011
2145;10767,5;51180;191,6987
2146;10772,5;51175;191,7094
2147;10777,5;51170;191,7122
2148;10782,5;51165;191,7090
2149;10787,5;51160;191,7143
2150;10792,5;51155;191,7254
2152;10802,5;51145;191,7157
2153;10807,5;51140;191,7199
2154;10812,5;51135;191,7124
2155;10817,5;51130;191,7147
2156;10822,5;51125;191,7211
2157;10827,5;51120;191,7103
2158;10832,5;51115;191,7221
2159;10837,5;51110;191,7123
2160;10842,5;51105;191,7054
2162;10852,5;51095;191,6990
2163;10857,5;51090;191,7083
2164;10862,5;51085;191,7017
2165;10867,5;51080;191,7057
2167;10877,5;51070;191,7050
2168;10882,5;51065;191,7113
2169;10887,5;51060;191,7161
2170;10892,5;51055;191,7088
2171;10897,5;51050;191,6997
2172;10902,5;51045;191,6859
2173;10907,5;51040;191,7078
2175;10917,5;51030;191,7024
2176;10922,5;51025;191,6957
2177;10927,5;51020;191,7034
2178;10932,5;51015;191,7063
2179;10937,5;51010;191,7004
2180;10942,5;51005;191,7062
2181;10947,5;51000;191,7035
2183;10957,5;50990;191,6979
2184;10962,5;50985;191,6951
2185;10967,5;50980;191,6885
2186;10972,5;50975;191,6880
2187;10977,5;50970;191,6861
2188;10982,5;50965;191,6909
2189;10987,5;50960;191,6956
2191;10997,5;50950;191,6926
2192;11002,5;50945;191,6933
2193;11007,5;50940;191,6899
2194;11012,5;50935;191,6786
2195;11017,5;50930;191,6739
2196;11022,5;50925;191,6781
2197;11027,5;50920;191,6842
2199;11037,5;50910;191,6815
2200;11042,5;50905;191,6784
2201;11047,5;50900;191,6709
2202;11052,5;50895;191,6665
2203;11057,5;50890;191,6737
2205;11067,5;50880;191,6832
2206;11072,5;50875;191,6748
2207;11077,5;50870;191,6798
2209;11087,5;50860;191,6674
2210;11092,5;50855;191,6705
2211;11097,5;50850;191,6736
2212;11102,5;50845;191,6707
2214;11112,5;50835;191,6811
2215;11117,5;50830;191,6614
2216;11122,5;50825;191,6652
2217;11127,5;50820;191,6820
2218;11132,5;50815;191,6790
2220;11142,5;50805;191,6874
2221;11147,5;50800;191,6906
2222;11152,5;50795;191,6948
2223;11157,5;50790;191,7098
2224;11162,5;50785;191,6798
2225;11167,5;50780;191,6885
2226;11172,5;50775;191,6743
2227;11177,5;50770;191,6586
2228;11182,5;50765;191,6631
2229;11187,5;50760;191,6875
2230;11192,5;50755;191,6637
2231;11197,5;50750;191,6661
2233;11207,5;50740;191,6321
2234;11212,5;50735;191,6163
2235;11217,5;50730;191,6398
2236;11222,5;50725;191,6255
2238;11232,5;50715;191,6020
2239;11237,5;50710;191,6124
2241;11247,5;50700;191,5968
2242;11252,5;50695;191,5947
2243;11257,5;50690;191,5767
2245;11267,5;50680;191,5710
2246;11272,5;50675;191,5678
2248;11282,5;50665;191,5727
2249;11287,5;50660;191,5665
2251;11297,5;50650;191,5579
2252;11302,5;50645;191,5531
2254;11312,5;50635;191,5468
2255;11317,5;50630;191,5428
2257;11327,5;50620;191,5380
2258;11332,5;50615;191,5417
2260;11342,5;50605;191,5318
2261;11347,5;50600;191,5326
2263;11357,5;50590;191,5287
2264;11362,5;50585;191,5274
2266;11372,5;50575;191,5285
2267;11377,5;50570;191,5284
2269;11387,5;50560;191,5250
2270;11392,5;50555;191,5028
2272;11402,5;50545;191,5142
2273;11407,5;50540;191,5170
2275;11417,5;50530;191,5114
2276;11422,5;50525;191,5189
2278;11432,5;50515;191,5105
2279;11437,5;50510;191,5020
2281;11447,5;50500;191,4967
2282;11452,5;50495;191,5000
2283;11457,5;50490;191,4900
2285;11467,5;50480;191,5008
2286;11472,5;50475;191,4842
2288;11482,5;50465;191,4930
2289;11487,5;50460;191,4996
2291;11497,5;50450;191,4778
2292;11502,5;50445;191,4876
2293;11507,5;50440;191,5021
2295;11517,5;50430;191,4857
2296;11522,5;50425;191,4885
2298;11532,5;50415;191,4810
2299;11537,5;50410;191,4819
2300;11542,5;50405;191,4796
2302;11552,5;50395;191,4744
2303;11557,5;50390;191,4745
2305;11567,5;50380;191,4645
2306;11572,5;50375;191,4706
2308;11582,5;50365;191,4715
2309;11587,5;50360;191,4650
2310;11592,5;50355;191,4557
2312;11602,5;50345;191,4560
2313;11607,5;50340;191,4606
2315;11617,5;50330;191,4582
2316;11622,5;50325;191,4621
2318;11632,5;50315;191,4474
2319;11637,5;50310;191,4530
2321;11647,5;50300;191,4540
2322;11652,5;50295;191,4447
2323;11657,5;50290;191,4440
2325;11667,5;50280;191,4368
2326;11672,5;50275;191,4341
2328;11682,5;50265;191,4326
