Km_a0          Km_a1          Km_a2          Km_a3          Km_a4          Km_a5          Km_a6          Km_a7          Km_a8          Km_a9          Km_a10         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.322989E+02   0.135742E+02   0.327053E+01   0.105056E+02   0.189306E+02   0.149588E+02   0.830984E+00  -0.112241E+02  -0.125961E+02  -0.299255E+02  -0.115602E+02   0.680856E-02   0.319446E-02   0.200273E-02   0.384943E-02   0.421023E-01   0.295134E+03
   0.321390E+02   0.129157E+02   0.327053E+01   0.914626E+01   0.173304E+02   0.188433E+02   0.136410E+01  -0.772935E+01  -0.123262E+02  -0.298063E+02  -0.598761E+01   0.867613E-02   0.319446E-02   0.200273E-02   0.116462E-01   0.292888E-01   0.295670E+03
   0.320139E+02   0.114309E+02   0.300183E+01   0.107068E+02   0.177811E+02   0.137085E+02   0.134686E+01  -0.721692E+01  -0.127716E+02  -0.300533E+02  -0.142000E+02   0.367944E-02   0.211829E-02   0.347687E-02   0.859518E-03   0.280196E-01   0.298422E+03
   0.319251E+02   0.112623E+02   0.300183E+01   0.964849E+01   0.185405E+02   0.108585E+02  -0.395698E+01  -0.954704E+01  -0.109531E+02  -0.319738E+02  -0.113814E+02   0.526700E-02   0.642779E-02   0.347687E-02   0.246837E-02   0.483347E-02   0.300320E+03
   0.323577E+02   0.118606E+02   0.278080E+01   0.124642E+02   0.185383E+02   0.101716E+02  -0.663631E+00  -0.810503E+01  -0.133799E+02  -0.341756E+02  -0.102072E+02   0.152025E-02   0.249876E-02   0.444198E-02   0.571529E-02   0.442566E-02   0.302791E+03
   0.327230E+02   0.118606E+02   0.604078E+01   0.156200E+02   0.171666E+02   0.129130E+02   0.817128E+00  -0.536744E+01  -0.126004E+02  -0.345434E+02  -0.112188E+02   0.201626E-02   0.249876E-02   0.162520E-02   0.491858E-02   0.118674E-02   0.302198E+03
   0.324988E+02   0.119219E+02   0.604078E+01   0.132735E+02   0.179044E+02   0.920543E+01   0.532234E+01  -0.887580E+01  -0.136962E+02  -0.376717E+02  -0.102209E+02   0.155147E-02   0.354683E-02   0.105401E-02   0.497511E-02   0.162810E-01   0.299121E+03
   0.323923E+02   0.118125E+02   0.504675E+01   0.105352E+02   0.182686E+02   0.999117E+01   0.552314E+01  -0.778792E+01  -0.165231E+02  -0.362546E+02  -0.878236E+01   0.119711E-02   0.114766E-01   0.793042E-02   0.345510E-02   0.121207E-01   0.299500E+03
   0.327101E+02   0.118125E+02   0.504675E+01   0.979030E+01   0.161248E+02   0.128856E+02   0.589332E+01  -0.643563E+01  -0.184054E+02  -0.370994E+02  -0.331844E+01   0.988551E-02   0.858150E-02   0.552289E-02   0.621709E-02   0.828159E-02   0.297506E+03
   0.328013E+02   0.119184E+02   0.338611E+01   0.630878E+01   0.176924E+02   0.166542E+02   0.472432E+01  -0.108168E+02  -0.128896E+02  -0.318041E+02  -0.566131E+01   0.543335E-02   0.251278E-01   0.511434E-02   0.122434E-01   0.169778E-01   0.296445E+03
   0.311714E+02   0.123843E+02   0.297828E+01   0.111069E+02   0.167729E+02   0.141963E+02   0.980270E+00  -0.272170E+01  -0.130060E+02  -0.318041E+02  -0.846892E+01   0.155436E-02   0.251697E-02   0.939666E-02   0.164519E-02   0.719494E-02   0.299948E+03
   0.321352E+02   0.127849E+02   0.601731E+01   0.115263E+02   0.194273E+02   0.160750E+02   0.275748E+00  -0.556139E+01  -0.103786E+02  -0.328891E+02  -0.100729E+02   0.147781E-02   0.102556E-01   0.148630E-02   0.212791E-01   0.127315E-01   0.298037E+03
   0.324011E+02   0.115668E+02   0.381230E+01   0.115263E+02   0.174186E+02   0.166689E+02  -0.473635E+00  -0.800816E+01  -0.124643E+02  -0.294075E+02  -0.120493E+02   0.172060E-03   0.406110E-02   0.547274E-02   0.192231E-01   0.451872E-03   0.299029E+03
   0.324011E+02   0.119298E+02   0.778448E+01   0.975262E+01   0.194370E+02   0.140480E+02   0.258176E+01  -0.106265E+02  -0.929949E+01  -0.373637E+02  -0.720919E+01   0.462814E-02   0.169026E-02   0.177073E-03   0.196744E-03   0.261281E-02   0.298509E+03
   0.326143E+02   0.133633E+02   0.687375E+01   0.123518E+02   0.194370E+02   0.124761E+02  -0.559844E+00  -0.703759E+01  -0.125840E+02  -0.384081E+02  -0.107115E+02   0.857811E-03   0.134632E-01   0.889805E-02   0.351254E-02   0.486443E-02   0.301864E+03
   0.336542E+02   0.145621E+02   0.453443E+01   0.114073E+02   0.196018E+02   0.135985E+02  -0.117308E+01  -0.625498E+01  -0.164592E+02  -0.415917E+02  -0.944954E+01   0.730005E-02   0.203201E-02   0.115015E-01   0.241312E-02   0.139090E-01   0.300238E+03
   0.338763E+02   0.143057E+02   0.653498E+01   0.150217E+02   0.217881E+02   0.136723E+02   0.310061E+01  -0.791904E+01  -0.138914E+02  -0.365935E+02  -0.958998E+01   0.627103E-02   0.786015E-02   0.145469E-01   0.301468E-02   0.237649E-02   0.301022E+03
   0.333103E+02   0.150376E+02   0.894487E+01   0.146279E+02   0.225812E+02   0.145612E+02   0.700242E+00  -0.616008E+01  -0.123221E+02  -0.415025E+02  -0.128362E+02   0.607345E-02   0.556441E-02   0.111472E-02   0.177635E-02   0.119213E-02   0.302777E+03
   0.338775E+02   0.157792E+02   0.894487E+01   0.183519E+02   0.232748E+02   0.117907E+02  -0.119983E+01  -0.233153E+01  -0.172362E+02  -0.406070E+02  -0.152601E+02   0.355122E-02   0.842860E-02   0.585381E-02   0.177635E-02   0.123615E-01   0.301932E+03
   0.336528E+02   0.150015E+02   0.808469E+01   0.193225E+02   0.251072E+02   0.111422E+02  -0.375431E+00  -0.314962E+01  -0.140616E+02  -0.406179E+02  -0.167027E+02   0.646759E-02   0.901115E-02   0.215504E-01   0.103201E-02   0.566707E-02   0.300516E+03
   0.340605E+02   0.161034E+02   0.939581E+01   0.210815E+02   0.289861E+02   0.912388E+01  -0.336769E+01  -0.279710E+01  -0.101867E+02  -0.439047E+02  -0.209918E+02   0.789253E-02   0.318999E-01   0.185295E-01   0.884260E-02   0.987496E-03   0.297198E+03
   0.341337E+02   0.157344E+02   0.106535E+02   0.233426E+02   0.272723E+02   0.108546E+02  -0.462501E+01  -0.423298E+01  -0.123323E+02  -0.406827E+02  -0.209850E+02   0.173458E-02   0.273090E-01   0.103864E-02   0.173173E-01   0.786230E-02   0.297917E+03
   0.344282E+02   0.159505E+02   0.727902E+01   0.247230E+02   0.256070E+02   0.739319E+01  -0.669262E+01  -0.276679E+01  -0.124083E+02  -0.454145E+02  -0.247135E+02   0.129716E-02   0.148367E-01   0.145762E-02   0.340204E-02   0.844183E-02   0.299830E+03
   0.346380E+02   0.145614E+02   0.471388E+01   0.246923E+02   0.256070E+02   0.438871E+01  -0.713280E+01  -0.988425E+00  -0.137157E+02  -0.455598E+02  -0.233736E+02   0.201485E-02   0.265321E-01   0.137930E-02   0.631795E-02   0.159303E-02   0.298392E+03
   0.344449E+02   0.138323E+02   0.444139E+01   0.241427E+02   0.256070E+02   0.350881E+01  -0.825335E+01   0.177498E+01  -0.161381E+02  -0.455230E+02  -0.206960E+02   0.110438E-02   0.941219E-02   0.121065E-01   0.333686E-02   0.103444E-01   0.300355E+03
