Km_a0         Km_a1         Km_a2         Km_a3         Km_a4         Km_a5         Km_a6         Km_a7         Km_a8         Km_a9         Km_a10        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.289840E+02  0.331986E+01 -0.419440E+01  0.320984E+01  0.109202E+02  0.731859E+01 -0.298118E+00 -0.735606E+00 -0.419983E+01 -0.257101E+02  0.253723E+01  0.980027E-02  0.117451E-01  0.366651E-02  0.552418E-02  0.233684E-01  0.286160E+03
  0.289840E+02  0.331986E+01 -0.419440E+01  0.320984E+01  0.109202E+02  0.801568E+01  0.995392E+00 -0.724625E+00 -0.419983E+01 -0.257101E+02  0.253723E+01  0.980027E-02  0.114064E-01  0.476692E-02  0.525164E-02  0.240846E-01  0.285838E+03
  0.289840E+02  0.331986E+01 -0.419440E+01  0.474211E+01  0.109202E+02  0.839299E+01  0.108274E+01 -0.724625E+00 -0.419983E+01 -0.257101E+02  0.253723E+01  0.966610E-02  0.122851E-01  0.428052E-02  0.459256E-02  0.244578E-01  0.284214E+03
  0.289840E+02  0.326405E+01 -0.419440E+01  0.474211E+01  0.109202E+02  0.839299E+01  0.108274E+01 -0.724625E+00 -0.419983E+01 -0.257101E+02  0.434780E+01  0.106367E-01  0.141052E-01  0.432278E-02  0.503361E-02  0.232642E-01  0.281611E+03
  0.291122E+02  0.326405E+01 -0.190693E+01  0.474211E+01  0.109202E+02  0.839299E+01  0.108274E+01 -0.724625E+00 -0.419983E+01 -0.244119E+02 -0.323126E+01  0.115909E-01  0.135184E-01  0.489958E-02  0.272435E-02  0.222040E-01  0.282213E+03
  0.291122E+02  0.326405E+01 -0.247117E+01  0.733409E+01  0.109202E+02  0.767284E+01  0.108274E+01  0.126254E+01 -0.564441E+01 -0.244119E+02  0.249842E+01  0.121202E-01  0.131275E-01  0.429427E-02  0.330471E-02  0.227258E-01  0.283596E+03
  0.291122E+02  0.326405E+01 -0.146075E+01  0.657345E+01  0.109202E+02  0.587495E+01  0.680586E+01 -0.128248E+01 -0.700031E+01 -0.226428E+02 -0.695393E+00  0.983745E-02  0.143854E-01  0.471426E-02  0.251125E-02  0.220139E-01  0.283869E+03
  0.291122E+02  0.326405E+01 -0.252723E+01  0.657345E+01  0.109202E+02  0.587495E+01  0.878271E+01 -0.124249E+01 -0.700031E+01 -0.225471E+02  0.740123E+00  0.983745E-02  0.136018E-01  0.487014E-02  0.201030E-02  0.223609E-01  0.282730E+03
  0.291122E+02  0.326405E+01 -0.252723E+01  0.657345E+01  0.109202E+02  0.587495E+01  0.155892E+01 -0.124249E+01 -0.257229E+01 -0.225471E+02  0.740123E+00  0.931087E-02  0.122539E-01  0.489529E-02  0.126109E-02  0.223233E-01  0.286624E+03
  0.291122E+02  0.326405E+01 -0.252723E+01  0.657345E+01  0.109202E+02  0.587203E+01  0.305445E+01 -0.124249E+01 -0.482368E+01 -0.241095E+02  0.740123E+00  0.677842E-02  0.115522E-01  0.427149E-02  0.165181E-02  0.223479E-01  0.288738E+03
  0.297036E+02  0.326405E+01 -0.252723E+01  0.657345E+01  0.109202E+02  0.587203E+01  0.305445E+01 -0.124249E+01 -0.482368E+01 -0.249896E+02  0.142929E+01  0.570860E-02  0.110181E-01  0.179235E-02  0.320531E-02  0.207252E-01  0.289062E+03
  0.297036E+02  0.326405E+01 -0.230991E+01  0.731191E+01  0.109202E+02  0.587203E+01  0.305445E+01 -0.124249E+01 -0.482368E+01 -0.249896E+02  0.326930E+01  0.455874E-02  0.115139E-01  0.200160E-02  0.229313E-02  0.214064E-01  0.288542E+03
