a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.974294E+02   0.902171E+01   0.209777E-03   0.912445E+01   0.103169E+02   0.194293E+02   0.198777E+02   0.366643E+02
   0.978448E+02   0.147787E+02   0.635452E-03   0.742707E+01   0.118788E+02   0.160096E+02   0.130490E+02   0.351932E+02
   0.101790E+03  -0.152791E+01   0.155809E-03   0.893850E+01   0.854579E+01   0.137596E+02   0.239411E+02   0.349714E+02
   0.998100E+02  -0.851053E+00   0.286046E-03   0.114537E+02   0.751984E+01   0.149289E+02   0.118904E+02   0.386950E+02
   0.998100E+02   0.344243E+01   0.894474E-04   0.118942E+02   0.101356E+02   0.149994E+02   0.163139E+02   0.399755E+02
   0.998100E+02   0.752045E+01   0.462307E-03   0.116075E+02   0.107278E+02   0.164567E+02   0.155559E+02   0.387186E+02
   0.981251E+02   0.268427E+01   0.370297E-03   0.888521E+01   0.804458E+01   0.138124E+02   0.830447E+01   0.358494E+02
   0.995023E+02   0.425046E+01   0.822343E-04   0.818429E+01   0.761087E+01   0.156367E+02   0.130876E+02   0.396907E+02
   0.987913E+02   0.102015E+02   0.469825E-03   0.858009E+01   0.146202E+02   0.145027E+02   0.156527E+02   0.367481E+02
   0.990869E+02   0.902401E+01   0.356069E-03   0.952019E+01   0.139279E+02   0.145656E+02   0.185997E+02   0.372360E+02
   0.990869E+02   0.539039E+01   0.781846E-03   0.823775E+01   0.116239E+02   0.260243E+02   0.127142E+02   0.336247E+02
   0.995401E+02  -0.305691E+01   0.165514E-02   0.686066E+01   0.121332E+02   0.193664E+02   0.133217E+02   0.320680E+02
   0.100431E+03   0.229454E+02   0.117236E-02   0.945409E+01   0.117865E+02   0.166126E+02   0.121054E+02   0.324056E+02
   0.993784E+02  -0.689592E+01   0.427217E-03   0.104217E+02   0.857357E+01   0.148987E+02   0.153189E+02   0.380061E+02
   0.983930E+02  -0.669521E+01   0.982904E-03   0.116744E+02   0.133438E+02   0.155904E+02   0.212584E+02   0.328425E+02
   0.977874E+02   0.857203E+01   0.361220E-03   0.105924E+02   0.820486E+01   0.193491E+02   0.155080E+02   0.378348E+02
   0.985153E+02   0.638218E+01   0.377915E-04   0.823473E+01   0.916052E+01   0.124527E+02   0.152853E+02   0.400478E+02
   0.101313E+03   0.615012E+01   0.377915E-04   0.886907E+01   0.805467E+01   0.149405E+02   0.138523E+02   0.382855E+02
   0.990095E+02   0.609415E+01   0.971950E-04   0.133695E+02   0.927120E+01   0.149405E+02   0.223986E+02   0.369497E+02
   0.988155E+02  -0.553625E+00   0.139800E-03   0.969054E+01   0.103081E+02   0.125320E+02   0.145597E+02   0.402267E+02
   0.981298E+02   0.384646E+01   0.432903E-04   0.107104E+02   0.117936E+02   0.215021E+02   0.108145E+02   0.369644E+02
   0.993396E+02   0.721260E+01   0.105926E-04   0.105770E+02   0.115183E+02   0.235222E+02   0.161319E+02   0.368833E+02
   0.985992E+02   0.414565E+01   0.209484E-03   0.105970E+02   0.102416E+02   0.151191E+02   0.179252E+02   0.399519E+02
   0.993318E+02   0.438415E+01   0.272226E-03   0.896328E+01   0.140886E+02   0.134455E+02   0.148633E+02   0.386939E+02
   0.998131E+02   0.592755E+01   0.796262E-03   0.101280E+02   0.978115E+01   0.225655E+02   0.148393E+02   0.361324E+02
   0.988776E+02   0.363161E+01   0.403756E-03   0.918089E+01   0.795575E+01   0.169024E+02   0.145501E+02   0.395775E+02
   0.974395E+02   0.691447E+01   0.202796E-03   0.822983E+01   0.103451E+02   0.155095E+02   0.148265E+02   0.392062E+02
   0.100317E+03   0.563382E+01   0.392061E-03   0.822983E+01   0.134482E+02   0.141167E+02   0.153662E+02   0.379625E+02
   0.102785E+03   0.824469E+01   0.115086E-02   0.820713E+01   0.897656E+01   0.151700E+02   0.171746E+02   0.343940E+02
   0.103247E+03   0.960333E+01   0.134077E-03   0.900450E+01   0.858230E+01   0.137555E+02   0.123054E+02   0.329693E+02
   0.100778E+03  -0.164068E+01   0.808633E-03   0.103691E+02   0.114119E+02   0.106167E+02   0.160836E+02   0.364830E+02
   0.101349E+03   0.208702E+01   0.188561E-03   0.124356E+02   0.121648E+02   0.149093E+02   0.143925E+02   0.375925E+02
   0.991199E+02   0.811257E+01   0.467427E-03   0.136479E+02   0.975230E+01   0.104160E+02   0.145185E+02   0.368354E+02
   0.993530E+02  -0.954325E+00   0.281342E-03   0.100814E+02   0.128049E+02   0.115313E+02   0.142388E+02   0.386787E+02
   0.993530E+02   0.571773E+01   0.443731E-03   0.121327E+02   0.131546E+02   0.175047E+02   0.208997E+02   0.359762E+02
   0.990901E+02   0.948338E+01   0.950472E-04   0.948587E+01   0.975725E+01   0.126545E+02   0.200067E+02   0.384473E+02
   0.975173E+02  -0.236715E+01   0.719126E-03   0.906968E+01   0.101856E+02   0.155951E+02   0.133619E+02   0.375764E+02
   0.957743E+02   0.100381E+02   0.122388E-02   0.960087E+01   0.913735E+01   0.117214E+02   0.164604E+02   0.345115E+02
   0.979336E+02  -0.565991E+01   0.306727E-03   0.761799E+01   0.100346E+02   0.156332E+02   0.110188E+02   0.359200E+02
   0.103257E+03  -0.927382E+00   0.450186E-03   0.950019E+01   0.996905E+01   0.155987E+02   0.140421E+02   0.354091E+02
   0.987746E+02  -0.262630E+01   0.101750E-02   0.765999E+01   0.134584E+02   0.194518E+02   0.171173E+02   0.340355E+02
   0.974234E+02   0.427220E-01   0.301318E-03   0.124279E+02   0.859798E+01   0.159641E+02   0.147572E+02   0.380517E+02
   0.989817E+02   0.850212E+01   0.945578E-03   0.856199E+01   0.757374E+01   0.165031E+02   0.158874E+02   0.367714E+02
   0.996369E+02   0.124547E+01   0.560483E-03   0.105266E+02   0.112279E+02   0.152090E+02   0.168380E+02   0.390153E+02
   0.100260E+03  -0.458217E+01   0.341757E-03   0.130053E+02   0.960244E+01   0.164959E+02   0.113799E+02   0.372591E+02
   0.995883E+02   0.290898E+01   0.592734E-06   0.786606E+01   0.875613E+01   0.140803E+02   0.145370E+02   0.403267E+02
   0.973196E+02   0.659511E+01   0.466336E-03   0.868187E+01   0.109897E+02   0.147808E+02   0.197895E+02   0.374840E+02
   0.978623E+02  -0.169549E+01   0.530725E-03   0.113151E+02   0.131041E+02   0.177404E+02   0.127448E+02   0.365318E+02
   0.998964E+02   0.930850E+01   0.548763E-03   0.123122E+02   0.160908E+02   0.206393E+02   0.162320E+02   0.330957E+02
   0.983153E+02   0.489703E+01   0.863764E-04   0.117248E+02   0.138242E+02   0.191511E+02   0.143271E+02   0.375698E+02
   0.987012E+02   0.893002E+00   0.888284E-03   0.870372E+01   0.876677E+01   0.203773E+02   0.193100E+02   0.356600E+02
   0.997235E+02   0.120346E+02   0.813580E-03   0.130032E+02   0.108613E+02   0.136981E+02   0.173969E+02   0.358745E+02
   0.994150E+02  -0.504401E+00   0.151660E-03   0.722042E+01   0.664083E+01   0.171915E+02   0.160535E+02   0.373847E+02
   0.999534E+02   0.610568E+01   0.151660E-03   0.932252E+01   0.911053E+01   0.137649E+02   0.144792E+02   0.402997E+02
   0.977809E+02   0.294007E+01   0.245626E-03   0.810133E+01   0.755840E+01   0.185005E+02   0.132909E+02   0.381846E+02
   0.100163E+03   0.570784E+01   0.113233E-03   0.127351E+02   0.915613E+01   0.110350E+02   0.159285E+02   0.382680E+02
   0.100163E+03   0.104603E+01   0.748103E-03   0.798745E+01   0.117672E+02   0.259392E+02   0.182807E+02   0.329252E+02
   0.986543E+02   0.950539E+01   0.246205E-03   0.816135E+01   0.112442E+02   0.146639E+02   0.179164E+02   0.385767E+02
   0.986543E+02   0.388744E+01   0.110946E-03   0.112317E+02   0.777436E+01   0.136448E+02   0.209620E+02   0.382425E+02
   0.986543E+02   0.173371E+02   0.129962E-03   0.137935E+02   0.753176E+01   0.139941E+02   0.235421E+02   0.303958E+02
   0.996549E+02   0.880844E+01   0.338668E-03   0.885689E+01   0.108555E+02   0.211430E+02   0.143397E+02   0.376039E+02
   0.994467E+02   0.869657E+01   0.193114E-03   0.150753E+02   0.119163E+02   0.146467E+02   0.101398E+02   0.353951E+02
   0.101105E+03   0.399715E+01   0.682819E-04   0.121388E+02   0.896601E+01   0.159562E+02   0.203726E+02   0.370573E+02
   0.997930E+02   0.105549E+01   0.572607E-03   0.794424E+01   0.133097E+02   0.256825E+02   0.115566E+02   0.331066E+02
   0.972824E+02   0.112217E+02   0.487881E-03   0.628609E+01   0.914970E+01   0.169577E+02   0.173336E+02   0.349324E+02
   0.102319E+03   0.537503E+01   0.107240E-02   0.772525E+01   0.102175E+02   0.141450E+02   0.118743E+02   0.349406E+02
   0.102376E+03   0.290397E+01   0.254180E-03   0.132320E+02   0.832609E+01   0.143947E+02   0.176083E+02   0.350711E+02
   0.985780E+02   0.232100E+01   0.239472E-03   0.109181E+02   0.101817E+02   0.189055E+02   0.148175E+02   0.394847E+02
   0.993638E+02   0.713343E+01   0.370914E-03   0.916485E+01   0.134309E+02   0.165687E+02   0.125740E+02   0.381842E+02
   0.990644E+02   0.296894E+01   0.196120E-03   0.137001E+02   0.114676E+02   0.156466E+02   0.160556E+02   0.386722E+02
