a0_min        a1_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.987730E+02 -0.347058E+01  0.510931E-04  0.129685E+02  0.111499E+02  0.117688E+02  0.155762E+02  0.377404E+02
  0.987730E+02 -0.347058E+01  0.510931E-04  0.122242E+02  0.124811E+02  0.121535E+02  0.172908E+02  0.373721E+02
  0.993304E+02 -0.347058E+01  0.510931E-04  0.119210E+02  0.129233E+02  0.137481E+02  0.179132E+02  0.377062E+02
  0.993304E+02 -0.347058E+01  0.510931E-04  0.109281E+02  0.130014E+02  0.137481E+02  0.173162E+02  0.382055E+02
  0.993304E+02 -0.347058E+01  0.510931E-04  0.110588E+02  0.125674E+02  0.144209E+02  0.176172E+02  0.383528E+02
  0.993304E+02 -0.413713E+00  0.510931E-04  0.101708E+02  0.120110E+02  0.137896E+02  0.155409E+02  0.399808E+02
  0.993304E+02  0.910041E+00  0.510931E-04  0.109105E+02  0.104963E+02  0.151626E+02  0.157391E+02  0.404786E+02
  0.993304E+02  0.910041E+00  0.510931E-04  0.109997E+02  0.108986E+02  0.160725E+02  0.168653E+02  0.400227E+02
  0.993304E+02  0.910041E+00  0.686741E-04  0.108318E+02  0.932587E+01  0.172198E+02  0.153338E+02  0.402640E+02
  0.993304E+02  0.515601E+01  0.686741E-04  0.944828E+01  0.102928E+02  0.157498E+02  0.152273E+02  0.406709E+02
  0.993304E+02  0.515601E+01  0.686741E-04  0.819882E+01  0.110459E+02  0.162547E+02  0.131527E+02  0.400270E+02
  0.993304E+02  0.515601E+01  0.686741E-04  0.905467E+01  0.108074E+02  0.171619E+02  0.142185E+02  0.402696E+02
  0.993304E+02  0.409519E+00  0.686741E-04  0.109101E+02  0.103812E+02  0.151524E+02  0.146033E+02  0.405349E+02
  0.993304E+02  0.409519E+00  0.777100E-03  0.955043E+01  0.105410E+02  0.157750E+02  0.148638E+02  0.387114E+02
  0.993304E+02  0.109493E+02  0.777100E-03  0.757426E+01  0.977088E+01  0.172257E+02  0.166545E+02  0.367580E+02
