a0_min        a1_min        a2_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  LogPost       
  0.101212E+03  0.952369E+01  0.262999E+01  0.134601E-03  0.797661E-03  0.473767E-03  0.100000E-02  0.397410E-03  0.742845E-03  0.125949E-02  0.539948E-03  0.181763E+03
  0.101212E+03  0.952369E+01  0.262999E+01  0.134601E-03  0.797661E-03  0.473767E-03  0.578082E-03  0.397410E-03  0.742845E-03  0.125949E-02  0.539948E-03  0.182298E+03
  0.101212E+03  0.952369E+01  0.262999E+01  0.134601E-03  0.797661E-03  0.473767E-03  0.578082E-03  0.397410E-03  0.742845E-03  0.125949E-02  0.539948E-03  0.182298E+03
  0.101212E+03  0.952369E+01  0.262999E+01  0.134601E-03  0.797661E-03  0.734049E-03  0.578082E-03  0.397410E-03  0.742845E-03  0.125949E-02  0.127055E-02  0.181853E+03
  0.101212E+03  0.870833E+01  0.286640E+01  0.134601E-03  0.133034E-02  0.734049E-03  0.408550E-03  0.397410E-03  0.742845E-03  0.125949E-02  0.127055E-02  0.181249E+03
  0.101212E+03  0.870833E+01  0.286640E+01  0.134601E-03  0.133034E-02  0.734049E-03  0.408550E-03  0.397410E-03  0.742845E-03  0.125949E-02  0.127055E-02  0.181249E+03
  0.101212E+03  0.482183E+01  0.585538E+01  0.134601E-03  0.133034E-02  0.734049E-03  0.408550E-03  0.397410E-03  0.742845E-03  0.441714E-03  0.127055E-02  0.184091E+03
  0.101212E+03  0.482183E+01  0.548059E+01  0.134601E-03  0.133034E-02  0.734049E-03  0.408550E-03  0.397410E-03  0.742845E-03  0.441714E-03  0.127055E-02  0.184072E+03
  0.101212E+03  0.482183E+01  0.747608E+01  0.134601E-03  0.133034E-02  0.734049E-03  0.408550E-03  0.397410E-03  0.742845E-03  0.441714E-03  0.127055E-02  0.184072E+03
  0.101212E+03  0.482183E+01  0.747608E+01  0.134601E-03  0.133034E-02  0.734049E-03  0.408550E-03  0.378025E-03  0.742845E-03  0.441714E-03  0.127055E-02  0.184077E+03
  0.101212E+03  0.482183E+01  0.747608E+01  0.134601E-03  0.133034E-02  0.734049E-03  0.408550E-03  0.378025E-03  0.742845E-03  0.441714E-03  0.420916E-02  0.180186E+03
  0.101212E+03  0.471053E+01  0.561352E+01  0.134601E-03  0.110544E-02  0.734049E-03  0.408550E-03  0.378025E-03  0.742845E-03  0.441714E-03  0.420916E-02  0.180669E+03
  0.101212E+03  0.471053E+01  0.561352E+01  0.134601E-03  0.114929E-02  0.734049E-03  0.408550E-03  0.378025E-03  0.742845E-03  0.441714E-03  0.373650E-02  0.181017E+03
  0.101212E+03  0.289577E+01  0.561352E+01  0.118133E-03  0.114929E-02  0.734049E-03  0.408550E-03  0.378025E-03  0.742845E-03  0.441714E-03  0.319342E-02  0.181448E+03
  0.101212E+03  0.289577E+01  0.561352E+01  0.118133E-03  0.114929E-02  0.734049E-03  0.408550E-03  0.276193E-03  0.742845E-03  0.441714E-03  0.319342E-02  0.181407E+03
  0.101212E+03  0.810173E+01  0.561352E+01  0.118133E-03  0.114929E-02  0.734049E-03  0.408550E-03  0.238991E-02  0.742845E-03  0.441714E-03  0.319342E-02  0.176732E+03
  0.101212E+03  0.810173E+01  0.561352E+01  0.118133E-03  0.114929E-02  0.734049E-03  0.408550E-03  0.238991E-02  0.742845E-03  0.441714E-03  0.319342E-02  0.176732E+03
  0.101212E+03  0.102804E+02  0.561352E+01  0.118133E-03  0.114929E-02  0.734049E-03  0.408550E-03  0.238991E-02  0.742845E-03  0.441714E-03  0.319342E-02  0.174903E+03
  0.101212E+03  0.102804E+02  0.587616E+01  0.118133E-03  0.114929E-02  0.734049E-03  0.408550E-03  0.238991E-02  0.742845E-03  0.441714E-03  0.319342E-02  0.174949E+03
  0.101212E+03  0.102804E+02  0.587616E+01  0.118133E-03  0.114929E-02  0.734049E-03  0.408550E-03  0.720079E-03  0.742845E-03  0.441714E-03  0.356939E-02  0.177830E+03
  0.101212E+03  0.102804E+02  0.587616E+01  0.118133E-03  0.114929E-02  0.734049E-03  0.408550E-03  0.523255E-03  0.742845E-03  0.441714E-03  0.356939E-02  0.178162E+03
  0.101212E+03  0.102804E+02  0.587616E+01  0.118133E-03  0.114929E-02  0.734049E-03  0.408550E-03  0.413220E-03  0.742845E-03  0.117074E-02  0.356939E-02  0.178521E+03
  0.101212E+03  0.102804E+02  0.496293E+01  0.422775E-03  0.114929E-02  0.734049E-03  0.408550E-03  0.413220E-03  0.742845E-03  0.117074E-02  0.356939E-02  0.178602E+03
  0.101212E+03  0.102804E+02  0.496293E+01  0.422775E-03  0.114929E-02  0.734049E-03  0.408550E-03  0.413220E-03  0.342179E-03  0.117074E-02  0.356939E-02  0.176456E+03
  0.101212E+03  0.909996E+01  0.496293E+01  0.422775E-03  0.114929E-02  0.734049E-03  0.408550E-03  0.413220E-03  0.253871E-02  0.117074E-02  0.356939E-02  0.177372E+03
  0.101212E+03  0.909996E+01  0.508132E+01  0.422775E-03  0.114929E-02  0.734049E-03  0.408550E-03  0.413220E-03  0.135618E-02  0.117074E-02  0.356939E-02  0.179002E+03
  0.101212E+03  0.835998E+01  0.214306E+01  0.422775E-03  0.662687E-03  0.734049E-03  0.408550E-03  0.413220E-03  0.135618E-02  0.117074E-02  0.778140E-03  0.183415E+03
  0.101212E+03  0.835998E+01  0.214306E+01  0.422775E-03  0.662687E-03  0.101274E-02  0.408550E-03  0.413220E-03  0.135618E-02  0.117074E-02  0.778140E-03  0.182816E+03
  0.101212E+03  0.835998E+01  0.629289E+01  0.422775E-03  0.662687E-03  0.101274E-02  0.408550E-03  0.413220E-03  0.135618E-02  0.117074E-02  0.778140E-03  0.183135E+03
  0.101212E+03  0.806695E+01  0.629289E+01  0.422775E-03  0.131614E-02  0.101274E-02  0.408550E-03  0.413220E-03  0.135618E-02  0.117074E-02  0.778140E-03  0.181826E+03
  0.101212E+03 -0.813196E+00  0.728280E+00  0.422775E-03  0.183345E-02  0.242403E-02  0.408550E-03  0.413220E-03  0.135618E-02  0.117074E-02  0.778140E-03  0.178180E+03
  0.101212E+03 -0.813196E+00  0.728280E+00  0.422775E-03  0.183345E-02  0.242403E-02  0.854349E-03  0.413220E-03  0.135618E-02  0.117074E-02  0.778140E-03  0.178455E+03
