"P0" "P1" "P2"
1 0.720844253473221 0.279424656648047
1 0.730814101563463 0.301133876566017
1 0.740783949653705 0.323141290096814
1 0.750753797743947 0.345446897240439
1 0.760723645834189 0.368050697996891
1 0.770693493924431 0.390952692366171
1 0.780663342014673 0.414152880348278
1 0.790633190104916 0.437651261943213
1 0.800603038195158 0.461447837150975
1 0.8105728862854 0.485542605971566
1 0.820542734375642 0.509935568404982
1 0.830512582465884 0.534626724451227
1 0.840482430556126 0.5596160741103
1 0.850452278646368 0.5849036173822
1 0.86042212673661 0.610489354266927
1 0.870391974826852 0.636373284764482
1 0.880361822917095 0.662555408874865
1 0.890331671007337 0.689035726598074
1 0.900301519097579 0.715814237934112
1 0.910271367187821 0.742890942882977
1 0.920241215278063 0.77026584144467
1 0.930211063368305 0.79793893361919
1 0.940180911458547 0.825910219406537
1 0.950150759548789 0.854179698806712
1 0.960120607639032 0.882747371819715
1 0.970090455729274 0.911613238445544
1 0.980060303819516 0.940777298684202
1 0.990030151909758 0.970239552535687
1 1 1
