"X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15"
1 0.696418983469418 0.227499100804866 -0.200221501441726 -0.414640920983493 0 0 0 0 0 0 0 0 0
1 0.682619846354391 0.198954781955339 -0.228729093086552 -0.422452368630667 0 0 0 0 0 0 0 0 0
1 0.668820709239365 0.17098171166117 -0.255286956725936 -0.427033389795627 0 0 0 0 0 0 0 0 0
1 0.655021572124339 0.14357988992236 -0.279934506045586 -0.428570412864973 0 0 0 0 0 0 0 0 0
1 0.641222435009312 0.116749316738907 -0.302711154731216 -0.427246059101334 0 0 0 0 0 0 0 0 0
1 0.627423297894285 0.0904899921108117 -0.323656316468535 -0.423239142643367 0 0 0 0 0 0 0 0 0
1 0.613624160779259 0.0648019160380756 -0.342809404943253 -0.416724670505753 0 0 0 0 0 0 0 0 0
1 0.599825023664233 0.0396850885206959 -0.360209833841082 -0.407873842579201 0 0 0 0 0 0 0 0 0
1 0.586025886549206 0.0151395095586744 -0.375897016847734 -0.396854051630447 0 0 0 0 0 0 0 0 0
1 0.57222674943418 -0.00883482084798914 -0.389910367648917 -0.383828883302253 0 0 0 0 0 0 0 0 0
1 0.558427612319153 -0.032237902699294 -0.402289299930342 -0.368958116113408 0 0 0 0 0 0 0 0 0
1 0.544628475204127 -0.0550697359952417 -0.413073227377722 -0.352397721458727 0 0 0 0 0 0 0 0 0
1 0.5308293380891 -0.0773303207358315 -0.422301563676766 -0.334299863609053 0 0 0 0 0 0 0 0 0
1 0.517030200974073 -0.0990196569210638 -0.430013722513185 -0.314812899711254 0 0 0 0 0 0 0 0 0
1 0.503231063859048 -0.120137744550937 -0.436249117572689 -0.294081379788229 0 0 0 0 0 0 0 0 0
1 0.489431926744021 -0.140684583625453 -0.44104716254099 -0.272246046738896 0 0 0 0 0 0 0 0 0
1 0.475632789628994 -0.160660174144611 -0.444447271103799 -0.249443836338205 0 0 0 0 0 0 0 0 0
1 0.461833652513968 -0.180064516108411 -0.446488856946825 -0.225807877237135 0 0 0 0 0 0 0 0 0
1 0.448034515398942 -0.198897609516853 -0.44721133375578 -0.201467490962684 0 0 0 0 0 0 0 0 0
1 0.434235378283915 -0.217159454369938 -0.446654115216374 -0.176548191917883 0 0 0 0 0 0 0 0 0
1 0.420436241168888 -0.234850050667664 -0.444856615014319 -0.151171687381789 0 0 0 0 0 0 0 0 0
1 0.406637104053862 -0.251969398410033 -0.441858246835324 -0.125455877509483 0 0 0 0 0 0 0 0 0
1 0.392837966938836 -0.268517497597043 -0.437698424365101 -0.099514855332074 0 0 0 0 0 0 0 0 0
1 0.379038829823809 -0.284494348228696 -0.43241656128936 -0.0734589067566983 0 0 0 0 0 0 0 0 0
1 0.365239692708782 -0.299899950304991 -0.426052071293812 -0.0473945105665177 0 0 0 0 0 0 0 0 0
1 0.351440555593757 -0.314734303825928 -0.418644368064168 -0.0214243384207238 0 0 0 0 0 0 0 0 0
1 0.33764141847873 -0.328997408791507 -0.410232865286138 0.00435274514547054 0 0 0 0 0 0 0 0 0
1 0.323842281363703 -0.342689265201728 -0.400856976645433 0.0298416827208219 0 0 0 0 0 0 0 0 0
1 0.310043144248677 -0.355809873056591 -0.390556115827765 0.0549512240180602 0 0 0 0 0 0 0 0 0
1 0.296244007133651 -0.368359232356096 -0.379369696518843 0.0795939258738889 0 0 0 0 0 0 0 0 0
1 0.282444870018624 -0.380337343100244 -0.367337132404378 0.103686152248988 0 0 0 0 0 0 0 0 0
1 0.268645732903597 -0.391744205289034 -0.354497837170081 0.127148074228006 0 0 0 0 0 0 0 0 0
1 0.254846595788571 -0.402579818922465 -0.340891224501664 0.149903670019567 0 0 0 0 0 0 0 0 0
1 0.241047458673545 -0.412844184000539 -0.326556708084835 0.17188072495627 0 0 0 0 0 0 0 0 0
