KP,Cote,ID_Cal,Date
59875,193.0407,158,13/02/11
59870,193.0333,158,13/02/11
59865,193.0462,158,13/02/11
59860,193.0471,158,13/02/11
59855,193.0461,158,13/02/11
59850,193.0369,158,13/02/11
59845,193.0399,158,13/02/11
59840,193.0475,158,13/02/11
59835,193.0519,158,13/02/11
59830,193.0445,158,13/02/11
59825,193.0457,158,13/02/11
59820,193.0472,158,13/02/11
59815,193.033,158,13/02/11
59810,193.0485,158,13/02/11
59805,193.0417,158,13/02/11
59800,193.0481,158,13/02/11
59795,193.0549,158,13/02/11
59790,193.0626,158,13/02/11
59785,193.0566,158,13/02/11
59780,193.055,158,13/02/11
59775,193.0584,158,13/02/11
59770,193.0556,158,13/02/11
59765,193.0518,158,13/02/11
59760,193.0559,158,13/02/11
59755,193.0526,158,13/02/11
59750,193.0548,158,13/02/11
59745,193.0521,158,13/02/11
59740,193.0563,158,13/02/11
59735,193.0539,158,13/02/11
59730,193.0521,158,13/02/11
59725,193.0607,158,13/02/11
59720,193.0616,158,13/02/11
59715,193.065,158,13/02/11
59710,193.0791,158,13/02/11
59705,193.0759,158,13/02/11
59700,193.0806,158,13/02/11
59695,193.0809,158,13/02/11
59690,193.068,158,13/02/11
59685,193.0747,158,13/02/11
59680,193.0794,158,13/02/11
59675,193.0824,158,13/02/11
59670,193.089,158,13/02/11
59665,193.0866,158,13/02/11
59660,193.0952,158,13/02/11
59655,193.081,158,13/02/11
59650,193.0568,158,13/02/11
59645,193.06,158,13/02/11
59640,193.0659,158,13/02/11
59635,193.0809,158,13/02/11
59630,193.0704,158,13/02/11
59625,193.0718,158,13/02/11
59620,193.0681,158,13/02/11
59615,193.0558,158,13/02/11
59610,193.0573,158,13/02/11
59605,193.0644,158,13/02/11
59600,193.0679,158,13/02/11
59595,193.0597,158,13/02/11
59590,193.0624,158,13/02/11
59585,193.0726,158,13/02/11
59580,193.0866,158,13/02/11
59575,193.0897,158,13/02/11
59570,193.0888,158,13/02/11
59565,193.0887,158,13/02/11
59560,193.0801,158,13/02/11
59555,193.0884,158,13/02/11
59550,193.0855,158,13/02/11
59545,193.0797,158,13/02/11
59540,193.0848,158,13/02/11
59535,193.0897,158,13/02/11
59530,193.0795,158,13/02/11
59525,193.0899,158,13/02/11
59520,193.0857,158,13/02/11
59515,193.0797,158,13/02/11
59510,193.086,158,13/02/11
59505,193.0742,158,13/02/11
59500,193.0707,158,13/02/11
59495,193.0885,158,13/02/11
59490,193.0835,158,13/02/11
59485,193.0898,158,13/02/11
59480,193.0833,158,13/02/11
59475,193.0782,158,13/02/11
59470,193.0824,158,13/02/11
59465,193.0768,158,13/02/11
59460,193.0863,158,13/02/11
59455,193.072,158,13/02/11
59450,193.0802,158,13/02/11
59445,193.0657,158,13/02/11
59440,193.0737,158,13/02/11
59435,193.0689,158,13/02/11
59430,193.0809,158,13/02/11
59425,193.0781,158,13/02/11
59420,193.0901,158,13/02/11
59415,193.0768,158,13/02/11
59410,193.0713,158,13/02/11
59405,193.0709,158,13/02/11
59400,193.0745,158,13/02/11
59395,193.0697,158,13/02/11
59390,193.0686,158,13/02/11
59385,193.0428,158,13/02/11
59380,193.0421,158,13/02/11
59375,193.0387,158,13/02/11
59370,193.0409,158,13/02/11
59365,193.048,158,13/02/11
59360,193.0452,158,13/02/11
59355,193.0411,158,13/02/11
59350,193.0387,158,13/02/11
59345,193.0281,158,13/02/11
59340,193.0404,158,13/02/11
59335,193.0363,158,13/02/11
59330,193.0441,158,13/02/11
59325,193.043,158,13/02/11
59320,193.0326,158,13/02/11
59315,193.0472,158,13/02/11
59310,193.0443,158,13/02/11
59305,193.041,158,13/02/11
59300,193.0328,158,13/02/11
59295,193.034,158,13/02/11
59290,193.0439,158,13/02/11
59285,193.0382,158,13/02/11
59280,193.0433,158,13/02/11
59275,193.0399,158,13/02/11
59270,193.041,158,13/02/11
59265,193.041,158,13/02/11
59260,193.0312,158,13/02/11
59255,193.0428,158,13/02/11
59250,193.0412,158,13/02/11
59245,193.0432,158,13/02/11
59240,193.0312,158,13/02/11
59235,193.0432,158,13/02/11
59230,193.0386,158,13/02/11
59225,193.0444,158,13/02/11
59220,193.041,158,13/02/11
59215,193.0272,158,13/02/11
59210,193.0311,158,13/02/11
59205,193.0288,158,13/02/11
59200,193.0362,158,13/02/11
59195,193.0339,158,13/02/11
59190,193.0371,158,13/02/11
59185,193.0372,158,13/02/11
59180,193.0339,158,13/02/11
59175,193.0305,158,13/02/11
59170,193.0283,158,13/02/11
59165,193.0333,158,13/02/11
59160,193.027,158,13/02/11
59155,193.023,158,13/02/11
59150,193.0324,158,13/02/11
59145,193.033,158,13/02/11
59140,193.042,158,13/02/11
59135,193.0326,158,13/02/11
59130,193.0301,158,13/02/11
59125,193.0313,158,13/02/11
59120,193.0332,158,13/02/11
59115,193.0344,158,13/02/11
59110,193.0332,158,13/02/11
59105,193.0275,158,13/02/11
59100,193.0267,158,13/02/11
59095,193.0292,158,13/02/11
59090,193.0275,158,13/02/11
59085,193.029,158,13/02/11
59080,193.0331,158,13/02/11
59075,193.0278,158,13/02/11
59070,193.0331,158,13/02/11
59065,193.0319,158,13/02/11
59060,193.0266,158,13/02/11
59055,193.029,158,13/02/11
59050,193.0315,158,13/02/11
59045,193.038,158,13/02/11
59040,193.0342,158,13/02/11
59035,193.0316,158,13/02/11
59030,193.0276,158,13/02/11
59025,193.0292,158,13/02/11
59020,193.0319,158,13/02/11
59015,193.0283,158,13/02/11
59010,193.0336,158,13/02/11
59005,193.0307,158,13/02/11
59000,193.029,158,13/02/11
58995,193.0256,158,13/02/11
58990,193.0353,158,13/02/11
58985,193.0349,158,13/02/11
58980,193.0382,158,13/02/11
58975,193.031,158,13/02/11
58970,193.0329,158,13/02/11
58965,193.0373,158,13/02/11
58960,193.0287,158,13/02/11
58955,193.0358,158,13/02/11
58950,193.028,158,13/02/11
58945,193.0299,158,13/02/11
58940,193.0279,158,13/02/11
58935,193.0399,158,13/02/11
58930,193.0355,158,13/02/11
