a0_min         a1_min         a2_min         a3_min         a4_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101302E+03  -0.205020E+01   0.321911E+01   0.208310E+01   0.114762E+02   0.143287E-04   0.820407E-04   0.153376E-03   0.962613E-03   0.191488E+03   0.000000E+00   0.000000E+00   0.191488E+03  -0.382976E+03
   0.101302E+03  -0.205020E+01   0.321911E+01  -0.104085E+02   0.122754E+02   0.143287E-04   0.820407E-04   0.153376E-03   0.962613E-03   0.192217E+03   0.000000E+00   0.000000E+00   0.192217E+03  -0.384434E+03
   0.101302E+03  -0.205020E+01   0.321911E+01  -0.104085E+02   0.122754E+02   0.143287E-04   0.857705E-04   0.153376E-03   0.962613E-03   0.192215E+03   0.000000E+00   0.000000E+00   0.192215E+03  -0.384430E+03
   0.101302E+03  -0.239632E+01   0.321911E+01  -0.118707E+02   0.314883E+01   0.143287E-04   0.857705E-04   0.153376E-03   0.962613E-03   0.192301E+03   0.000000E+00   0.000000E+00   0.192301E+03  -0.384602E+03
   0.101302E+03  -0.239632E+01  -0.319536E+00  -0.125591E+02   0.436244E+01   0.146926E-03   0.857705E-04   0.153376E-03   0.962613E-03   0.192367E+03   0.000000E+00   0.000000E+00   0.192367E+03  -0.384734E+03
   0.101302E+03  -0.239632E+01   0.713637E+01  -0.762281E+01   0.150639E+02   0.146926E-03   0.857705E-04   0.153376E-03   0.962613E-03   0.191567E+03   0.000000E+00   0.000000E+00   0.191567E+03  -0.383134E+03
   0.101302E+03  -0.160173E+01   0.713637E+01  -0.736278E+01  -0.273721E+01   0.146926E-03   0.857705E-04   0.153376E-03   0.962613E-03   0.190790E+03   0.000000E+00   0.000000E+00   0.190790E+03  -0.381580E+03
   0.101302E+03  -0.160173E+01   0.985073E+00  -0.736278E+01   0.138339E+02   0.146926E-03   0.857705E-04   0.153376E-03   0.119218E-02   0.192343E+03   0.000000E+00   0.000000E+00   0.192343E+03  -0.384686E+03
   0.101302E+03  -0.160173E+01   0.336179E+01  -0.147993E+02   0.502193E+01   0.146926E-03   0.857705E-04   0.153376E-03   0.119218E-02   0.191373E+03   0.000000E+00   0.000000E+00   0.191373E+03  -0.382746E+03
   0.101302E+03  -0.307897E+01  -0.364548E+01  -0.173725E+02   0.333639E+01   0.146926E-03   0.857705E-04   0.153376E-03   0.119218E-02   0.191219E+03   0.000000E+00   0.000000E+00   0.191219E+03  -0.382438E+03
   0.101302E+03  -0.307897E+01  -0.364548E+01  -0.133938E+02   0.380033E+01   0.146926E-03   0.857705E-04   0.153376E-03   0.119218E-02   0.191828E+03   0.000000E+00   0.000000E+00   0.191828E+03  -0.383656E+03
   0.101302E+03  -0.307897E+01  -0.364548E+01  -0.775867E+01  -0.419029E+00   0.146926E-03   0.857705E-04   0.153376E-03   0.119218E-02   0.191737E+03   0.000000E+00   0.000000E+00   0.191737E+03  -0.383474E+03
   0.101302E+03  -0.307897E+01  -0.364548E+01  -0.775867E+01  -0.797679E+01   0.215582E-03   0.857705E-04   0.153376E-03   0.178577E-02   0.190283E+03   0.000000E+00   0.000000E+00   0.190283E+03  -0.380566E+03
   0.101302E+03   0.339986E+01  -0.364548E+01  -0.775867E+01  -0.797679E+01   0.215582E-03   0.857705E-04   0.153376E-03   0.178577E-02   0.190295E+03   0.000000E+00   0.000000E+00   0.190295E+03  -0.380590E+03
   0.101302E+03   0.339986E+01  -0.364548E+01  -0.992301E+01  -0.797679E+01   0.215582E-03   0.857705E-04   0.153376E-03   0.178577E-02   0.189877E+03   0.000000E+00   0.000000E+00   0.189877E+03  -0.379754E+03
   0.101302E+03   0.390668E+01  -0.364548E+01   0.115088E+01  -0.551593E+01   0.215582E-03   0.857705E-04   0.153376E-03   0.224843E-02   0.189599E+03   0.000000E+00   0.000000E+00   0.189599E+03  -0.379198E+03
