a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.100000E+03   0.593044E+02   0.369117E-03   0.113467E+02   0.106898E+02   0.335187E-03   0.149075E+02   0.666168E+02
   0.100000E+03   0.593044E+02   0.369117E-03   0.113467E+02   0.125752E+02   0.335187E-03   0.150422E+02   0.658451E+02
   0.100000E+03   0.597222E+02   0.385626E-03   0.101725E+02   0.107823E+02   0.335187E-03   0.150422E+02   0.667349E+02
   0.100000E+03   0.583982E+02   0.385626E-03   0.738627E+01   0.803522E+01   0.335187E-03   0.123612E+02   0.650877E+02
   0.100000E+03   0.588965E+02   0.385626E-03   0.738627E+01   0.111470E+02   0.315065E-03   0.123612E+02   0.656138E+02
   0.100000E+03   0.588965E+02   0.385626E-03   0.878683E+01   0.111470E+02   0.138839E-03   0.153082E+02   0.669841E+02
   0.100000E+03   0.588965E+02   0.385626E-03   0.935320E+01   0.111470E+02   0.138839E-03   0.224109E+02   0.646838E+02
   0.100000E+03   0.601678E+02   0.385626E-03   0.935320E+01   0.111470E+02   0.235864E-03   0.194330E+02   0.654950E+02
   0.100000E+03   0.601678E+02   0.487655E-03   0.786717E+01   0.867047E+01   0.235864E-03   0.169855E+02   0.653968E+02
   0.100000E+03   0.601678E+02   0.487655E-03   0.701324E+01   0.839413E+01   0.235864E-03   0.169855E+02   0.645613E+02
   0.100000E+03   0.601678E+02   0.487655E-03   0.115962E+02   0.839413E+01   0.235864E-03   0.169855E+02   0.653577E+02
   0.100000E+03   0.601678E+02   0.487655E-03   0.113838E+02   0.839413E+01   0.235864E-03   0.192667E+02   0.647242E+02
   0.100000E+03   0.601678E+02   0.487655E-03   0.101492E+02   0.839413E+01   0.235864E-03   0.192667E+02   0.650462E+02
   0.100000E+03   0.601678E+02   0.487655E-03   0.895873E+01   0.102396E+02   0.300031E-03   0.203444E+02   0.646052E+02
   0.100000E+03   0.601678E+02   0.487655E-03   0.880695E+01   0.102396E+02   0.300031E-03   0.191494E+02   0.650476E+02
   0.100000E+03   0.601678E+02   0.487655E-03   0.880695E+01   0.133564E+02   0.300031E-03   0.191494E+02   0.637419E+02
   0.100000E+03   0.601678E+02   0.487655E-03   0.110706E+02   0.127763E+02   0.300031E-03   0.167610E+02   0.646514E+02
   0.100000E+03   0.601678E+02   0.487655E-03   0.116602E+02   0.127763E+02   0.300031E-03   0.144741E+02   0.647187E+02
   0.100000E+03   0.601678E+02   0.487655E-03   0.824520E+01   0.127763E+02   0.300031E-03   0.212200E+02   0.630239E+02
   0.100000E+03   0.601678E+02   0.487655E-03   0.824520E+01   0.142974E+02   0.300031E-03   0.155910E+02   0.638580E+02
   0.100000E+03   0.601678E+02   0.487655E-03   0.960902E+01   0.142974E+02   0.300031E-03   0.152691E+02   0.641860E+02
