a0_min         Y1_intercept   Y2_intercept   Y3_intercept   LogPost        
   0.100135E+03   0.402493E-03   0.104152E+02   0.109470E+02   0.185089E+03
   0.100135E+03   0.402493E-03   0.104152E+02   0.107585E+02   0.185249E+03
   0.100135E+03   0.504366E-03   0.877709E+01   0.107585E+02   0.184693E+03
   0.100135E+03   0.504366E-03   0.877709E+01   0.107585E+02   0.184693E+03
   0.100135E+03   0.468894E-03   0.918512E+01   0.124471E+02   0.182928E+03
   0.100135E+03   0.468894E-03   0.918512E+01   0.113804E+02   0.184577E+03
   0.995280E+02   0.597949E-03   0.957593E+01   0.992157E+01   0.184811E+03
   0.995280E+02   0.478722E-03   0.104614E+02   0.992157E+01   0.185309E+03
   0.995280E+02   0.478722E-03   0.104614E+02   0.101132E+02   0.185286E+03
   0.995280E+02   0.478722E-03   0.102866E+02   0.101132E+02   0.185365E+03
   0.995280E+02   0.478722E-03   0.102866E+02   0.103258E+02   0.185299E+03
   0.995280E+02   0.478722E-03   0.102866E+02   0.120794E+02   0.183409E+03
   0.995280E+02   0.478722E-03   0.915914E+01   0.120794E+02   0.183179E+03
   0.995280E+02   0.478722E-03   0.992186E+01   0.118244E+02   0.183884E+03
   0.995280E+02   0.478722E-03   0.992186E+01   0.116018E+02   0.184203E+03
   0.995280E+02   0.478722E-03   0.108158E+02   0.116018E+02   0.183812E+03
   0.995280E+02   0.478722E-03   0.100158E+02   0.101670E+02   0.185419E+03
   0.995280E+02   0.478722E-03   0.100158E+02   0.101670E+02   0.185419E+03
   0.100634E+03   0.315970E-03   0.100158E+02   0.107625E+02   0.184036E+03
   0.100634E+03   0.399193E-03   0.100158E+02   0.105899E+02   0.184951E+03
   0.100634E+03   0.562155E-03   0.956635E+01   0.102498E+02   0.185097E+03
   0.100634E+03   0.562155E-03   0.956635E+01   0.102498E+02   0.185097E+03
   0.100634E+03   0.562155E-03   0.988042E+01   0.957441E+01   0.185160E+03
   0.100634E+03   0.307299E-03   0.988042E+01   0.957441E+01   0.184221E+03
   0.100634E+03   0.307299E-03   0.988042E+01   0.107618E+02   0.183929E+03
   0.100634E+03   0.307299E-03   0.988042E+01   0.107735E+02   0.183920E+03
   0.100634E+03   0.307299E-03   0.988042E+01   0.961188E+01   0.184234E+03
   0.100634E+03   0.307299E-03   0.988042E+01   0.961188E+01   0.184234E+03
   0.100634E+03   0.251122E-03   0.988042E+01   0.946961E+01   0.183322E+03
   0.100634E+03   0.251122E-03   0.988042E+01   0.946961E+01   0.183322E+03
