Km_SU1_Rh_a0   Km_SU2_Rh_a0   Km_SU1_Ai_a0   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.401384E+02   0.266843E+02   0.197129E+02   0.119857E+00   0.453405E-02   0.608715E-02   0.226808E-02   0.901822E-02  -0.262671E+04   0.162299E+02   0.000000E+00  -0.264294E+04   0.528588E+04
   0.401384E+02   0.268150E+02   0.197129E+02   0.119857E+00   0.528915E-02   0.628163E-02   0.129632E-02   0.890970E-02  -0.262627E+04   0.162430E+02   0.000000E+00  -0.264251E+04   0.528503E+04
   0.402150E+02   0.268150E+02   0.198768E+02   0.119857E+00   0.265244E-02   0.614452E-02   0.177635E-02   0.937810E-02  -0.262583E+04   0.164255E+02   0.000000E+00  -0.264226E+04   0.528451E+04
   0.402150E+02   0.268150E+02   0.198768E+02   0.119857E+00   0.152368E-02   0.511294E-02   0.182645E-02   0.948364E-02  -0.262563E+04   0.166260E+02   0.000000E+00  -0.264226E+04   0.528451E+04
   0.402150E+02   0.268150E+02   0.198768E+02   0.120255E+00   0.172438E-02   0.765251E-02   0.162344E-02   0.836999E-02  -0.260695E+04   0.164836E+02   0.000000E+00  -0.262343E+04   0.524687E+04
   0.402150E+02   0.268150E+02   0.200503E+02   0.120272E+00   0.725912E-03   0.876187E-02   0.772027E-03   0.947020E-02  -0.260599E+04   0.164477E+02   0.000000E+00  -0.262244E+04   0.524488E+04
   0.402150E+02   0.268150E+02   0.200503E+02   0.120272E+00   0.725912E-03   0.846986E-02   0.772027E-03   0.818020E-02  -0.260583E+04   0.166059E+02   0.000000E+00  -0.262244E+04   0.524487E+04
   0.402150E+02   0.268150E+02   0.200503E+02   0.120660E+00   0.367129E-02   0.734199E-02   0.772027E-03   0.739118E-02  -0.258778E+04   0.165030E+02   0.000000E+00  -0.260428E+04   0.520857E+04
   0.402150E+02   0.268150E+02   0.202999E+02   0.120660E+00   0.348024E-02   0.700015E-02   0.643732E-03   0.726683E-02  -0.258758E+04   0.165816E+02   0.000000E+00  -0.260416E+04   0.520832E+04
   0.402150E+02   0.265430E+02   0.202999E+02   0.120660E+00   0.348024E-02   0.896160E-02   0.643732E-03   0.804909E-02  -0.258882E+04   0.163072E+02   0.000000E+00  -0.260513E+04   0.521025E+04
   0.402150E+02   0.265151E+02   0.202999E+02   0.121457E+00   0.341438E-02   0.817712E-02   0.643732E-03   0.804909E-02  -0.255207E+04   0.163922E+02   0.000000E+00  -0.256846E+04   0.513692E+04
   0.402150E+02   0.265151E+02   0.203599E+02   0.123803E+00   0.480688E-02   0.100857E-01   0.656572E-03   0.757816E-02  -0.244804E+04   0.161079E+02   0.000000E+00  -0.246415E+04   0.492830E+04
   0.402150E+02   0.265151E+02   0.203599E+02   0.124488E+00   0.271926E-02   0.939979E-02   0.132514E-02   0.890916E-02  -0.241866E+04   0.161853E+02   0.000000E+00  -0.243485E+04   0.486969E+04
   0.402150E+02   0.265151E+02   0.203599E+02   0.125910E+00   0.234216E-02   0.107945E-01   0.288466E-02   0.931911E-02  -0.235965E+04   0.158866E+02   0.000000E+00  -0.237554E+04   0.475107E+04
   0.402150E+02   0.265151E+02   0.203599E+02   0.127927E+00   0.130565E-03   0.117829E-01   0.723097E-03   0.782918E-02  -0.227838E+04   0.163741E+02   0.000000E+00  -0.229475E+04   0.458951E+04
   0.402150E+02   0.265151E+02   0.203599E+02   0.128355E+00   0.130565E-03   0.962234E-02   0.723097E-03   0.782918E-02  -0.226154E+04   0.165902E+02   0.000000E+00  -0.227813E+04   0.455626E+04
   0.402150E+02   0.265151E+02   0.203599E+02   0.130057E+00   0.130565E-03   0.105375E-01   0.723097E-03   0.782918E-02  -0.219708E+04   0.164986E+02   0.000000E+00  -0.221358E+04   0.442716E+04
   0.402150E+02   0.265151E+02   0.203599E+02   0.130057E+00   0.130565E-03   0.108565E-01   0.488234E-03   0.471315E-02  -0.219678E+04   0.168018E+02   0.000000E+00  -0.221358E+04   0.442716E+04
   0.402150E+02   0.265151E+02   0.203599E+02   0.132036E+00   0.154041E-02   0.988171E-02   0.488234E-03   0.475160E-02  -0.212492E+04   0.167545E+02   0.000000E+00  -0.214167E+04   0.428335E+04
   0.402150E+02   0.265151E+02   0.203599E+02   0.132036E+00   0.194160E-02   0.101263E-01   0.213578E-02   0.657487E-02  -0.212533E+04   0.163428E+02   0.000000E+00  -0.214167E+04   0.428335E+04
   0.402150E+02   0.265151E+02   0.203599E+02   0.132036E+00   0.194160E-02   0.958846E-02   0.281895E-02   0.574178E-02  -0.212526E+04   0.164116E+02   0.000000E+00  -0.214167E+04   0.428334E+04
   0.402150E+02   0.265151E+02   0.203599E+02   0.132036E+00   0.385003E-02   0.113129E-01   0.281895E-02   0.567839E-02  -0.212562E+04   0.160547E+02   0.000000E+00  -0.214167E+04   0.428335E+04
   0.402150E+02   0.265151E+02   0.203599E+02   0.132647E+00   0.166180E-02   0.120770E-01   0.183514E-02   0.474872E-02  -0.210375E+04   0.163884E+02   0.000000E+00  -0.212014E+04   0.424028E+04
   0.402150E+02   0.268446E+02   0.203599E+02   0.132647E+00   0.166180E-02   0.119299E-01   0.193327E-02   0.655072E-02  -0.210310E+04   0.162131E+02   0.000000E+00  -0.211931E+04   0.423863E+04
   0.402150E+02   0.268446E+02   0.203599E+02   0.132647E+00   0.945035E-03   0.142954E-01   0.366822E-02   0.403624E-02  -0.210318E+04   0.161262E+02   0.000000E+00  -0.211931E+04   0.423861E+04
   0.402150E+02   0.268446E+02   0.203599E+02   0.132647E+00   0.814071E-03   0.159372E-01   0.602663E-02   0.200848E-02  -0.210337E+04   0.159420E+02   0.000000E+00  -0.211931E+04   0.423862E+04
   0.402150E+02   0.268446E+02   0.204082E+02   0.132647E+00   0.327746E-02   0.130071E-01   0.462813E-02   0.278214E-02  -0.210323E+04   0.160512E+02   0.000000E+00  -0.211928E+04   0.423856E+04
   0.402150E+02   0.268446E+02   0.204082E+02   0.132647E+00   0.433378E-02   0.132416E-01   0.634737E-02   0.139683E-02  -0.210339E+04   0.158887E+02   0.000000E+00  -0.211928E+04   0.423856E+04
   0.400208E+02   0.268446E+02   0.204082E+02   0.132647E+00   0.507457E-02   0.130445E-01   0.463698E-02   0.344774E-02  -0.210319E+04   0.158003E+02   0.000000E+00  -0.211899E+04   0.423798E+04
   0.400208E+02   0.268446E+02   0.204082E+02   0.134321E+00   0.516434E-02   0.122208E-01   0.532692E-02   0.295953E-02  -0.204570E+04   0.158535E+02   0.000000E+00  -0.206155E+04   0.412311E+04
   0.400208E+02   0.268446E+02   0.204082E+02   0.134321E+00   0.375811E-02   0.110877E-01   0.385521E-02   0.474035E-02  -0.204548E+04   0.160765E+02   0.000000E+00  -0.206156E+04   0.412311E+04
   0.400208E+02   0.267850E+02   0.204082E+02   0.136177E+00   0.398964E-02   0.103190E-01   0.464982E-02   0.509582E-02  -0.198430E+04   0.160153E+02   0.000000E+00  -0.200032E+04   0.400063E+04
   0.400208E+02   0.267850E+02   0.204082E+02   0.136177E+00   0.300384E-02   0.957340E-02   0.219762E-02   0.214957E-02  -0.198359E+04   0.167282E+02   0.000000E+00  -0.200032E+04   0.400064E+04
   0.404116E+02   0.267850E+02   0.204082E+02   0.136177E+00   0.300384E-02   0.472960E-02   0.441746E-03   0.354515E-04  -0.198399E+04   0.175996E+02   0.000000E+00  -0.200159E+04   0.400318E+04
   0.404116E+02   0.267850E+02   0.204082E+02   0.137424E+00   0.375242E-02   0.466333E-02   0.194604E-02   0.120181E-02  -0.194461E+04   0.172643E+02   0.000000E+00  -0.196187E+04   0.392375E+04
   0.400771E+02   0.267850E+02   0.204082E+02   0.137424E+00   0.427338E-02   0.524580E-02   0.394405E-02   0.120181E-02  -0.194368E+04   0.169542E+02   0.000000E+00  -0.196063E+04   0.392127E+04
   0.400771E+02   0.267850E+02   0.204082E+02   0.137424E+00   0.427338E-02   0.262296E-02   0.438725E-02   0.120181E-02  -0.194346E+04   0.171721E+02   0.000000E+00  -0.196063E+04   0.392126E+04
   0.400771E+02   0.267850E+02   0.204082E+02   0.137424E+00   0.845183E-03   0.241510E-02   0.486048E-02   0.268313E-02  -0.194329E+04   0.173403E+02   0.000000E+00  -0.196063E+04   0.392126E+04
   0.400771E+02   0.267850E+02   0.204082E+02   0.137629E+00   0.413224E-02   0.166005E-02   0.248716E-02   0.313760E-02  -0.193695E+04   0.172790E+02   0.000000E+00  -0.195423E+04   0.390846E+04
   0.400771E+02   0.267850E+02   0.204082E+02   0.137629E+00   0.441527E-02   0.239537E-02   0.248716E-02   0.900559E-03  -0.193683E+04   0.174008E+02   0.000000E+00  -0.195423E+04   0.390846E+04
   0.400771E+02   0.267850E+02   0.204082E+02   0.137629E+00   0.480108E-02   0.239537E-02   0.248716E-02   0.191574E-02  -0.193697E+04   0.172607E+02   0.000000E+00  -0.195423E+04   0.390846E+04
   0.400771E+02   0.267850E+02   0.204082E+02   0.137629E+00   0.447520E-02   0.306107E-02   0.129289E-02   0.310557E-02  -0.193700E+04   0.172272E+02   0.000000E+00  -0.195423E+04   0.390845E+04
   0.400771E+02   0.267850E+02   0.204082E+02   0.137629E+00   0.537843E-02   0.306107E-02   0.236974E-02   0.310557E-02  -0.193720E+04   0.170292E+02   0.000000E+00  -0.195423E+04   0.390846E+04
   0.400771E+02   0.267850E+02   0.204082E+02   0.138563E+00   0.495572E-02   0.234655E-02   0.199985E-02   0.319523E-02  -0.190818E+04   0.171709E+02   0.000000E+00  -0.192535E+04   0.385070E+04
   0.400771E+02   0.267850E+02   0.204082E+02   0.138658E+00   0.495572E-02   0.234655E-02   0.199985E-02   0.284683E-03  -0.190498E+04   0.174620E+02   0.000000E+00  -0.192244E+04   0.384488E+04
   0.400771E+02   0.267850E+02   0.204082E+02   0.138972E+00   0.405676E-02   0.168833E-02   0.100656E-02   0.284683E-03  -0.189517E+04   0.177170E+02   0.000000E+00  -0.191289E+04   0.382577E+04
   0.400771E+02   0.267850E+02   0.204082E+02   0.138972E+00   0.563717E-02   0.302502E-02   0.100656E-02   0.284683E-03  -0.189546E+04   0.174253E+02   0.000000E+00  -0.191289E+04   0.382577E+04
   0.400771E+02   0.267850E+02   0.204082E+02   0.140145E+00   0.697674E-02   0.272901E-02   0.328838E-03   0.686622E-03  -0.186045E+04   0.173486E+02   0.000000E+00  -0.187780E+04   0.375560E+04
   0.400771E+02   0.267850E+02   0.204082E+02   0.140145E+00   0.109078E-01   0.279898E-02   0.328838E-03   0.413160E-02  -0.186119E+04   0.166040E+02   0.000000E+00  -0.187779E+04   0.375559E+04
   0.400771E+02   0.267850E+02   0.204082E+02   0.140145E+00   0.831037E-02   0.102160E-02   0.328838E-03   0.413160E-02  -0.186075E+04   0.170414E+02   0.000000E+00  -0.187779E+04   0.375558E+04
   0.400771E+02   0.267850E+02   0.204082E+02   0.140737E+00   0.845246E-02   0.164840E-02   0.831808E-03   0.438718E-02  -0.184352E+04   0.168887E+02   0.000000E+00  -0.186041E+04   0.372082E+04
   0.400771E+02   0.267850E+02   0.204082E+02   0.140737E+00   0.449012E-02   0.865343E-03   0.831808E-03   0.700364E-02  -0.184331E+04   0.171016E+02   0.000000E+00  -0.186041E+04   0.372082E+04
   0.400771E+02   0.267850E+02   0.193849E+02   0.140737E+00   0.460662E-02   0.228952E-02   0.326730E-02   0.630096E-02  -0.184615E+04   0.167742E+02   0.000000E+00  -0.186292E+04   0.372585E+04
   0.400771E+02   0.271614E+02   0.206110E+02   0.141104E+00   0.535136E-02   0.228952E-02   0.571694E-02   0.779243E-02  -0.183591E+04   0.163057E+02   0.000000E+00  -0.185222E+04   0.370443E+04
   0.400771E+02   0.272049E+02   0.206110E+02   0.141381E+00   0.424906E-02   0.367123E-02   0.565706E-02   0.998950E-02  -0.182843E+04   0.160640E+02   0.000000E+00  -0.184449E+04   0.368899E+04
   0.400771E+02   0.272049E+02   0.205494E+02   0.142309E+00   0.203769E-02   0.338219E-02   0.531680E-02   0.887314E-02  -0.180102E+04   0.164597E+02   0.000000E+00  -0.181748E+04   0.363496E+04
   0.400771E+02   0.272049E+02   0.205494E+02   0.142312E+00   0.203769E-02   0.934977E-03   0.869416E-02   0.108638E-01  -0.180122E+04   0.161676E+02   0.000000E+00  -0.181739E+04   0.363478E+04
   0.400771E+02   0.272049E+02   0.202742E+02   0.143360E+00   0.203769E-02   0.450249E-03   0.894248E-02   0.743841E-02  -0.177151E+04   0.165338E+02   0.000000E+00  -0.178804E+04   0.357609E+04
   0.400771E+02   0.272049E+02   0.202742E+02   0.143360E+00   0.360584E-02   0.450249E-03   0.567794E-02   0.940400E-02  -0.177154E+04   0.165069E+02   0.000000E+00  -0.178805E+04   0.357609E+04
   0.397919E+02   0.272049E+02   0.197831E+02   0.143360E+00   0.440574E-02   0.450249E-03   0.565402E-02   0.125076E-01  -0.177136E+04   0.161189E+02   0.000000E+00  -0.178748E+04   0.357496E+04
   0.397919E+02   0.272049E+02   0.197831E+02   0.143360E+00   0.404593E-02   0.350882E-02   0.772196E-02   0.147163E-01  -0.177205E+04   0.154214E+02   0.000000E+00  -0.178747E+04   0.357494E+04
   0.397919E+02   0.272049E+02   0.200212E+02   0.145120E+00   0.381523E-02   0.225503E-02   0.586334E-02   0.134595E-01  -0.172410E+04   0.158814E+02   0.000000E+00  -0.173998E+04   0.347996E+04
   0.397919E+02   0.272049E+02   0.200212E+02   0.145120E+00   0.381523E-02   0.618590E-03   0.983686E-02   0.149974E-01  -0.172449E+04   0.154939E+02   0.000000E+00  -0.173998E+04   0.347997E+04
   0.397919E+02   0.263679E+02   0.200212E+02   0.145120E+00   0.197441E-02   0.442080E-03   0.145437E-01   0.176149E-01  -0.172565E+04   0.149632E+02   0.000000E+00  -0.174061E+04   0.348123E+04
   0.397919E+02   0.263679E+02   0.200212E+02   0.145290E+00   0.932932E-03   0.442080E-03   0.138624E-01   0.121506E-01  -0.172044E+04   0.156819E+02   0.000000E+00  -0.173612E+04   0.347224E+04
   0.397919E+02   0.272399E+02   0.200212E+02   0.145290E+00   0.230138E-02   0.167245E-02   0.138624E-01   0.113664E-01  -0.172017E+04   0.155004E+02   0.000000E+00  -0.173567E+04   0.347134E+04
   0.401785E+02   0.269892E+02   0.200212E+02   0.145290E+00   0.500035E-02   0.472250E-03   0.132230E-01   0.122007E-01  -0.171927E+04   0.153311E+02   0.000000E+00  -0.173460E+04   0.346920E+04
   0.401785E+02   0.269892E+02   0.200212E+02   0.145966E+00   0.312942E-02   0.472250E-03   0.864764E-02   0.875370E-02  -0.170055E+04   0.163204E+02   0.000000E+00  -0.171687E+04   0.343374E+04
   0.401785E+02   0.268118E+02   0.200212E+02   0.146809E+00   0.510256E-02   0.472250E-03   0.866649E-02   0.766153E-02  -0.167879E+04   0.162304E+02   0.000000E+00  -0.169502E+04   0.339004E+04
   0.402151E+02   0.268118E+02   0.200212E+02   0.146809E+00   0.547013E-02   0.472250E-03   0.108789E-01   0.598670E-02  -0.167899E+04   0.161399E+02   0.000000E+00  -0.169513E+04   0.339026E+04
