a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        
   0.100094E+03   0.323137E+01   0.303603E-03   0.366813E-03   0.168207E-03   0.668954E-03   0.215933E+03
   0.100094E+03   0.323137E+01   0.303603E-03   0.366813E-03   0.168207E-03   0.668954E-03   0.215933E+03
   0.100094E+03  -0.114232E+01   0.303603E-03   0.366813E-03   0.168207E-03   0.668954E-03   0.215760E+03
   0.100094E+03  -0.629577E+00   0.303603E-03   0.366813E-03   0.168207E-03   0.668954E-03   0.216067E+03
   0.100094E+03  -0.629577E+00   0.303603E-03   0.366813E-03   0.168207E-03   0.668954E-03   0.216067E+03
   0.100189E+03  -0.629577E+00   0.303603E-03   0.197317E-03   0.168207E-03   0.668954E-03   0.216524E+03
   0.100189E+03  -0.629577E+00   0.303603E-03   0.197317E-03   0.168207E-03   0.668954E-03   0.216524E+03
   0.100189E+03  -0.629577E+00   0.303603E-03   0.197317E-03   0.578479E-04   0.668954E-03   0.216907E+03
   0.100189E+03   0.634707E+00   0.303603E-03   0.197317E-03   0.578479E-04   0.668954E-03   0.217414E+03
   0.100189E+03   0.634707E+00   0.303603E-03   0.197317E-03   0.578479E-04   0.668954E-03   0.217414E+03
   0.100189E+03   0.634707E+00   0.144661E-03   0.197317E-03   0.578479E-04   0.668954E-03   0.217685E+03
   0.100189E+03   0.634707E+00   0.492130E-03   0.197317E-03   0.578479E-04   0.668954E-03   0.216888E+03
   0.100189E+03   0.634707E+00   0.492130E-03   0.197317E-03   0.578479E-04   0.668954E-03   0.216888E+03
   0.100189E+03   0.678541E+01   0.492130E-03   0.197317E-03   0.578479E-04   0.122027E-02   0.211865E+03
   0.100189E+03   0.678541E+01   0.492130E-03   0.197317E-03   0.578479E-04   0.122027E-02   0.211865E+03
   0.100189E+03   0.678541E+01   0.492130E-03   0.197317E-03   0.578479E-04   0.276805E-02   0.207068E+03
   0.100189E+03   0.567885E+01   0.492130E-03   0.197317E-03   0.578479E-04   0.276805E-02   0.208803E+03
   0.100189E+03   0.567885E+01   0.492130E-03   0.197317E-03   0.578479E-04   0.276805E-02   0.208803E+03
   0.100189E+03  -0.416769E+00   0.492130E-03   0.197317E-03   0.578479E-04   0.276805E-02   0.211545E+03
   0.100189E+03  -0.416769E+00   0.492130E-03   0.197317E-03   0.578479E-04   0.276805E-02   0.211545E+03
   0.100189E+03  -0.101659E+01   0.492130E-03   0.197317E-03   0.578479E-04   0.276805E-02   0.211196E+03
   0.100189E+03  -0.101659E+01   0.492130E-03   0.374561E-03   0.578479E-04   0.276805E-02   0.210876E+03
