Km_SU1_Rh_a0   Km_SU1_Rh_a1   Km_SU1_Rh_a2   Km_SU1_Rh_a3   Km_SU1_Rh_a4   Km_SU2_Rh_a0   Km_SU2_Rh_a1   Km_SU1_Ai_a0   Km_SU1_Ai_a1   Km_SU1_Ai_a2   Km_SU1_Ai_a3   Km_SU1_Ai_a4   Km_SU2_Ai_a0   Km_SU2_Ai_a1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.404531E+02  -0.219414E+01   0.436552E+01   0.478122E+01   0.874898E+01   0.335767E+02  -0.222037E+01   0.204148E+02  -0.448767E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.558577E+01   0.106110E+00   0.369342E-02   0.112948E-01   0.173088E-01   0.137168E-01  -0.114060E+04   0.138193E+02   0.000000E+00  -0.115442E+04   0.230884E+04
   0.404531E+02  -0.219414E+01   0.647924E+01   0.478122E+01   0.874898E+01   0.335767E+02  -0.222037E+01   0.204148E+02  -0.448767E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.558577E+01   0.106110E+00   0.463641E-02   0.127075E-01   0.170685E-01   0.139804E-01  -0.114433E+04   0.135814E+02   0.000000E+00  -0.115791E+04   0.231582E+04
   0.404531E+02  -0.219414E+01   0.439027E+01   0.478122E+01   0.874898E+01   0.335767E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.558577E+01   0.106522E+00   0.598150E-02   0.131775E-01   0.156765E-01   0.144883E-01  -0.111933E+04   0.134883E+02   0.000000E+00  -0.113282E+04   0.226564E+04
   0.404531E+02  -0.219414E+01   0.439027E+01   0.510320E+01   0.874898E+01   0.335767E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.558577E+01   0.106522E+00   0.448591E-02   0.117136E-01   0.143650E-01   0.144407E-01  -0.111945E+04   0.139202E+02   0.000000E+00  -0.113337E+04   0.226674E+04
   0.404531E+02  -0.219414E+01   0.439027E+01   0.510320E+01   0.874898E+01   0.335767E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.558577E+01   0.107194E+00   0.601735E-02   0.117563E-01   0.146419E-01   0.142878E-01  -0.110163E+04   0.137503E+02   0.000000E+00  -0.111538E+04   0.223076E+04
   0.404531E+02  -0.219414E+01   0.439027E+01   0.510320E+01   0.874898E+01   0.335767E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.558577E+01   0.107194E+00   0.438085E-02   0.116579E-01   0.158754E-01   0.160598E-01  -0.110176E+04   0.136233E+02   0.000000E+00  -0.111538E+04   0.223077E+04
   0.404531E+02  -0.219414E+01   0.439027E+01   0.510320E+01   0.874898E+01   0.335767E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.558577E+01   0.107194E+00   0.387705E-02   0.105768E-01   0.144330E-01   0.168534E-01  -0.110153E+04   0.138467E+02   0.000000E+00  -0.111538E+04   0.223075E+04
   0.404531E+02  -0.219414E+01   0.439027E+01   0.510320E+01   0.874898E+01   0.335767E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.107194E+00   0.541792E-02   0.967616E-02   0.160437E-01   0.171637E-01  -0.108800E+04   0.135905E+02   0.000000E+00  -0.110159E+04   0.220318E+04
   0.404531E+02  -0.219414E+01   0.439027E+01   0.298069E+01   0.874898E+01   0.335767E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.107194E+00   0.551249E-02   0.733246E-02   0.155620E-01   0.193431E-01  -0.108757E+04   0.136457E+02   0.000000E+00  -0.110122E+04   0.220243E+04
   0.404531E+02  -0.219414E+01   0.504372E+01   0.298069E+01   0.109917E+02   0.335767E+02  -0.222037E+01   0.204148E+02  -0.452888E+01  -0.116236E+02  -0.890590E+01   0.132669E+02   0.100873E+02  -0.608145E+01   0.107194E+00   0.563768E-02   0.767399E-02   0.161383E-01   0.185921E-01  -0.108801E+04   0.136165E+02   0.000000E+00  -0.110163E+04   0.220325E+04
