a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.996175E+02   0.383940E+01   0.179039E-03   0.686850E-03   0.251471E-03   0.446597E-03   0.876704E-03   0.765863E-03   0.946973E-03   0.368473E-03   0.185950E+03   0.000000E+00   0.000000E+00   0.185950E+03  -0.371900E+03
   0.100845E+03   0.383940E+01   0.179039E-03   0.686850E-03   0.251471E-03   0.446597E-03   0.876704E-03   0.765863E-03   0.946973E-03   0.509643E-03   0.185581E+03   0.000000E+00   0.000000E+00   0.185581E+03  -0.371162E+03
   0.100845E+03   0.383940E+01   0.179039E-03   0.686850E-03   0.251471E-03   0.520704E-03   0.876704E-03   0.765863E-03   0.946973E-03   0.509643E-03   0.185690E+03   0.000000E+00   0.000000E+00   0.185690E+03  -0.371380E+03
   0.100845E+03   0.383940E+01   0.179039E-03   0.686850E-03   0.251471E-03   0.520704E-03   0.876704E-03   0.765863E-03   0.103173E-02   0.509643E-03   0.185513E+03   0.000000E+00   0.000000E+00   0.185513E+03  -0.371026E+03
   0.100482E+03   0.530508E+01   0.179039E-03   0.152944E-02   0.251471E-03   0.520704E-03   0.876704E-03   0.152545E-02   0.103173E-02   0.509643E-03   0.182832E+03   0.000000E+00   0.000000E+00   0.182832E+03  -0.365664E+03
   0.100482E+03   0.530508E+01   0.179039E-03   0.152944E-02   0.251471E-03   0.520704E-03   0.876704E-03   0.152545E-02   0.103173E-02   0.165478E-03   0.182460E+03   0.000000E+00   0.000000E+00   0.182460E+03  -0.364920E+03
   0.991318E+02   0.530508E+01   0.179039E-03   0.152944E-02   0.479540E-03   0.520704E-03   0.142249E-02   0.152545E-02   0.103173E-02   0.165478E-03   0.180221E+03   0.000000E+00   0.000000E+00   0.180221E+03  -0.360442E+03
   0.991318E+02   0.530508E+01   0.179039E-03   0.317397E-03   0.479540E-03   0.520704E-03   0.142249E-02   0.152545E-02   0.103173E-02   0.165478E-03   0.181671E+03   0.000000E+00   0.000000E+00   0.181671E+03  -0.363342E+03
   0.991318E+02   0.373768E+01   0.179039E-03   0.317397E-03   0.479540E-03   0.520704E-03   0.142249E-02   0.582610E-03   0.103173E-02   0.165478E-03   0.184194E+03   0.000000E+00   0.000000E+00   0.184194E+03  -0.368388E+03
   0.991318E+02   0.373768E+01   0.179039E-03   0.317397E-03   0.479540E-03   0.520704E-03   0.142249E-02   0.582610E-03   0.103173E-02   0.165478E-03   0.184194E+03   0.000000E+00   0.000000E+00   0.184194E+03  -0.368388E+03
   0.993562E+02   0.373768E+01   0.179039E-03   0.317397E-03   0.479540E-03   0.520704E-03   0.142249E-02   0.582610E-03   0.103173E-02   0.165478E-03   0.184711E+03   0.000000E+00   0.000000E+00   0.184711E+03  -0.369422E+03
   0.993562E+02  -0.206683E+01   0.462346E-03   0.317397E-03   0.479540E-03   0.520704E-03   0.954690E-03   0.582610E-03   0.103173E-02   0.165478E-03   0.184784E+03   0.000000E+00   0.000000E+00   0.184784E+03  -0.369568E+03
   0.993562E+02  -0.206683E+01   0.462346E-03   0.739751E-03   0.479540E-03   0.123491E-02   0.954690E-03   0.582610E-03   0.103173E-02   0.165478E-03   0.183964E+03   0.000000E+00   0.000000E+00   0.183964E+03  -0.367928E+03
   0.993562E+02   0.429384E+01   0.462346E-03   0.739751E-03   0.479540E-03   0.123491E-02   0.954690E-03   0.582610E-03   0.103173E-02   0.165478E-03   0.184589E+03   0.000000E+00   0.000000E+00   0.184589E+03  -0.369178E+03
   0.995569E+02   0.429384E+01   0.132448E-03   0.424701E-03   0.479540E-03   0.123491E-02   0.121890E-02   0.582610E-03   0.103173E-02   0.165478E-03   0.184314E+03   0.000000E+00   0.000000E+00   0.184314E+03  -0.368628E+03
