Km_a0         Km_a1         Km_a2         Km_a3         Km_a4         Km_a5         Km_a6         Km_a7         Km_a8         Km_a9         Km_a10        Km_a11        Km_a12        Km_a13        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.286349E+02  0.228431E+01 -0.785888E+01  0.274494E+01  0.481111E+01  0.400676E+01  0.458687E+00  0.493175E+01 -0.236364E+01 -0.218533E+02  0.304728E+01  0.984297E+01  0.938891E+01  0.116736E+02  0.352677E-02  0.176839E-02  0.140910E-01  0.139794E-01  0.983169E-02  0.263366E+03
  0.286349E+02  0.228431E+01 -0.785888E+01  0.274494E+01  0.481111E+01  0.400676E+01  0.458687E+00  0.493175E+01 -0.236364E+01 -0.177250E+02  0.304728E+01  0.105416E+02  0.938891E+01  0.116736E+02  0.218709E-02  0.202492E-02  0.156956E-01  0.157038E-01  0.105401E-01  0.260099E+03
  0.286349E+02  0.228431E+01 -0.578354E+01  0.361330E+01  0.481111E+01  0.400676E+01 -0.470720E+01  0.493175E+01 -0.401124E+01 -0.177250E+02  0.304728E+01  0.105416E+02  0.843107E+01  0.116736E+02  0.262672E-02  0.132664E-02  0.155284E-01  0.160454E-01  0.992727E-02  0.257840E+03
  0.286349E+02  0.228431E+01 -0.578354E+01  0.361330E+01  0.481111E+01  0.400676E+01 -0.376480E+01  0.493175E+01 -0.401124E+01 -0.177250E+02  0.372995E+01  0.891403E+01  0.843107E+01  0.139105E+02  0.286632E-02  0.149309E-02  0.147113E-01  0.159158E-01  0.107452E-01  0.260231E+03
  0.286349E+02  0.228431E+01 -0.706122E+01  0.361330E+01  0.481111E+01  0.400676E+01 -0.376480E+01  0.493175E+01 -0.401124E+01 -0.177250E+02  0.372995E+01  0.891403E+01  0.843107E+01  0.139105E+02  0.206806E-02  0.980283E-03  0.144949E-01  0.146050E-01  0.115562E-01  0.261168E+03
  0.286349E+02  0.228431E+01 -0.706122E+01  0.361330E+01  0.502926E+01  0.400676E+01 -0.327744E+00  0.417223E+01 -0.575014E+01 -0.177250E+02  0.743849E+01  0.891403E+01  0.843107E+01  0.139105E+02  0.408532E-02  0.101619E-02  0.128710E-01  0.147164E-01  0.121103E-01  0.262875E+03
  0.286349E+02  0.228431E+01 -0.706122E+01  0.361330E+01  0.368299E+01  0.400676E+01 -0.327744E+00  0.417223E+01 -0.575014E+01 -0.177250E+02  0.776992E+01  0.891403E+01  0.843107E+01  0.145066E+02  0.302584E-02  0.122361E-02  0.129279E-01  0.134144E-01  0.111627E-01  0.262240E+03
  0.286349E+02  0.228431E+01 -0.706122E+01  0.361330E+01  0.368299E+01  0.261311E+01 -0.560010E-01  0.417223E+01 -0.575014E+01 -0.193640E+02  0.776992E+01  0.100566E+02  0.843107E+01  0.157580E+02  0.337327E-02  0.122361E-02  0.140707E-01  0.141101E-01  0.105337E-01  0.263136E+03
  0.287141E+02  0.228431E+01 -0.611386E+01  0.361330E+01  0.368299E+01  0.247343E+01 -0.560010E-01  0.417223E+01 -0.575014E+01 -0.196693E+02  0.776992E+01  0.489846E+01  0.843107E+01  0.149644E+02  0.285248E-02  0.122361E-02  0.142101E-01  0.143688E-01  0.105359E-01  0.260825E+03
  0.287141E+02  0.228431E+01 -0.611386E+01  0.361330E+01  0.368299E+01  0.247343E+01 -0.141870E+01  0.417223E+01 -0.575014E+01 -0.196693E+02  0.349542E-01  0.643074E+01  0.843107E+01  0.153417E+02  0.286995E-02  0.122361E-02  0.149417E-01  0.136341E-01  0.108382E-01  0.260477E+03
