a0_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.101821E+03   0.263056E-03   0.135502E+02   0.953246E+01   0.186744E+02   0.168929E+02   0.357319E+02
   0.100541E+03   0.101270E-04   0.107545E+02   0.101174E+02   0.175903E+02   0.150528E+02   0.395255E+02
   0.998376E+02   0.430244E-03   0.954635E+01   0.136710E+02   0.109962E+02   0.128991E+02   0.374155E+02
   0.987025E+02   0.652221E-03   0.922463E+01   0.113327E+02   0.214856E+02   0.131332E+02   0.368176E+02
   0.101243E+03   0.171048E-03   0.160901E+02   0.141808E+02   0.209044E+02   0.172306E+02   0.319941E+02
   0.975996E+02   0.852038E-04   0.145557E+02   0.134072E+02   0.127648E+02   0.162388E+02   0.357054E+02
   0.994922E+02   0.158603E-03   0.111183E+02   0.963612E+01   0.137214E+02   0.169148E+02   0.400830E+02
   0.994922E+02   0.216134E-03   0.129834E+02   0.117265E+02   0.189047E+02   0.170259E+02   0.377193E+02
   0.985579E+02   0.294782E-03   0.808694E+01   0.863081E+01   0.143602E+02   0.193929E+02   0.386543E+02
   0.985579E+02   0.302631E-03   0.114529E+02   0.799984E+01   0.187210E+02   0.173978E+02   0.381510E+02
   0.990642E+02   0.663499E-03   0.108471E+02   0.117359E+02   0.152568E+02   0.183200E+02   0.378764E+02
   0.101438E+03   0.963085E-03   0.119345E+02   0.124463E+02   0.170902E+02   0.985124E+01   0.337498E+02
   0.989656E+02   0.340999E-03   0.121340E+02   0.119297E+02   0.178532E+02   0.147749E+02   0.384791E+02
   0.989656E+02   0.193352E-04   0.119412E+02   0.987990E+01   0.144987E+02   0.178995E+02   0.395752E+02
   0.101351E+03   0.125713E-03   0.904159E+01   0.981088E+01   0.156508E+02   0.110623E+02   0.382010E+02
   0.101234E+03   0.524266E-04   0.111983E+02   0.994987E+01   0.118778E+02   0.128806E+02   0.384830E+02
   0.100864E+03   0.297917E-03   0.110907E+02   0.810487E+01   0.174331E+02   0.190150E+02   0.376145E+02
   0.960476E+02   0.411839E-03   0.718283E+01   0.825902E+01   0.146296E+02   0.168594E+02   0.348780E+02
   0.976385E+02   0.255392E-04   0.866277E+01   0.126755E+02   0.134685E+02   0.134094E+02   0.384687E+02
   0.997360E+02   0.471715E-04   0.732620E+01   0.883068E+01   0.144066E+02   0.134047E+02   0.396600E+02
   0.997360E+02   0.471715E-04   0.826770E+01   0.824738E+01   0.121470E+02   0.116377E+02   0.392232E+02
   0.982506E+02   0.579002E-03   0.976350E+01   0.122630E+02   0.237395E+02   0.108147E+02   0.344296E+02
   0.100416E+03   0.927854E-03   0.108266E+02   0.102148E+02   0.123335E+02   0.177318E+02   0.370046E+02
   0.100416E+03   0.432070E-03   0.120813E+02   0.114792E+02   0.164585E+02   0.180680E+02   0.378270E+02
   0.984067E+02   0.377038E-03   0.112312E+02   0.867239E+01   0.135206E+02   0.171269E+02   0.391382E+02
   0.970651E+02   0.515317E-03   0.842583E+01   0.949135E+01   0.104895E+02   0.117894E+02   0.363272E+02
   0.100419E+03   0.180924E-03   0.108233E+02   0.122445E+02   0.125189E+02   0.935677E+01   0.367395E+02
   0.991465E+02   0.495348E-03   0.125299E+02   0.110013E+02   0.115889E+02   0.173718E+02   0.377766E+02
   0.985386E+02   0.128840E-03   0.780418E+01   0.888788E+01   0.104695E+02   0.177842E+02   0.380665E+02
   0.996819E+02   0.128840E-03   0.905129E+01   0.111519E+02   0.209609E+02   0.120423E+02   0.382156E+02
   0.996819E+02   0.128840E-03   0.110484E+02   0.868097E+01   0.126460E+02   0.133285E+02   0.400326E+02
   0.991070E+02   0.137777E-03   0.864371E+01   0.125048E+02   0.163239E+02   0.158810E+02   0.394001E+02
   0.100027E+03   0.688031E-03   0.105573E+02   0.958753E+01   0.149242E+02   0.123813E+02   0.387053E+02
   0.997651E+02   0.794120E-03   0.891969E+01   0.844173E+01   0.157382E+02   0.207179E+02   0.367681E+02
   0.993327E+02   0.140529E-03   0.104619E+02   0.918251E+01   0.894113E+01   0.132004E+02   0.376716E+02
   0.983944E+02   0.138341E-03   0.483622E+01   0.115089E+02   0.182232E+02   0.952787E+01   0.312768E+02
   0.995426E+02   0.306681E-03   0.141858E+02   0.168051E+02   0.147847E+02   0.179423E+02   0.340181E+02
   0.100351E+03   0.650172E-03   0.682881E+01   0.113636E+02   0.166099E+02   0.165124E+02   0.368214E+02
   0.986553E+02   0.992791E-03   0.126531E+02   0.125415E+02   0.152482E+02   0.132460E+02   0.359972E+02
   0.998672E+02   0.498265E-04   0.708616E+01   0.793589E+01   0.146911E+02   0.142222E+02   0.390613E+02
   0.984254E+02   0.376519E-03   0.137896E+02   0.951773E+01   0.183083E+02   0.233657E+02   0.347431E+02
   0.988370E+02   0.424946E-03   0.849351E+01   0.761648E+01   0.133136E+02   0.116110E+02   0.385417E+02
   0.980175E+02   0.887323E-03   0.996831E+01   0.121386E+02   0.111308E+02   0.203126E+02   0.351119E+02
   0.100767E+03   0.291799E-03   0.789009E+01   0.102910E+02   0.169246E+02   0.121846E+02   0.385304E+02
   0.969282E+02   0.180871E-03   0.693147E+01   0.527239E+01   0.134931E+02   0.130668E+02   0.324537E+02
   0.100285E+03   0.798909E-04   0.905853E+01   0.968567E+01   0.160115E+02   0.196182E+02   0.390602E+02
   0.100905E+03   0.226191E-03   0.152977E+02   0.921102E+01   0.128196E+02   0.195651E+02   0.356325E+02
   0.100496E+03   0.446729E-03   0.876172E+01   0.848889E+01   0.131434E+02   0.213371E+02   0.373143E+02
   0.972890E+02   0.474965E-03   0.939699E+01   0.968672E+01   0.118445E+02   0.148270E+02   0.381880E+02
   0.989961E+02   0.310737E-03   0.121244E+02   0.124491E+02   0.253966E+02   0.156019E+02   0.347982E+02
   0.982323E+02   0.302504E-03   0.923290E+01   0.878695E+01   0.165546E+02   0.103146E+02   0.382780E+02
   0.991392E+02   0.173426E-03   0.721288E+01   0.110958E+02   0.128820E+02   0.173600E+02   0.388035E+02
   0.997350E+02   0.486788E-03   0.102324E+02   0.906189E+01   0.127133E+02   0.900671E+01   0.368477E+02
   0.100378E+03   0.829330E-03   0.109934E+02   0.964301E+01   0.114622E+02   0.136776E+02   0.375404E+02
   0.100378E+03   0.752563E-03   0.106620E+02   0.138632E+02   0.184850E+02   0.137126E+02   0.361172E+02
   0.987191E+02   0.472125E-04   0.133876E+02   0.805262E+01   0.179991E+02   0.183376E+02   0.375547E+02
   0.975595E+02   0.562370E-03   0.806057E+01   0.140747E+02   0.143290E+02   0.143861E+02   0.365945E+02
   0.993159E+02   0.216377E-05   0.131770E+02   0.853948E+01   0.157138E+02   0.199141E+02   0.379901E+02
   0.100249E+03   0.645629E-03   0.889490E+01   0.958457E+01   0.255667E+02   0.880974E+01   0.319696E+02
   0.100543E+03   0.413286E-03   0.816542E+01   0.993724E+01   0.189836E+02   0.176593E+02   0.378883E+02
   0.972796E+02   0.668218E-04   0.751916E+01   0.101178E+02   0.152345E+02   0.172830E+02   0.378970E+02
   0.973400E+02   0.172067E-03   0.106186E+02   0.130494E+02   0.147219E+02   0.152240E+02   0.378360E+02
   0.982488E+02   0.342801E-03   0.977797E+01   0.867884E+01   0.154320E+02   0.210594E+02   0.379778E+02
   0.982761E+02   0.838656E-04   0.107246E+02   0.918857E+01   0.153607E+02   0.142500E+02   0.401328E+02
   0.973237E+02   0.768339E-03   0.942056E+01   0.969408E+01   0.133561E+02   0.128639E+02   0.377538E+02
   0.975379E+02   0.472275E-03   0.872892E+01   0.133162E+02   0.140691E+02   0.122528E+02   0.372148E+02
   0.100853E+03   0.472275E-03   0.129001E+02   0.115676E+02   0.145479E+02   0.131218E+02   0.376628E+02
   0.100853E+03   0.495713E-03   0.927419E+01   0.934625E+01   0.181126E+02   0.152089E+02   0.385158E+02
   0.986611E+02   0.133214E-02   0.104382E+02   0.939581E+01   0.134079E+02   0.158874E+02   0.363574E+02
   0.973283E+02   0.402057E-04   0.748043E+01   0.912650E+01   0.199405E+02   0.129865E+02   0.369510E+02
   0.100357E+03   0.629179E-04   0.100447E+02   0.106141E+02   0.161053E+02   0.216091E+02   0.380255E+02
   0.982069E+02   0.950992E-04   0.133483E+02   0.807103E+01   0.178507E+02   0.184764E+02   0.372197E+02
   0.986871E+02   0.218683E-03   0.142565E+02   0.111601E+02   0.160847E+02   0.256708E+02   0.339335E+02
   0.992716E+02   0.106086E-03   0.976190E+01   0.835869E+01   0.145186E+02   0.151669E+02   0.404870E+02
   0.992716E+02   0.500185E-03   0.112198E+02   0.109207E+02   0.134213E+02   0.149175E+02   0.393256E+02
   0.100262E+03   0.115954E-02   0.100856E+02   0.129846E+02   0.172315E+02   0.111173E+02   0.348314E+02
   0.966788E+02   0.508989E-03   0.777459E+01   0.735575E+01   0.134541E+02   0.159298E+02   0.360835E+02
   0.101752E+03   0.734556E-03   0.889341E+01   0.114444E+02   0.123963E+02   0.134533E+02   0.369094E+02
   0.100739E+03   0.503940E-03   0.771992E+01   0.108726E+02   0.148067E+02   0.109586E+02   0.375666E+02
   0.100213E+03   0.611398E-03   0.797860E+01   0.685616E+01   0.137459E+02   0.142952E+02   0.374321E+02
   0.987113E+02   0.935967E-05   0.101109E+02   0.112546E+02   0.987418E+01   0.172742E+02   0.381238E+02
   0.100091E+03   0.935967E-05   0.128434E+02   0.875867E+01   0.143393E+02   0.132316E+02   0.393290E+02
   0.985798E+02   0.935967E-05   0.832938E+01   0.114901E+02   0.115805E+02   0.145634E+02   0.393432E+02
   0.100870E+03   0.157083E-03   0.130781E+02   0.109796E+02   0.149858E+02   0.200338E+02   0.370333E+02
   0.100588E+03   0.974467E-03   0.863237E+01   0.689896E+01   0.137112E+02   0.120790E+02   0.358858E+02
   0.990795E+02   0.474588E-03   0.101601E+02   0.143414E+02   0.138690E+02   0.114051E+02   0.372270E+02
   0.100445E+03   0.390999E-03   0.102023E+02   0.109190E+02   0.232802E+02   0.154233E+02   0.366387E+02
   0.982231E+02   0.550530E-04   0.845319E+01   0.938599E+01   0.190958E+02   0.136517E+02   0.390859E+02
   0.976118E+02   0.737265E-03   0.113935E+02   0.689556E+01   0.147961E+02   0.167900E+02   0.363095E+02
   0.100574E+03   0.651471E-03   0.893967E+01   0.116235E+02   0.179556E+02   0.148448E+02   0.378488E+02
   0.100577E+03   0.761840E-03   0.756668E+01   0.126863E+02   0.135199E+02   0.119842E+02   0.364451E+02
   0.980655E+02   0.559505E-03   0.831657E+01   0.794511E+01   0.174817E+02   0.190791E+02   0.370995E+02
