a0_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.101046E+03  0.597070E-03  0.113945E+02  0.851400E+01  0.125514E+02  0.112159E+02  0.372064E+02
  0.101046E+03  0.548042E-04  0.105906E+02  0.100857E+02  0.114462E+02  0.114310E+02  0.381785E+02
  0.101046E+03  0.548042E-04  0.113081E+02  0.904570E+01  0.106079E+02  0.114310E+02  0.374388E+02
  0.101046E+03  0.548042E-04  0.101418E+02  0.904570E+01  0.106079E+02  0.112448E+02  0.376355E+02
  0.101046E+03  0.548042E-04  0.109546E+02  0.916156E+01  0.106079E+02  0.112448E+02  0.374742E+02
  0.997356E+02  0.548042E-04  0.109546E+02  0.976409E+01  0.124806E+02  0.112448E+02  0.394836E+02
  0.997356E+02  0.548042E-04  0.119589E+02  0.103423E+02  0.123987E+02  0.112448E+02  0.390110E+02
  0.997356E+02  0.548042E-04  0.100393E+02  0.101664E+02  0.114836E+02  0.112448E+02  0.392518E+02
  0.997356E+02  0.637844E-04  0.828896E+01  0.910067E+01  0.111724E+02  0.112448E+02  0.388369E+02
  0.997356E+02  0.397186E-03  0.817045E+01  0.910067E+01  0.120357E+02  0.126255E+02  0.391723E+02
  0.997356E+02  0.392949E-03  0.817045E+01  0.957989E+01  0.134635E+02  0.146036E+02  0.397850E+02
  0.997356E+02  0.392949E-03  0.920255E+01  0.879857E+01  0.147635E+02  0.132250E+02  0.399539E+02
  0.997356E+02  0.392949E-03  0.891457E+01  0.934329E+01  0.132420E+02  0.132250E+02  0.399117E+02
  0.997356E+02  0.928108E-04  0.995334E+01  0.793705E+01  0.132420E+02  0.120499E+02  0.397465E+02
  0.997356E+02  0.928108E-04  0.106495E+02  0.855926E+01  0.141229E+02  0.113219E+02  0.396760E+02
  0.997356E+02  0.922272E-04  0.109785E+02  0.855926E+01  0.133799E+02  0.108063E+02  0.392143E+02
  0.997356E+02  0.922272E-04  0.122822E+02  0.105956E+02  0.153618E+02  0.106066E+02  0.386095E+02
  0.997356E+02  0.922272E-04  0.115582E+02  0.912998E+01  0.211773E+02  0.124972E+02  0.381436E+02
  0.997356E+02  0.922272E-04  0.115582E+02  0.993437E+01  0.208869E+02  0.127246E+02  0.383529E+02
  0.997356E+02  0.922272E-04  0.115682E+02  0.993437E+01  0.204464E+02  0.123137E+02  0.384254E+02
