Km_SU1_Rh_a0   Km_SU2_Rh_a0   Km_SU1_Ai_a0   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.399688E+02   0.393195E+02   0.244751E+02   0.112554E+00   0.133691E-01   0.100313E-02   0.677196E-02   0.233382E-01  -0.321549E+03
   0.399688E+02   0.393195E+02   0.244751E+02   0.112554E+00   0.111571E-01   0.514844E-04   0.509569E-02   0.233500E-01  -0.321067E+03
   0.399688E+02   0.393195E+02   0.244751E+02   0.112554E+00   0.124284E-01   0.514844E-04   0.497751E-02   0.226540E-01  -0.321112E+03
   0.399688E+02   0.393195E+02   0.244751E+02   0.112554E+00   0.109642E-01   0.994727E-03   0.386606E-02   0.236065E-01  -0.321044E+03
   0.399688E+02   0.393195E+02   0.244751E+02   0.112554E+00   0.114248E-01   0.256755E-03   0.333221E-02   0.227836E-01  -0.320880E+03
   0.399688E+02   0.393195E+02   0.244751E+02   0.112554E+00   0.105927E-01   0.219458E-03   0.203124E-02   0.232270E-01  -0.320708E+03
   0.399688E+02   0.393195E+02   0.244751E+02   0.112545E+00   0.966787E-02   0.549876E-03   0.583550E-03   0.237697E-01  -0.320647E+03
   0.399688E+02   0.393195E+02   0.244751E+02   0.113493E+00   0.866131E-02   0.900444E-03   0.583550E-03   0.218210E-01  -0.310144E+03
   0.399688E+02   0.393195E+02   0.241643E+02   0.114617E+00   0.958153E-02   0.187742E-02   0.542323E-03   0.206419E-01  -0.299615E+03
   0.399688E+02   0.385236E+02   0.241643E+02   0.115004E+00   0.103383E-01   0.354321E-03   0.542323E-03   0.204006E-01  -0.296917E+03
   0.399688E+02   0.385236E+02   0.241643E+02   0.115439E+00   0.966173E-02   0.364746E-03   0.542323E-03   0.194685E-01  -0.292335E+03
   0.399688E+02   0.385236E+02   0.241643E+02   0.116376E+00   0.851563E-02   0.360481E-03   0.542323E-03   0.191860E-01  -0.282877E+03
   0.396218E+02   0.382340E+02   0.241643E+02   0.116267E+00   0.962233E-02   0.360481E-03   0.542323E-03   0.191860E-01  -0.285931E+03
   0.396218E+02   0.400559E+02   0.241643E+02   0.116255E+00   0.939696E-02   0.108524E-02   0.487897E-03   0.185376E-01  -0.284317E+03
   0.396218E+02   0.400559E+02   0.241643E+02   0.116461E+00   0.939696E-02   0.510035E-03   0.487897E-03   0.193816E-01  -0.282325E+03
   0.396218E+02   0.400559E+02   0.241643E+02   0.116461E+00   0.100193E-01   0.510035E-03   0.150616E-02   0.191621E-01  -0.282468E+03
   0.396218E+02   0.400457E+02   0.249535E+02   0.116461E+00   0.806496E-02   0.510035E-03   0.119450E-02   0.203147E-01  -0.282151E+03
   0.396218E+02   0.400457E+02   0.242684E+02   0.116461E+00   0.913457E-02   0.234415E-02   0.119450E-02   0.202901E-01  -0.281943E+03
   0.396218E+02   0.400457E+02   0.242684E+02   0.117033E+00   0.873833E-02   0.118239E-02   0.103039E-02   0.185045E-01  -0.276042E+03
   0.396218E+02   0.400457E+02   0.242684E+02   0.117766E+00   0.873833E-02   0.118239E-02   0.178675E-02   0.167641E-01  -0.268983E+03
   0.396218E+02   0.400457E+02   0.242684E+02   0.119050E+00   0.849806E-02   0.144601E-02   0.159265E-02   0.141889E-01  -0.256865E+03
   0.396218E+02   0.400457E+02   0.242684E+02   0.120686E+00   0.966322E-02   0.640385E-03   0.159265E-02   0.142206E-01  -0.242459E+03
   0.396218E+02   0.400457E+02   0.242684E+02   0.120686E+00   0.999478E-02   0.842530E-03   0.295425E-02   0.157275E-01  -0.242799E+03
   0.396218E+02   0.400457E+02   0.242684E+02   0.120686E+00   0.895495E-02   0.140162E-02   0.304524E-02   0.155833E-01  -0.242746E+03
   0.396218E+02   0.400457E+02   0.242684E+02   0.120686E+00   0.764339E-02   0.135399E-02   0.101911E-02   0.144899E-01  -0.242298E+03
   0.396218E+02   0.400457E+02   0.242684E+02   0.121457E+00   0.731723E-02   0.132736E-02   0.424019E-03   0.128919E-01  -0.235477E+03
   0.396218E+02   0.400457E+02   0.242684E+02   0.121496E+00   0.759418E-02   0.117454E-02   0.424019E-03   0.113437E-01  -0.235008E+03
   0.396218E+02   0.400457E+02   0.242684E+02   0.123111E+00   0.889767E-02   0.117454E-02   0.776888E-03   0.126320E-01  -0.222030E+03
   0.396218E+02   0.397973E+02   0.247897E+02   0.124800E+00   0.727610E-02   0.103171E-02   0.776888E-03   0.139167E-01  -0.208017E+03
   0.396218E+02   0.399053E+02   0.247897E+02   0.126483E+00   0.507472E-02   0.103171E-02   0.166317E-02   0.151934E-01  -0.195646E+03
   0.396644E+02   0.389649E+02   0.247897E+02   0.126835E+00   0.478855E-02   0.591657E-03   0.260372E-03   0.169762E-01  -0.192902E+03
   0.396644E+02   0.389649E+02   0.246048E+02   0.127323E+00   0.447115E-02   0.591657E-03   0.260372E-03   0.163007E-01  -0.189113E+03
   0.400770E+02   0.389649E+02   0.246048E+02   0.127323E+00   0.397360E-02   0.591657E-03   0.260372E-03   0.157300E-01  -0.188909E+03
   0.400770E+02   0.389649E+02   0.246048E+02   0.129302E+00   0.485594E-02   0.591657E-03   0.260372E-03   0.163475E-01  -0.175456E+03
   0.400770E+02   0.392072E+02   0.246048E+02   0.129302E+00   0.485594E-02   0.591657E-03   0.260372E-03   0.165214E-01  -0.175243E+03
   0.400770E+02   0.405976E+02   0.246048E+02   0.131057E+00   0.536452E-02   0.591657E-03   0.260372E-03   0.159009E-01  -0.165744E+03
   0.397367E+02   0.409183E+02   0.251411E+02   0.131634E+00   0.453841E-02   0.671782E-04   0.260372E-03   0.138848E-01  -0.164110E+03
   0.397367E+02   0.413281E+02   0.251411E+02   0.133834E+00   0.642455E-02   0.185850E-03   0.795932E-03   0.146922E-01  -0.152731E+03
   0.397367E+02   0.393359E+02   0.251411E+02   0.133855E+00   0.620109E-02   0.185850E-03   0.106712E-02   0.132030E-01  -0.147871E+03
   0.397367E+02   0.393359E+02   0.251411E+02   0.133855E+00   0.649435E-02   0.185850E-03   0.106712E-02   0.118620E-01  -0.147766E+03
   0.397367E+02   0.393359E+02   0.251411E+02   0.134158E+00   0.555380E-02   0.185850E-03   0.151515E-02   0.100211E-01  -0.145765E+03
   0.397367E+02   0.393359E+02   0.249182E+02   0.134481E+00   0.666674E-02   0.185850E-03   0.246088E-02   0.739927E-02  -0.143223E+03
   0.397367E+02   0.393359E+02   0.251918E+02   0.135069E+00   0.822420E-02   0.269920E-04   0.246088E-02   0.866578E-02  -0.140953E+03
   0.397367E+02   0.400768E+02   0.251918E+02   0.135069E+00   0.108077E-01   0.475279E-03   0.607650E-03   0.603550E-02  -0.141358E+03
   0.397367E+02   0.400768E+02   0.251918E+02   0.135069E+00   0.981218E-02   0.475279E-03   0.607650E-03   0.777261E-02  -0.141432E+03
   0.397367E+02   0.400768E+02   0.252627E+02   0.135358E+00   0.105273E-01   0.545229E-03   0.607650E-03   0.895991E-02  -0.140302E+03
   0.397367E+02   0.400768E+02   0.252627E+02   0.137428E+00   0.912957E-02   0.279457E-02   0.789377E-03   0.852667E-02  -0.129046E+03
   0.397367E+02   0.400768E+02   0.252627E+02   0.137629E+00   0.804201E-02   0.262201E-02   0.187810E-02   0.896047E-02  -0.128007E+03
   0.397367E+02   0.392846E+02   0.252627E+02   0.137629E+00   0.948934E-02   0.476791E-02   0.280617E-02   0.809391E-02  -0.127865E+03
   0.397367E+02   0.390388E+02   0.252627E+02   0.138993E+00   0.893431E-02   0.709978E-02   0.324398E-02   0.724952E-02  -0.121120E+03
   0.397367E+02   0.390388E+02   0.240736E+02   0.138993E+00   0.690707E-02   0.711038E-02   0.370168E-02   0.724952E-02  -0.120365E+03
   0.397367E+02   0.390388E+02   0.240736E+02   0.140516E+00   0.841129E-02   0.608337E-02   0.314229E-02   0.709997E-02  -0.112805E+03
   0.397367E+02   0.387376E+02   0.249778E+02   0.142655E+00   0.925781E-02   0.498574E-02   0.401653E-02   0.686718E-02  -0.102850E+03
   0.397367E+02   0.387376E+02   0.249778E+02   0.144298E+00   0.849347E-02   0.211882E-02   0.342447E-02   0.933240E-02  -0.953635E+02
   0.397367E+02   0.387376E+02   0.249778E+02   0.146086E+00   0.515552E-02   0.211639E-02   0.284543E-02   0.662607E-02  -0.871293E+02
   0.397367E+02   0.387376E+02   0.246394E+02   0.146623E+00   0.530629E-02   0.211639E-02   0.243734E-02   0.670564E-02  -0.840917E+02
   0.397367E+02   0.387376E+02   0.240166E+02   0.147418E+00   0.564084E-02   0.389422E-02   0.280378E-02   0.721431E-02  -0.825609E+02
   0.397367E+02   0.387376E+02   0.253385E+02   0.147418E+00   0.567948E-02   0.411011E-02   0.308119E-02   0.646143E-02  -0.831098E+02
   0.397367E+02   0.386510E+02   0.253385E+02   0.147418E+00   0.309647E-02   0.402073E-02   0.400875E-02   0.495103E-02  -0.829366E+02
   0.397367E+02   0.386510E+02   0.243490E+02   0.147418E+00   0.317043E-02   0.562131E-02   0.371879E-02   0.685894E-02  -0.815218E+02
   0.397367E+02   0.386510E+02   0.243490E+02   0.147544E+00   0.458504E-02   0.625914E-02   0.395904E-02   0.652786E-02  -0.812179E+02
   0.400745E+02   0.386510E+02   0.243490E+02   0.147877E+00   0.312795E-02   0.575334E-02   0.503010E-02   0.545213E-02  -0.798002E+02
   0.400745E+02   0.386510E+02   0.243490E+02   0.147877E+00   0.312795E-02   0.478838E-02   0.557645E-02   0.651919E-02  -0.798651E+02
   0.400420E+02   0.386510E+02   0.243490E+02   0.148244E+00   0.460416E-02   0.614271E-02   0.557645E-02   0.626429E-02  -0.786211E+02
   0.400420E+02   0.397735E+02   0.243490E+02   0.150667E+00   0.466603E-02   0.678845E-02   0.382892E-02   0.632685E-02  -0.690291E+02
   0.397935E+02   0.397735E+02   0.243490E+02   0.150667E+00   0.640596E-02   0.560216E-02   0.670870E-02   0.632685E-02  -0.692589E+02
   0.397935E+02   0.397735E+02   0.243490E+02   0.150667E+00   0.560790E-02   0.382624E-02   0.556570E-02   0.621725E-02  -0.688762E+02
   0.397935E+02   0.397735E+02   0.243490E+02   0.150459E+00   0.668968E-02   0.398045E-02   0.491903E-02   0.469826E-02  -0.695325E+02
   0.394113E+02   0.397735E+02   0.243490E+02   0.151164E+00   0.611738E-02   0.309421E-02   0.576873E-02   0.546223E-02  -0.685437E+02
   0.394113E+02   0.387425E+02   0.247330E+02   0.150961E+00   0.540159E-02   0.256775E-02   0.744457E-02   0.471700E-02  -0.694784E+02
   0.394113E+02   0.398394E+02   0.247330E+02   0.150961E+00   0.724336E-02   0.318266E-02   0.628287E-02   0.367479E-02  -0.691923E+02
   0.394113E+02   0.398394E+02   0.243277E+02   0.150961E+00   0.821212E-02   0.465815E-02   0.686173E-02   0.368650E-02  -0.696837E+02
   0.394113E+02   0.398987E+02   0.243277E+02   0.151752E+00   0.706483E-02   0.488638E-02   0.612829E-02   0.419448E-02  -0.668180E+02
   0.394113E+02   0.398987E+02   0.243277E+02   0.152945E+00   0.893448E-02   0.314402E-02   0.380149E-02   0.578794E-02  -0.626367E+02
   0.394113E+02   0.398987E+02   0.243277E+02   0.152945E+00   0.676365E-02   0.318452E-02   0.259488E-02   0.572739E-02  -0.622970E+02
   0.394113E+02   0.398987E+02   0.253421E+02   0.152945E+00   0.614214E-02   0.318358E-02   0.307660E-02   0.496710E-02  -0.637041E+02
   0.394113E+02   0.389300E+02   0.253421E+02   0.152945E+00   0.501196E-02   0.217894E-02   0.370586E-02   0.500665E-02  -0.636223E+02
   0.399861E+02   0.389300E+02   0.253421E+02   0.158105E+00   0.685730E-02   0.174375E-02   0.710233E-02   0.664829E-02  -0.464413E+02
   0.399861E+02   0.383843E+02   0.253421E+02   0.158105E+00   0.599717E-02   0.174375E-02   0.710233E-02   0.621828E-02  -0.471626E+02
   0.399861E+02   0.380255E+02   0.253421E+02   0.158849E+00   0.493485E-02   0.164839E-02   0.857835E-02   0.586453E-02  -0.458902E+02
   0.399861E+02   0.380255E+02   0.253421E+02   0.158371E+00   0.566105E-02   0.407529E-02   0.102925E-01   0.718922E-02  -0.478942E+02
   0.399861E+02   0.380255E+02   0.253421E+02   0.158197E+00   0.583530E-02   0.289140E-02   0.894067E-02   0.718922E-02  -0.481689E+02
   0.399861E+02   0.380255E+02   0.253421E+02   0.158473E+00   0.299910E-02   0.662310E-02   0.775525E-02   0.700762E-02  -0.473147E+02
   0.395491E+02   0.380255E+02   0.253421E+02   0.158473E+00   0.496973E-02   0.854990E-02   0.719451E-02   0.697918E-02  -0.483195E+02
   0.395491E+02   0.384052E+02   0.253421E+02   0.159752E+00   0.534474E-02   0.850326E-02   0.818895E-02   0.686902E-02  -0.438279E+02
   0.395491E+02   0.406310E+02   0.253421E+02   0.161237E+00   0.584471E-02   0.950847E-02   0.103605E-01   0.101717E-01  -0.407315E+02
   0.395491E+02   0.406310E+02   0.253421E+02   0.162103E+00   0.537003E-02   0.621389E-02   0.781152E-02   0.120297E-01  -0.379918E+02
   0.395491E+02   0.406310E+02   0.253421E+02   0.161947E+00   0.559844E-02   0.603686E-02   0.592051E-02   0.109830E-01  -0.381134E+02
   0.395491E+02   0.406310E+02   0.253421E+02   0.161947E+00   0.742683E-02   0.763606E-02   0.580245E-02   0.137121E-01  -0.387173E+02
   0.395491E+02   0.402265E+02   0.253421E+02   0.161947E+00   0.631504E-02   0.104879E-01   0.657182E-02   0.152418E-01  -0.384161E+02
   0.395491E+02   0.402265E+02   0.253421E+02   0.162614E+00   0.602287E-02   0.100234E-01   0.537107E-02   0.165500E-01  -0.366203E+02
   0.400644E+02   0.393961E+02   0.254571E+02   0.162074E+00   0.520610E-02   0.843351E-02   0.570678E-02   0.170356E-01  -0.372817E+02
   0.401977E+02   0.393961E+02   0.240824E+02   0.163565E+00   0.643892E-02   0.563346E-02   0.486168E-02   0.213196E-01  -0.329905E+02
   0.401977E+02   0.393961E+02   0.240824E+02   0.163565E+00   0.109580E-01   0.622008E-02   0.624835E-02   0.209725E-01  -0.336051E+02
   0.401977E+02   0.390476E+02   0.240824E+02   0.163373E+00   0.109580E-01   0.588539E-02   0.543788E-02   0.209725E-01  -0.340651E+02
   0.401977E+02   0.411311E+02   0.240824E+02   0.166179E+00   0.773832E-02   0.401580E-02   0.811780E-02   0.201557E-01  -0.295303E+02
   0.401977E+02   0.385311E+02   0.240824E+02   0.166306E+00   0.704104E-02   0.368769E-02   0.709893E-02   0.200135E-01  -0.270664E+02
   0.401977E+02   0.385311E+02   0.250506E+02   0.167563E+00   0.628615E-02   0.503198E-02   0.505809E-02   0.202398E-01  -0.240621E+02
   0.401977E+02   0.385311E+02   0.250506E+02   0.168008E+00   0.731857E-02   0.244315E-02   0.720116E-02   0.199146E-01  -0.231142E+02
   0.401977E+02   0.385311E+02   0.250506E+02   0.168008E+00   0.115646E-01   0.563511E-03   0.830672E-02   0.239177E-01  -0.238617E+02
   0.401977E+02   0.396930E+02   0.250209E+02   0.168008E+00   0.115646E-01   0.563511E-03   0.643961E-02   0.254970E-01  -0.231664E+02
   0.401977E+02   0.396930E+02   0.250209E+02   0.168999E+00   0.105808E-01   0.243806E-03   0.480197E-02   0.241895E-01  -0.206247E+02
   0.401977E+02   0.392090E+02   0.250209E+02   0.168983E+00   0.105808E-01   0.243806E-03   0.250444E-02   0.215731E-01  -0.201293E+02
   0.401977E+02   0.392090E+02   0.250209E+02   0.168983E+00   0.108419E-01   0.548966E-03   0.237779E-02   0.222490E-01  -0.202408E+02
   0.401977E+02   0.392090E+02   0.257042E+02   0.168983E+00   0.759552E-02   0.548966E-03   0.366033E-02   0.222490E-01  -0.222859E+02
   0.399389E+02   0.392090E+02   0.249438E+02   0.171588E+00   0.964897E-02   0.182901E-02   0.419715E-02   0.221629E-01  -0.144774E+02
   0.399389E+02   0.399968E+02   0.249438E+02   0.170177E+00   0.116555E-01   0.318574E-02   0.802842E-02   0.213730E-01  -0.181626E+02
   0.393416E+02   0.399968E+02   0.249438E+02   0.169602E+00   0.151409E-01   0.351151E-02   0.625421E-02   0.213730E-01  -0.212243E+02
   0.393416E+02   0.399968E+02   0.249438E+02   0.169436E+00   0.151317E-01   0.526226E-02   0.389064E-02   0.213730E-01  -0.215071E+02
   0.393416E+02   0.399968E+02   0.249438E+02   0.170629E+00   0.147860E-01   0.767754E-02   0.641556E-02   0.249590E-01  -0.198783E+02
   0.393416E+02   0.399968E+02   0.249438E+02   0.170629E+00   0.152286E-01   0.101698E-01   0.646956E-02   0.255302E-01  -0.202343E+02
   0.394975E+02   0.399968E+02   0.249438E+02   0.170629E+00   0.187127E-01   0.892077E-02   0.497915E-02   0.255302E-01  -0.194475E+02
   0.394975E+02   0.399968E+02   0.249438E+02   0.170573E+00   0.181629E-01   0.797607E-02   0.876085E-02   0.253542E-01  -0.197721E+02
   0.394975E+02   0.395553E+02   0.249438E+02   0.170573E+00   0.175318E-01   0.842081E-02   0.758685E-02   0.266694E-01  -0.195074E+02
   0.394975E+02   0.395553E+02   0.241964E+02   0.170317E+00   0.129524E-01   0.107632E-01   0.729399E-02   0.271850E-01  -0.197457E+02
   0.394975E+02   0.395553E+02   0.241964E+02   0.170317E+00   0.129524E-01   0.107632E-01   0.609387E-02   0.270887E-01  -0.196161E+02
   0.394975E+02   0.395553E+02   0.241964E+02   0.175312E+00   0.105257E-01   0.748086E-02   0.412677E-02   0.269398E-01  -0.949259E+01
   0.394975E+02   0.395553E+02   0.243247E+02   0.178607E+00   0.935771E-02   0.866001E-02   0.412677E-02   0.269398E-01  -0.385744E+01
   0.394975E+02   0.395553E+02   0.243247E+02   0.178607E+00   0.120287E-01   0.656000E-02   0.249046E-02   0.241349E-01  -0.347042E+01
   0.394975E+02   0.395553E+02   0.243247E+02   0.179728E+00   0.103091E-01   0.656000E-02   0.388670E-02   0.229506E-01  -0.161405E+01
   0.394975E+02   0.395553E+02   0.243247E+02   0.180240E+00   0.934698E-02   0.576924E-02   0.142301E-02   0.242783E-01  -0.566070E+00
   0.394975E+02   0.395553E+02   0.243247E+02   0.180240E+00   0.104470E-01   0.576924E-02   0.210806E-03   0.240004E-01  -0.527061E+00
   0.394975E+02   0.395553E+02   0.243247E+02   0.180240E+00   0.831075E-02   0.747490E-02   0.348830E-02   0.247184E-01  -0.883553E+00
   0.394975E+02   0.381961E+02   0.243247E+02   0.180240E+00   0.811857E-02   0.451605E-02   0.406385E-02   0.254659E-01  -0.181740E+01
   0.394975E+02   0.381961E+02   0.243247E+02   0.180497E+00   0.794896E-02   0.304755E-02   0.368095E-02   0.269103E-01  -0.138154E+01
   0.394975E+02   0.374589E+02   0.243247E+02   0.179529E+00   0.577722E-02   0.111294E-02   0.320161E-02   0.282425E-01  -0.447255E+01
   0.402416E+02   0.402414E+02   0.250634E+02   0.179529E+00   0.120341E-01   0.121319E-02   0.705838E-03   0.283255E-01  -0.267259E+01
   0.402416E+02   0.401845E+02   0.250634E+02   0.184472E+00   0.117023E-01   0.104679E-02   0.243820E-02   0.280326E-01   0.419656E+01
   0.402416E+02   0.404206E+02   0.250634E+02   0.185146E+00   0.102382E-01   0.104679E-02   0.395865E-02   0.288275E-01   0.467018E+01
   0.402416E+02   0.400947E+02   0.250634E+02   0.186924E+00   0.897987E-02   0.104679E-02   0.383594E-02   0.295060E-01   0.728130E+01
   0.402416E+02   0.400947E+02   0.242167E+02   0.186924E+00   0.112536E-01   0.232497E-02   0.410732E-02   0.295661E-01   0.715239E+01
   0.402416E+02   0.400947E+02   0.242167E+02   0.186924E+00   0.124139E-01   0.137389E-02   0.320205E-02   0.298700E-01   0.719160E+01
   0.395208E+02   0.400947E+02   0.242167E+02   0.187770E+00   0.116491E-01   0.247326E-02   0.556044E-02   0.296866E-01   0.791851E+01
   0.395208E+02   0.400947E+02   0.242167E+02   0.187512E+00   0.102118E-01   0.247326E-02   0.915961E-02   0.290747E-01   0.746926E+01
   0.395208E+02   0.400947E+02   0.242167E+02   0.187512E+00   0.122136E-01   0.180903E-02   0.869144E-02   0.292973E-01   0.736006E+01
   0.395208E+02   0.400947E+02   0.242167E+02   0.188837E+00   0.106673E-01   0.391603E-02   0.104242E-01   0.282840E-01   0.871679E+01
   0.395208E+02   0.400947E+02   0.242167E+02   0.189135E+00   0.912742E-02   0.391603E-02   0.111176E-01   0.280390E-01   0.915034E+01
   0.404479E+02   0.400947E+02   0.242167E+02   0.191631E+00   0.633754E-02   0.297850E-02   0.132885E-01   0.271004E-01   0.110827E+02
   0.404479E+02   0.396739E+02   0.242167E+02   0.191631E+00   0.412354E-02   0.729017E-02   0.120141E-01   0.272333E-01   0.112713E+02
   0.404479E+02   0.396739E+02   0.249396E+02   0.191631E+00   0.357953E-03   0.837406E-02   0.112085E-01   0.305656E-01   0.111728E+02
   0.404479E+02   0.396739E+02   0.249396E+02   0.191631E+00   0.357953E-03   0.917763E-02   0.139342E-01   0.329455E-01   0.105819E+02
   0.404479E+02   0.396739E+02   0.249396E+02   0.193425E+00   0.357953E-03   0.628041E-02   0.102460E-01   0.324088E-01   0.130183E+02
   0.404479E+02   0.396739E+02   0.252821E+02   0.194766E+00   0.357953E-03   0.560383E-02   0.123388E-01   0.324088E-01   0.135229E+02
   0.404479E+02   0.392718E+02   0.243371E+02   0.194766E+00   0.171482E-02   0.417032E-02   0.117373E-01   0.339771E-01   0.143308E+02
   0.404479E+02   0.392718E+02   0.245573E+02   0.195574E+00   0.985311E-03   0.580796E-02   0.169231E-01   0.321768E-01   0.147300E+02
   0.404479E+02   0.392718E+02   0.245573E+02   0.193295E+00   0.985311E-03   0.440780E-02   0.149969E-01   0.307538E-01   0.131820E+02
   0.404479E+02   0.392718E+02   0.238433E+02   0.196045E+00   0.273339E-02   0.281368E-02   0.137198E-01   0.283316E-01   0.145286E+02
   0.404479E+02   0.392718E+02   0.238433E+02   0.195314E+00   0.349767E-02   0.181621E-02   0.175048E-01   0.276132E-01   0.136178E+02
   0.404479E+02   0.392718E+02   0.254383E+02   0.194904E+00   0.271231E-02   0.181621E-02   0.171394E-01   0.280883E-01   0.134135E+02
   0.404479E+02   0.392718E+02   0.240191E+02   0.196445E+00   0.388466E-02   0.438890E-02   0.164846E-01   0.254285E-01   0.153945E+02
   0.404479E+02   0.392718E+02   0.240191E+02   0.198454E+00   0.228445E-02   0.262287E-02   0.124686E-01   0.257080E-01   0.176962E+02
   0.404479E+02   0.392718E+02   0.240191E+02   0.198454E+00   0.213310E-02   0.288549E-02   0.133064E-01   0.257080E-01   0.176013E+02
   0.404479E+02   0.392718E+02   0.240191E+02   0.198650E+00   0.100279E-02   0.394806E-02   0.131321E-01   0.279509E-01   0.175492E+02
   0.404479E+02   0.392718E+02   0.243397E+02   0.198650E+00   0.100279E-02   0.699635E-02   0.120810E-01   0.254435E-01   0.180922E+02
   0.404479E+02   0.403967E+02   0.243397E+02   0.199387E+00   0.415242E-03   0.763049E-02   0.130016E-01   0.295264E-01   0.174986E+02
   0.404479E+02   0.385175E+02   0.243397E+02   0.202347E+00   0.415242E-03   0.714614E-02   0.106467E-01   0.295264E-01   0.199893E+02
   0.404479E+02   0.385175E+02   0.246815E+02   0.202019E+00   0.415242E-03   0.637612E-02   0.983077E-02   0.302818E-01   0.199581E+02
   0.404479E+02   0.385175E+02   0.246815E+02   0.202019E+00   0.269080E-02   0.946737E-02   0.925177E-02   0.288201E-01   0.196255E+02
   0.404479E+02   0.385175E+02   0.246815E+02   0.203597E+00   0.340264E-02   0.104251E-01   0.770856E-02   0.305662E-01   0.204256E+02
