a0_min         a1_min         a2_min         a3_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   Y6_intercept   Y7_intercept   Y8_intercept   Y9_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.100993E+03   0.403105E+01  -0.475951E+01  -0.173785E+02   0.118980E-03   0.409959E-03   0.543197E-03   0.983282E-03   0.761811E-03   0.270636E-02   0.968653E-03   0.234698E-03   0.101569E-02   0.205460E+03   0.000000E+00   0.000000E+00   0.205460E+03  -0.410920E+03
   0.100993E+03   0.403105E+01  -0.130297E+02  -0.399898E+01   0.118980E-03   0.409959E-03   0.543197E-03   0.941904E-03   0.761811E-03   0.270636E-02   0.968653E-03   0.234698E-03   0.101569E-02   0.204975E+03   0.000000E+00   0.000000E+00   0.204975E+03  -0.409950E+03
   0.100993E+03   0.403105E+01  -0.130297E+02  -0.733592E+01   0.118980E-03   0.409959E-03   0.543197E-03   0.941904E-03   0.761811E-03   0.270636E-02   0.968653E-03   0.234698E-03   0.109691E-02   0.205141E+03   0.000000E+00   0.000000E+00   0.205141E+03  -0.410282E+03
   0.100993E+03   0.112478E+01  -0.168298E+02  -0.413549E+01   0.118980E-03   0.409959E-03   0.543197E-03   0.183782E-02   0.761811E-03   0.270636E-02   0.968653E-03   0.234698E-03   0.109691E-02   0.202561E+03   0.000000E+00   0.000000E+00   0.202561E+03  -0.405122E+03
   0.100993E+03   0.141063E+01  -0.168298E+02  -0.126177E+02   0.164977E-04   0.483094E-03   0.543197E-03   0.123773E-02   0.761811E-03   0.270636E-02   0.968653E-03   0.921704E-03   0.109691E-02   0.203354E+03   0.000000E+00   0.000000E+00   0.203354E+03  -0.406708E+03
   0.100993E+03   0.356848E+00  -0.168298E+02  -0.154804E+02   0.164977E-04   0.483094E-03   0.543197E-03   0.123773E-02   0.761811E-03   0.270636E-02   0.968653E-03   0.921704E-03   0.109691E-02   0.203222E+03   0.000000E+00   0.000000E+00   0.203222E+03  -0.406444E+03
   0.100993E+03   0.356848E+00  -0.168298E+02  -0.206040E+02   0.164977E-04   0.483094E-03   0.395996E-03   0.814776E-03   0.761811E-03   0.658963E-03   0.968653E-03   0.476330E-03   0.213278E-03   0.204269E+03   0.000000E+00   0.000000E+00   0.204269E+03  -0.408538E+03
   0.100993E+03   0.808863E+00  -0.168298E+02  -0.199286E+02   0.164977E-04   0.126416E-03   0.395996E-03   0.814776E-03   0.924480E-03   0.658963E-03   0.860271E-03   0.476330E-03   0.213278E-03   0.204881E+03   0.000000E+00   0.000000E+00   0.204881E+03  -0.409762E+03
   0.100993E+03   0.808863E+00   0.413604E+01  -0.205407E+02   0.107679E-02   0.126416E-03   0.395996E-03   0.814776E-03   0.924480E-03   0.658963E-03   0.860271E-03   0.476330E-03   0.213278E-03   0.207232E+03   0.000000E+00   0.000000E+00   0.207232E+03  -0.414464E+03
   0.100993E+03  -0.728032E+01   0.413604E+01  -0.205407E+02   0.107679E-02   0.126416E-03   0.395996E-03   0.814776E-03   0.924480E-03   0.658963E-03   0.860271E-03   0.476330E-03   0.374768E-03   0.206783E+03   0.000000E+00   0.000000E+00   0.206783E+03  -0.413566E+03
   0.100993E+03  -0.804793E+01   0.477930E+01  -0.117803E+02   0.139633E-02   0.126416E-03   0.863127E-03   0.814776E-03   0.924480E-03   0.102303E-02   0.112365E-02   0.476330E-03   0.374768E-03   0.203933E+03   0.000000E+00   0.000000E+00   0.203933E+03  -0.407866E+03
   0.101806E+03   0.261391E+01   0.477930E+01  -0.747549E+01   0.520713E-03   0.487227E-03   0.863127E-03   0.814776E-03   0.924480E-03   0.102303E-02   0.112365E-02   0.476330E-03   0.374768E-03   0.207531E+03   0.000000E+00   0.000000E+00   0.207531E+03  -0.415062E+03
   0.992104E+02   0.261391E+01  -0.852833E+00  -0.120163E+02   0.520713E-03   0.343208E-03   0.863127E-03   0.814776E-03   0.924480E-03   0.102303E-02   0.112365E-02   0.476330E-03   0.374768E-03   0.207197E+03   0.000000E+00   0.000000E+00   0.207197E+03  -0.414394E+03
   0.101161E+03   0.261391E+01  -0.852833E+00  -0.857360E+01   0.520713E-03   0.343208E-03   0.863127E-03   0.814776E-03   0.924480E-03   0.102303E-02   0.321785E-03   0.476330E-03   0.374768E-03   0.209612E+03   0.000000E+00   0.000000E+00   0.209612E+03  -0.419224E+03
