a0_min        a1_min        a2_min        a3_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  Y6_intercept  Y7_intercept  Y8_intercept  Y9_intercept  LogPost       
  0.103239E+03  0.381388E+01  0.150171E+02  0.397844E+01  0.755724E-03  0.107891E-02  0.610047E-03  0.182482E-02  0.163410E-03  0.726521E-03  0.508334E-03  0.841188E-03  0.122356E-02  0.202754E+03
  0.101358E+03  0.381388E+01  0.150171E+02  0.411040E+01  0.755724E-03  0.891516E-03  0.610047E-03  0.182482E-02  0.163410E-03  0.726521E-03  0.508334E-03  0.841188E-03  0.122356E-02  0.204117E+03
  0.101358E+03  0.525908E+01  0.150171E+02  0.610589E+01  0.755724E-03  0.891516E-03  0.610047E-03  0.182482E-02  0.163410E-03  0.726521E-03  0.508334E-03  0.841188E-03  0.122356E-02  0.204250E+03
  0.101358E+03  0.525908E+01  0.118472E+02  0.610589E+01  0.755724E-03  0.891516E-03  0.590662E-03  0.182482E-02  0.163410E-03  0.726521E-03  0.508334E-03  0.374065E-03  0.122356E-02  0.205211E+03
  0.101358E+03  0.525908E+01  0.118472E+02  0.610589E+01  0.755724E-03  0.891516E-03  0.590662E-03  0.476343E-02  0.163410E-03  0.670872E-03  0.508334E-03  0.374065E-03  0.122356E-02  0.201937E+03
  0.101358E+03  0.525908E+01  0.118472E+02  0.151913E+02  0.755724E-03  0.891516E-03  0.590662E-03  0.476343E-02  0.163410E-03  0.714722E-03  0.508334E-03  0.374065E-03  0.122356E-02  0.201516E+03
  0.101358E+03  0.525908E+01  0.118472E+02  0.105068E+02  0.755724E-03  0.891516E-03  0.590662E-03  0.684011E-02  0.163410E-03  0.714722E-03  0.508334E-03  0.374065E-03  0.122356E-02  0.200570E+03
  0.101358E+03  0.525908E+01  0.118472E+02  0.187776E+02  0.755724E-03  0.891516E-03  0.590662E-03  0.684011E-02  0.615779E-04  0.714722E-03  0.508334E-03  0.374065E-03  0.122356E-02  0.199155E+03
  0.101358E+03  0.525908E+01  0.118472E+02  0.187776E+02  0.755724E-03  0.891516E-03  0.270437E-02  0.684011E-02  0.615779E-04  0.714722E-03  0.508334E-03  0.374065E-03  0.122356E-02  0.196107E+03
  0.101358E+03  0.525908E+01  0.118472E+02  0.223058E+01  0.755724E-03  0.891516E-03  0.171153E-02  0.792946E-02  0.615779E-04  0.714722E-03  0.508334E-03  0.374065E-03  0.122356E-02  0.197196E+03
  0.101358E+03  0.525908E+01  0.118472E+02  0.223058E+01  0.755724E-03  0.891516E-03  0.171153E-02  0.592817E-02  0.615779E-04  0.714722E-03  0.508334E-03  0.374065E-03  0.122356E-02  0.198332E+03
  0.101358E+03  0.525908E+01  0.118472E+02  0.140986E+02  0.755724E-03  0.891516E-03  0.171153E-02  0.425834E-02  0.615779E-04  0.714722E-03  0.884303E-03  0.374065E-03  0.122356E-02  0.199354E+03
  0.101358E+03  0.525908E+01 -0.513098E+00  0.140986E+02  0.755724E-03  0.891516E-03  0.151471E-02  0.425834E-02  0.615779E-04  0.714722E-03  0.884303E-03  0.374065E-03  0.122356E-02  0.200658E+03
  0.101358E+03  0.525908E+01 -0.320862E+01  0.138785E+02  0.755724E-03  0.162054E-02  0.151471E-02  0.425834E-02  0.615779E-04  0.714722E-03  0.884303E-03  0.374065E-03  0.122356E-02  0.198215E+03
  0.101358E+03  0.525908E+01 -0.320862E+01  0.138785E+02  0.755724E-03  0.162054E-02  0.151471E-02  0.571647E-02  0.615779E-04  0.714722E-03  0.884303E-03  0.374065E-03  0.122356E-02  0.197099E+03
  0.101358E+03  0.525908E+01 -0.320862E+01  0.126980E+02  0.755724E-03  0.162054E-02  0.151471E-02  0.589069E-02  0.615779E-04  0.714722E-03  0.884303E-03  0.374065E-03  0.122356E-02  0.196889E+03
  0.101358E+03  0.525908E+01 -0.309023E+01  0.966443E+01  0.755724E-03  0.162054E-02  0.151471E-02  0.470816E-02  0.615779E-04  0.714722E-03  0.884303E-03  0.374065E-03  0.122356E-02  0.197485E+03
  0.101358E+03  0.428587E+01  0.134724E+01  0.704132E+01  0.755724E-03  0.162054E-02  0.151471E-02  0.470816E-02  0.615779E-04  0.714722E-03  0.884303E-03  0.374065E-03  0.122356E-02  0.198851E+03
  0.101915E+03 -0.828440E+00  0.563123E+01  0.400990E+01  0.755724E-03  0.162054E-02  0.151471E-02  0.258331E-02  0.615779E-04  0.714722E-03  0.884303E-03  0.374065E-03  0.122356E-02  0.200894E+03
  0.101915E+03 -0.828440E+00  0.563123E+01  0.400990E+01  0.755724E-03  0.227400E-02  0.151471E-02  0.258331E-02  0.615779E-04  0.714722E-03  0.884303E-03  0.374065E-03  0.122356E-02  0.199834E+03
  0.101915E+03 -0.828440E+00  0.142268E+01 -0.983208E+01  0.755724E-03  0.227400E-02  0.151471E-02  0.258331E-02  0.615779E-04  0.714722E-03  0.884303E-03  0.374065E-03  0.188439E-02  0.197908E+03
  0.101915E+03 -0.828440E+00  0.142268E+01 -0.894049E+01  0.755724E-03  0.227400E-02  0.151471E-02  0.258331E-02  0.615779E-04  0.714722E-03  0.176214E-03  0.374065E-03  0.188439E-02  0.197913E+03
  0.101915E+03 -0.828440E+00  0.471055E+01  0.233775E+01  0.755724E-03  0.227400E-02  0.151471E-02  0.258331E-02  0.615779E-04  0.360002E-03  0.176214E-03  0.374065E-03  0.188439E-02  0.199129E+03
  0.101915E+03 -0.828440E+00  0.807667E+01  0.233775E+01  0.755724E-03  0.360867E-02  0.151471E-02  0.199666E-02  0.615779E-04  0.360002E-03  0.176214E-03  0.374065E-03  0.188439E-02  0.198454E+03
  0.101915E+03  0.568736E+00  0.807667E+01  0.233775E+01  0.755724E-03  0.360867E-02  0.917949E-03  0.199666E-02  0.615779E-04  0.360002E-03  0.176214E-03  0.374065E-03  0.188439E-02  0.199390E+03
