a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.976759E+02   0.574546E+01   0.736247E+01   0.508065E-03   0.144536E+02   0.109046E+02   0.157416E+02   0.193822E+02   0.169188E+03
   0.976759E+02   0.179915E+01   0.550682E+01   0.508065E-03   0.109644E+02   0.152536E+02   0.158061E+02   0.118674E+02   0.172025E+03
   0.989641E+02  -0.298134E+01   0.151731E+01   0.489026E-03   0.119196E+02   0.815922E+01   0.131150E+02   0.152107E+02   0.172280E+03
   0.970563E+02   0.466340E-01   0.142431E+01   0.489026E-03   0.870169E+01   0.919542E+01   0.146161E+02   0.148296E+02   0.175363E+03
   0.956398E+02  -0.318158E+01  -0.152730E+01   0.743431E-03   0.105065E+02   0.815306E+01   0.186970E+02   0.145630E+02   0.168795E+03
   0.971001E+02  -0.154395E+01  -0.275154E+01   0.553264E-03   0.107977E+02   0.906096E+01   0.150923E+02   0.162213E+02   0.175081E+03
   0.972315E+02  -0.128200E+01  -0.866803E+01   0.874780E-03   0.125150E+02   0.140348E+02   0.857132E+01   0.119784E+02   0.166934E+03
   0.972059E+02   0.254881E+01   0.653352E+01   0.878082E-03   0.731362E+01   0.997188E+01   0.147149E+02   0.112152E+02   0.171314E+03
   0.999537E+02   0.254881E+01   0.809870E+01   0.625148E-03   0.732429E+01   0.121117E+02   0.118330E+02   0.157004E+02   0.170828E+03
   0.100435E+03   0.828731E+00   0.107114E+02   0.561437E-03   0.118060E+02   0.684094E+01   0.140647E+02   0.154467E+02   0.169405E+03
   0.970116E+02  -0.227803E-01  -0.352591E+01   0.649594E-03   0.119281E+02   0.829357E+01   0.155105E+02   0.102987E+02   0.173538E+03
   0.971569E+02   0.737476E+01   0.484386E+01   0.799171E-03   0.103913E+02   0.139602E+02   0.160258E+02   0.153213E+02   0.169920E+03
   0.988519E+02   0.252788E+00   0.131632E+02   0.675499E-03   0.110728E+02   0.962752E+01   0.113955E+02   0.109205E+02   0.172036E+03
   0.100698E+03  -0.697798E+00   0.627513E+01   0.628722E-03   0.900235E+01   0.102015E+02   0.171808E+02   0.210081E+02   0.168030E+03
   0.992593E+02   0.228288E+00  -0.388433E+01   0.850711E-03   0.134079E+02   0.134155E+02   0.192916E+02   0.166186E+02   0.168874E+03
   0.960858E+02   0.142975E+01  -0.481516E+01   0.886177E-03   0.100487E+02   0.105691E+02   0.135895E+02   0.133586E+02   0.172505E+03
   0.978133E+02   0.359507E+01  -0.568435E+01   0.551137E-03   0.112906E+02   0.862838E+01   0.117583E+02   0.179570E+02   0.173154E+03
   0.100113E+03   0.186088E+01   0.844758E+01   0.573578E-03   0.121071E+02   0.116700E+02   0.254070E+02   0.184766E+02   0.166362E+03
   0.982422E+02   0.304043E+01  -0.450406E+01   0.615623E-03   0.114011E+02   0.115849E+02   0.173807E+02   0.153539E+02   0.173747E+03
   0.973217E+02   0.239482E+01  -0.310177E+01   0.354954E-03   0.110380E+02   0.126162E+02   0.258793E+02   0.143354E+02   0.168276E+03
   0.973217E+02  -0.441318E+01  -0.129270E+01   0.468532E-03   0.692535E+01   0.795449E+01   0.175244E+02   0.144082E+02   0.170343E+03
   0.984199E+02   0.175850E+01  -0.487303E+01   0.476010E-03   0.730317E+01   0.951190E+01   0.110241E+02   0.117235E+02   0.171530E+03
   0.977951E+02  -0.247199E+00  -0.650586E+01   0.659127E-03   0.765955E+01   0.110051E+02   0.133899E+02   0.232362E+02   0.171783E+03
   0.966481E+02   0.608226E+01  -0.529715E+01   0.681980E-03   0.120629E+02   0.107261E+02   0.110660E+02   0.148408E+02   0.171378E+03
   0.966481E+02  -0.861703E+00  -0.110903E+02   0.681980E-03   0.101024E+02   0.967623E+01   0.152959E+02   0.128882E+02   0.173345E+03
   0.968710E+02   0.296839E+01  -0.192604E+01   0.530302E-03   0.806852E+01   0.150235E+02   0.155043E+02   0.158681E+02   0.172410E+03
   0.974474E+02   0.350340E+01   0.554228E+01   0.766555E-03   0.119709E+02   0.136512E+02   0.236922E+02   0.135118E+02   0.169147E+03
   0.979531E+02  -0.324716E+01  -0.976185E+01   0.766555E-03   0.122142E+02   0.119181E+02   0.125455E+02   0.105428E+02   0.170367E+03
   0.962623E+02   0.501815E+01  -0.405715E+01   0.628638E-03   0.121847E+02   0.959166E+01   0.207323E+02   0.158657E+02   0.170894E+03
   0.980056E+02  -0.383663E+00  -0.320856E+01   0.624101E-03   0.831447E+01   0.945705E+01   0.164237E+02   0.169697E+02   0.175222E+03
   0.986819E+02   0.378320E+01   0.639697E+01   0.632362E-03   0.978291E+01   0.105209E+02   0.115760E+02   0.155305E+02   0.174226E+03
   0.986819E+02   0.172765E+01   0.249297E+01   0.569077E-03   0.959494E+01   0.982400E+01   0.144844E+02   0.181627E+02   0.174908E+03
   0.982982E+02   0.202206E+01   0.818699E+00   0.733561E-03   0.122930E+02   0.731509E+01   0.152855E+02   0.115063E+02   0.173286E+03
   0.961860E+02   0.202206E+01  -0.138256E+01   0.733561E-03   0.985870E+01   0.104466E+02   0.107277E+02   0.179799E+02   0.172233E+03
   0.978440E+02  -0.732430E+00   0.284980E+01   0.593837E-03   0.769095E+01   0.109342E+02   0.179085E+02   0.180356E+02   0.174117E+03
   0.970190E+02   0.339651E-01  -0.113118E+02   0.728838E-03   0.853607E+01   0.102475E+02   0.191556E+02   0.149859E+02   0.172808E+03
   0.987330E+02   0.144962E+01   0.613736E+01   0.766009E-03   0.879613E+01   0.990987E+01   0.158033E+02   0.138250E+02   0.174812E+03
   0.984057E+02  -0.160631E+00  -0.888459E+01   0.652435E-03   0.113204E+02   0.119183E+02   0.135107E+02   0.141309E+02   0.173263E+03
