a0_min         a0_flood       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.118394E+03   0.329424E+02   0.366644E-03   0.794576E+01   0.104219E+02   0.205508E+02   0.135424E-02   0.544887E+02  -0.164977E+01   0.000000E+00   0.561385E+02  -0.112277E+03
   0.118394E+03   0.329424E+02   0.366644E-03   0.814531E+01   0.945269E+01   0.205508E+02   0.135424E-02   0.546781E+02  -0.146032E+01   0.000000E+00   0.561384E+02  -0.112277E+03
   0.118394E+03   0.329424E+02   0.366644E-03   0.729793E+01   0.816377E+01   0.205508E+02   0.403272E-03   0.545905E+02  -0.154800E+01   0.000000E+00   0.561385E+02  -0.112277E+03
   0.118394E+03   0.329424E+02   0.355012E-03   0.729793E+01   0.986940E+01   0.198300E+02   0.403272E-03   0.552670E+02  -0.924587E+00   0.000000E+00   0.561916E+02  -0.112383E+03
   0.118394E+03   0.329424E+02   0.355012E-03   0.729793E+01   0.986940E+01   0.220405E+02   0.403272E-03   0.542842E+02  -0.190743E+01   0.000000E+00   0.561916E+02  -0.112383E+03
   0.118394E+03   0.329424E+02   0.321623E-03   0.711167E+01   0.104684E+02   0.219731E+02   0.403272E-03   0.541898E+02  -0.214407E+01   0.000000E+00   0.563339E+02  -0.112668E+03
   0.118394E+03   0.329424E+02   0.321623E-03   0.829341E+01   0.105074E+02   0.219731E+02   0.403272E-03   0.550424E+02  -0.129142E+01   0.000000E+00   0.563338E+02  -0.112668E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.101310E+02   0.111405E+02   0.214643E+02   0.403272E-03   0.554724E+02  -0.989507E+00   0.000000E+00   0.564619E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.110401E+02   0.101595E+02   0.201921E+02   0.298396E-02   0.538762E+02  -0.258569E+01   0.000000E+00   0.564619E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.110401E+02   0.104395E+02   0.196512E+02   0.877907E-03   0.558613E+02  -0.600574E+00   0.000000E+00   0.564619E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.110197E+02   0.983317E+01   0.213507E+02   0.877907E-03   0.552181E+02  -0.124379E+01   0.000000E+00   0.564619E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.113410E+02   0.795449E+01   0.219848E+02   0.877907E-03   0.543719E+02  -0.208998E+01   0.000000E+00   0.564619E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.113410E+02   0.795449E+01   0.196367E+02   0.877907E-03   0.554049E+02  -0.105697E+01   0.000000E+00   0.564619E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.125086E+02   0.775592E+01   0.199635E+02   0.396662E-03   0.549957E+02  -0.146624E+01   0.000000E+00   0.564619E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.110444E+02   0.924316E+01   0.214079E+02   0.396662E-03   0.555474E+02  -0.914483E+00   0.000000E+00   0.564619E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.106441E+02   0.943963E+01   0.219179E+02   0.396662E-03   0.554340E+02  -0.102794E+01   0.000000E+00   0.564619E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.106441E+02   0.993431E+01   0.220253E+02   0.396662E-03   0.553724E+02  -0.108952E+01   0.000000E+00   0.564619E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.107193E+02   0.981513E+01   0.220253E+02   0.396662E-03   0.553620E+02  -0.109991E+01   0.000000E+00   0.564619E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.895228E+01   0.104476E+02   0.216882E+02   0.396662E-03   0.555279E+02  -0.934068E+00   0.000000E+00   0.564620E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.834142E+01   0.987031E+01   0.228498E+02   0.834079E-03   0.545199E+02  -0.194204E+01   0.000000E+00   0.564619E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.825009E+01   0.993124E+01   0.228498E+02   0.834079E-03   0.544749E+02  -0.198707E+01   0.000000E+00   0.564620E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.750255E+01   0.993124E+01   0.228498E+02   0.377360E-02   0.516255E+02  -0.483646E+01   0.000000E+00   0.564620E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.750255E+01   0.857877E+01   0.227278E+02   0.683175E-02   0.499820E+02  -0.647984E+01   0.000000E+00   0.564618E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.780636E+01   0.861361E+01   0.224260E+02   0.683175E-02   0.503690E+02  -0.609279E+01   0.000000E+00   0.564618E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.780636E+01   0.819724E+01   0.210858E+02   0.325556E-02   0.527277E+02  -0.373426E+01   0.000000E+00   0.564620E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.780636E+01   0.812325E+01   0.206451E+02   0.103550E-02   0.547275E+02  -0.173441E+01   0.000000E+00   0.564619E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.723061E+01   0.812325E+01   0.208169E+02   0.103550E-02   0.541811E+02  -0.228083E+01   0.000000E+00   0.564619E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.728634E+01   0.761181E+01   0.214595E+02   0.126074E-03   0.535802E+02  -0.288169E+01   0.000000E+00   0.564619E+02  -0.112924E+03
   0.118394E+03   0.330301E+02   0.321623E-03   0.686138E+01   0.761181E+01   0.205002E+02   0.126074E-03   0.535486E+02  -0.291332E+01   0.000000E+00   0.564619E+02  -0.112924E+03
   0.119566E+03   0.330301E+02   0.321623E-03   0.683207E+01   0.845472E+01   0.224019E+02   0.518147E-03   0.542018E+02  -0.284113E+01   0.000000E+00   0.570429E+02  -0.114086E+03
   0.119566E+03   0.330301E+02   0.321623E-03   0.828254E+01   0.883683E+01   0.224019E+02   0.518147E-03   0.554964E+02  -0.154652E+01   0.000000E+00   0.570429E+02  -0.114086E+03
   0.119566E+03   0.330301E+02   0.632010E-03   0.856479E+01   0.931308E+01   0.214709E+02   0.518147E-03   0.540317E+02  -0.915305E+00   0.000000E+00   0.549470E+02  -0.109894E+03
   0.119566E+03   0.330301E+02   0.632010E-03   0.871018E+01   0.979333E+01   0.214709E+02   0.518147E-03   0.540841E+02  -0.862911E+00   0.000000E+00   0.549470E+02  -0.109894E+03
   0.119566E+03   0.330301E+02   0.632010E-03   0.953604E+01   0.908644E+01   0.195196E+02   0.570890E-03   0.549675E+02   0.205041E-01   0.000000E+00   0.549470E+02  -0.109894E+03
   0.119566E+03   0.330301E+02   0.632010E-03   0.841292E+01   0.101183E+02   0.195196E+02   0.570890E-03   0.547531E+02  -0.193861E+00   0.000000E+00   0.549470E+02  -0.109894E+03
   0.119566E+03   0.330301E+02   0.632010E-03   0.730468E+01   0.943779E+01   0.195196E+02   0.570890E-03   0.540642E+02  -0.882786E+00   0.000000E+00   0.549470E+02  -0.109894E+03
   0.119566E+03   0.330301E+02   0.632010E-03   0.767495E+01   0.791636E+01   0.183569E+02   0.570890E-03   0.543262E+02  -0.620706E+00   0.000000E+00   0.549469E+02  -0.109894E+03
   0.119566E+03   0.330301E+02   0.632010E-03   0.859474E+01   0.791636E+01   0.197193E+02   0.570890E-03   0.543046E+02  -0.642354E+00   0.000000E+00   0.549470E+02  -0.109894E+03
   0.121662E+03   0.330301E+02   0.632010E-03   0.912909E+01   0.920351E+01   0.195224E+02   0.570890E-03   0.530691E+02   0.326638E-02   0.000000E+00   0.530658E+02  -0.106132E+03
   0.121662E+03   0.330301E+02   0.632010E-03   0.978456E+01   0.803270E+01   0.227250E+02   0.570890E-03   0.512788E+02  -0.178695E+01   0.000000E+00   0.530658E+02  -0.106132E+03
   0.121662E+03   0.330301E+02   0.632010E-03   0.942208E+01   0.825048E+01   0.206876E+02   0.213374E-02   0.508997E+02  -0.216612E+01   0.000000E+00   0.530658E+02  -0.106132E+03
   0.118788E+03   0.330301E+02   0.632010E-03   0.942208E+01   0.806653E+01   0.212512E+02   0.295197E-03   0.538717E+02  -0.989430E+00   0.000000E+00   0.548611E+02  -0.109722E+03
   0.118788E+03   0.330301E+02   0.632010E-03   0.723066E+01   0.806653E+01   0.220160E+02   0.295197E-03   0.525075E+02  -0.235357E+01   0.000000E+00   0.548611E+02  -0.109722E+03
   0.118788E+03   0.330301E+02   0.632010E-03   0.723066E+01   0.806653E+01   0.220160E+02   0.295197E-03   0.525075E+02  -0.235357E+01   0.000000E+00   0.548611E+02  -0.109722E+03
   0.118788E+03   0.330301E+02   0.632010E-03   0.728127E+01   0.869800E+01   0.220160E+02   0.295197E-03   0.528150E+02  -0.204614E+01   0.000000E+00   0.548611E+02  -0.109722E+03
   0.118788E+03   0.330301E+02   0.632010E-03   0.884862E+01   0.869800E+01   0.194831E+02   0.295197E-03   0.547993E+02  -0.618352E-01   0.000000E+00   0.548611E+02  -0.109722E+03
   0.118788E+03   0.330301E+02   0.632010E-03   0.102430E+02   0.993807E+01   0.187950E+02   0.295197E-03   0.551971E+02   0.335986E+00   0.000000E+00   0.548611E+02  -0.109722E+03
   0.118788E+03   0.330301E+02   0.632010E-03   0.106118E+02   0.924963E+01   0.166068E+02   0.295197E-03   0.557513E+02   0.890154E+00   0.000000E+00   0.548611E+02  -0.109722E+03
   0.118788E+03   0.330301E+02   0.632010E-03   0.106118E+02   0.100058E+02   0.163561E+02   0.295197E-03   0.557998E+02   0.938639E+00   0.000000E+00   0.548612E+02  -0.109722E+03
   0.118788E+03   0.330301E+02   0.632010E-03   0.115553E+02   0.107802E+02   0.151398E+02   0.295197E-03   0.555222E+02   0.661066E+00   0.000000E+00   0.548611E+02  -0.109722E+03
   0.119327E+03   0.330301E+02   0.632010E-03   0.121648E+02   0.104510E+02   0.146192E+02   0.295197E-03   0.554628E+02   0.495910E+00   0.000000E+00   0.549669E+02  -0.109934E+03
