a0_min        a1_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  LogPost       
  0.994146E+02  0.159705E+01  0.683459E-03  0.705705E-03  0.103707E-03  0.636311E-03  0.189159E+03
  0.994146E+02  0.513915E+00  0.683459E-03  0.705705E-03  0.103707E-03  0.636311E-03  0.189215E+03
  0.994146E+02  0.639114E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.636311E-03  0.185517E+03
  0.994146E+02  0.639114E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.636311E-03  0.185517E+03
  0.994146E+02  0.639114E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.185662E+03
  0.994146E+02  0.639114E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.185662E+03
  0.994146E+02  0.457638E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.187809E+03
  0.994146E+02  0.457638E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.187809E+03
  0.994146E+02  0.457638E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.187809E+03
  0.994146E+02  0.457638E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.187809E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.189508E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.189508E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.189508E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.189508E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.650055E-03  0.103707E-03  0.680161E-03  0.189508E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.604261E-03  0.103707E-03  0.680161E-03  0.189644E+03
  0.994146E+02  0.130168E+01  0.683459E-03  0.604261E-03  0.103707E-03  0.680161E-03  0.189644E+03
