X Y Z label profile_id header_val
869283.0644 6524308.5363 182.2537 axe 2 41227
869275.8814 6524309.8031 182.4154 NA 2 41227
869268.6996 6524311.07 182.6504 NA 2 41227
869261.5261 6524312.3348 183.0147 NA 2 41227
869254.3429 6524313.6018 183.135 NA 2 41227
869250.5566 6524314.2697 183.2215 NA 2 41227
869247.1616 6524314.8687 183.2993 NA 2 41227
869239.9814 6524316.1347 183.5506 NA 2 41227
869232.8093 6524317.3988 183.7483 NA 2 41227
869225.6631 6524318.6575 184.049 NA 2 41227
869218.5179 6524319.9151 184.3553 NA 2 41227
869211.3727 6524321.1737 184.6743 NA 2 41227
869204.2275 6524322.4314 185.0106 NA 2 41227
869197.0834 6524323.69 185.3844 rd 2 41227
869188.064 6524325.5772 186.0103 NA 2 41227
869182.5795 6524326.7291 186.408 NA 2 41227
869173.4632 6524328.6444 186.2341 NA 2 41227
869164.4235 6524330.5394 186.3648 NA 2 41227
869155.2145 6524332.453 186.4869 NA 2 41227
869146.0868 6524334.3526 186.5355 NA 2 41227
869136.9204 6524336.2589 186.5562 NA 2 41227
869127.8314 6524338.1518 186.4021 NA 2 41227
869118.7037 6524340.0514 186.2646 NA 2 41227
869109.576 6524341.951 186.2661 NA 2 41227
869100.4886 6524343.8437 186.2671 NA 2 41227
869091.3206 6524345.7502 186.526 NA 2 41227
869082.1928 6524347.6499 186.6041 NA 2 41227
869072.9855 6524349.5632 186.4092 NA 2 41227
869063.9371 6524351.4491 186.3579 NA 2 41227
869054.8092 6524353.3488 186.2943 NA 2 41227
869045.6814 6524355.2484 186.2655 NA 2 41227
869036.5536 6524357.148 186.6541 NA 2 41227
869027.4253 6524359.0477 186.7489 NA 2 41227
869018.2973 6524360.9474 186.6296 NA 2 41227
869009.1694 6524362.847 186.913 NA 2 41227
869000.1217 6524364.7329 187.8064 NA 2 41227
868990.9138 6524366.6463 188.118 NA 2 41227
868981.7859 6524368.5459 187.7506 NA 2 41227
868972.6186 6524370.4523 187.7155 NA 2 41227
868963.5302 6524372.3452 187.4496 NA 2 41227
868954.4024 6524374.2448 187.143 NA 2 41227
868945.2746 6524376.1444 187.1464 NA 2 41227
868936.1868 6524378.0371 187.1537 NA 2 41227
868927.0189 6524379.9436 187.2457 NA 2 41227
868917.891 6524381.8432 187.4319 NA 2 41227
868908.6837 6524383.7566 187.6836 NA 2 41227
868899.6353 6524385.6425 187.7782 NA 2 41227
868890.5075 6524387.5421 187.7605 NA 2 41227
868881.3797 6524389.4418 187.7553 NA 2 41227
868872.2518 6524391.3414 187.5148 NA 2 41227
869701.0681 6524204.4115 188.2332 NA 3 41244
869691.5313 6524206.3942 188.4361 NA 3 41244
869681.9946 6524208.377 188.5804 NA 3 41244
869672.4578 6524210.3598 188.4755 NA 3 41244
869662.921 6524212.3425 188.2454 NA 3 41244
869653.3842 6524214.3253 187.8926 NA 3 41244
869643.8475 6524216.308 187.8014 NA 3 41244
869634.3107 6524218.2908 187.8437 NA 3 41244
869624.774 6524220.2736 187.931 NA 3 41244
869615.2372 6524222.2564 188.1015 NA 3 41244
869605.7004 6524224.2391 188.2325 NA 3 41244
869596.1637 6524226.2219 188.3984 NA 3 41244
869586.6269 6524228.2046 188.2947 NA 3 41244
869577.0901 6524230.1874 188.2079 NA 3 41244
869567.5533 6524232.1702 188.1824 NA 3 41244
869558.0166 6524234.1529 188.0725 NA 3 41244
869548.4798 6524236.1357 188.1119 NA 3 41244
869538.9431 6524238.1184 187.697 NA 3 41244
