a0_min         a1_min         a2_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.978086E+02   0.168108E+00   0.335901E+01   0.571802E-03   0.106283E+02   0.723544E+01   0.142121E+02   0.153908E+02   0.175081E+03  -0.836836E+01   0.000000E+00   0.183449E+03  -0.366899E+03
   0.978086E+02   0.815343E+00   0.411308E+01   0.724217E-03   0.110867E+02   0.749560E+01   0.142121E+02   0.153908E+02   0.174606E+03  -0.826235E+01   0.000000E+00   0.182868E+03  -0.365737E+03
   0.978086E+02  -0.110645E+01   0.526092E+01   0.724217E-03   0.842624E+01   0.942156E+01   0.150630E+02   0.153908E+02   0.174861E+03  -0.747775E+01   0.000000E+00   0.182339E+03  -0.364677E+03
   0.966128E+02   0.111080E+01   0.247244E+01   0.724217E-03   0.125978E+02   0.942156E+01   0.159181E+02   0.153908E+02   0.173266E+03  -0.827916E+01   0.000000E+00   0.181545E+03  -0.363090E+03
   0.966128E+02   0.111080E+01  -0.544265E+01   0.724217E-03   0.121554E+02   0.942156E+01   0.159625E+02   0.155988E+02   0.174090E+03  -0.808432E+01   0.000000E+00   0.182174E+03  -0.364349E+03
   0.966128E+02   0.111080E+01  -0.544265E+01   0.724217E-03   0.943524E+01   0.859058E+01   0.192654E+02   0.162561E+02   0.173600E+03  -0.857435E+01   0.000000E+00   0.182174E+03  -0.364349E+03
   0.966128E+02   0.111080E+01  -0.658942E+01   0.724217E-03   0.103024E+02   0.859058E+01   0.167766E+02   0.162561E+02   0.174181E+03  -0.786654E+01   0.000000E+00   0.182048E+03  -0.364095E+03
   0.966128E+02   0.111080E+01  -0.658942E+01   0.724217E-03   0.103024E+02   0.859058E+01   0.167766E+02   0.169510E+02   0.174033E+03  -0.801446E+01   0.000000E+00   0.182047E+03  -0.364095E+03
   0.966128E+02   0.111080E+01  -0.658942E+01   0.724217E-03   0.100688E+02   0.104699E+02   0.167766E+02   0.145708E+02   0.174458E+03  -0.758905E+01   0.000000E+00   0.182047E+03  -0.364094E+03
   0.966128E+02   0.180861E+01  -0.658942E+01   0.724217E-03   0.100688E+02   0.104699E+02   0.154865E+02   0.134552E+02   0.174600E+03  -0.742262E+01   0.000000E+00   0.182023E+03  -0.364045E+03
   0.966128E+02   0.180861E+01  -0.658942E+01   0.724217E-03   0.103875E+02   0.117151E+02   0.154865E+02   0.134552E+02   0.174152E+03  -0.787049E+01   0.000000E+00   0.182022E+03  -0.364045E+03
   0.982025E+02   0.180861E+01  -0.298799E+01   0.516800E-03   0.103875E+02   0.117151E+02   0.139899E+02   0.174016E+02   0.174357E+03  -0.820211E+01   0.000000E+00   0.182559E+03  -0.365118E+03
   0.982025E+02   0.180861E+01  -0.298799E+01   0.516800E-03   0.103875E+02   0.746732E+01   0.160702E+02   0.204215E+02   0.172843E+03  -0.971624E+01   0.000000E+00   0.182559E+03  -0.365118E+03
   0.982025E+02   0.180861E+01  -0.298799E+01   0.516800E-03   0.767372E+01   0.949696E+01   0.143385E+02   0.207723E+02   0.173075E+03  -0.948340E+01   0.000000E+00   0.182558E+03  -0.365117E+03
   0.982025E+02   0.180861E+01  -0.490950E+00   0.516800E-03   0.129952E+02   0.975387E+01   0.161876E+02   0.163504E+02   0.174284E+03  -0.868998E+01   0.000000E+00   0.182974E+03  -0.365948E+03
   0.982025E+02   0.180861E+01  -0.490950E+00   0.516800E-03   0.128287E+02   0.876712E+01   0.175524E+02   0.120636E+02   0.173764E+03  -0.921006E+01   0.000000E+00   0.182974E+03  -0.365948E+03
   0.983765E+02   0.180861E+01  -0.490950E+00   0.516800E-03   0.128287E+02   0.116294E+02   0.175524E+02   0.120636E+02   0.173118E+03  -0.956101E+01   0.000000E+00   0.182679E+03  -0.365358E+03
   0.969428E+02   0.180861E+01  -0.490950E+00   0.516800E-03   0.957033E+01   0.125112E+02   0.160348E+02   0.120636E+02   0.174391E+03  -0.858868E+01   0.000000E+00   0.182980E+03  -0.365959E+03
   0.969428E+02   0.180861E+01  -0.330290E+01   0.645706E-03   0.124583E+02   0.125112E+02   0.160348E+02   0.116899E+02   0.173504E+03  -0.958450E+01   0.000000E+00   0.183088E+03  -0.366177E+03
   0.969428E+02   0.180861E+01  -0.330290E+01   0.645706E-03   0.124583E+02   0.120563E+02   0.177297E+02   0.116899E+02   0.173337E+03  -0.975142E+01   0.000000E+00   0.183088E+03  -0.366177E+03
   0.969428E+02   0.576299E+00  -0.330290E+01   0.645706E-03   0.123033E+02   0.100526E+02   0.168148E+02   0.112967E+02   0.174088E+03  -0.900787E+01   0.000000E+00   0.183096E+03  -0.366192E+03
   0.976810E+02   0.576299E+00   0.203611E+01   0.645706E-03   0.123033E+02   0.100526E+02   0.168148E+02   0.112967E+02   0.174477E+03  -0.900787E+01   0.000000E+00   0.183485E+03  -0.366970E+03
