a0_min        a0_flood      Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.103558E+03  0.524764E+02  0.342435E-03  0.800143E+01  0.118467E+02  0.197203E-02  0.190379E+02  0.317304E+02
  0.103558E+03  0.524764E+02  0.342435E-03  0.930498E+01  0.118555E+02  0.165037E-02  0.190379E+02  0.324153E+02
  0.103558E+03  0.539728E+02  0.247903E-03  0.102307E+02  0.116558E+02  0.153874E-03  0.190325E+02  0.313867E+02
  0.103558E+03  0.539728E+02  0.247903E-03  0.114056E+02  0.113725E+02  0.120174E-02  0.190325E+02  0.308587E+02
  0.103558E+03  0.526639E+02  0.247903E-03  0.108612E+02  0.113725E+02  0.120174E-02  0.165401E+02  0.320916E+02
  0.103558E+03  0.526639E+02  0.247903E-03  0.103585E+02  0.119452E+02  0.841526E-03  0.149559E+02  0.325498E+02
  0.103558E+03  0.526639E+02  0.247903E-03  0.103585E+02  0.142149E+02  0.841526E-03  0.160545E+02  0.310960E+02
  0.103558E+03  0.526639E+02  0.247903E-03  0.877627E+01  0.158588E+02  0.841526E-03  0.152863E+02  0.299452E+02
  0.103558E+03  0.526639E+02  0.247903E-03  0.901593E+01  0.156823E+02  0.841526E-03  0.186950E+02  0.293328E+02
  0.103558E+03  0.537878E+02  0.247903E-03  0.106519E+02  0.167416E+02  0.109141E-03  0.186950E+02  0.280440E+02
  0.103558E+03  0.537878E+02  0.247903E-03  0.106519E+02  0.153020E+02  0.410561E-03  0.189706E+02  0.298254E+02
  0.103558E+03  0.537878E+02  0.247903E-03  0.119574E+02  0.146094E+02  0.410561E-03  0.184196E+02  0.300640E+02
  0.103558E+03  0.537878E+02  0.247903E-03  0.118263E+02  0.146094E+02  0.410561E-03  0.164082E+02  0.306649E+02
  0.103558E+03  0.537878E+02  0.247903E-03  0.117830E+02  0.127675E+02  0.410561E-03  0.164082E+02  0.318687E+02
  0.103558E+03  0.537878E+02  0.247903E-03  0.111110E+02  0.121325E+02  0.126235E-02  0.166488E+02  0.316513E+02
  0.103558E+03  0.537878E+02  0.247903E-03  0.110106E+02  0.121995E+02  0.126235E-02  0.198140E+02  0.306443E+02
