Km_SU1_Rh_a0  Km_SU1_Rh_a1  Km_SU1_Rh_a2  Km_SU1_Rh_a3  Km_SU1_Rh_a4  Km_SU2_Rh_a0  Km_SU2_Rh_a1  Km_SU2_Rh_a2  Km_SU1_Ai_a0  Km_SU1_Ai_a1  Km_SU1_Ai_a2  Km_SU1_Ai_a3  Km_SU1_Ai_a4  Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.404578E+02 -0.384961E+00  0.475182E+01  0.619542E+01  0.303630E+01  0.390505E+02 -0.221072E+01 -0.822200E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.301734E+00  0.116933E-01  0.243354E-02  0.649929E-02  0.609376E-02 -0.114886E+03
  0.404578E+02 -0.384961E+00  0.475182E+01  0.619542E+01  0.513624E+01  0.390505E+02 -0.315381E+01 -0.822200E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.301278E+00  0.123550E-01  0.344131E-02  0.689466E-02  0.610176E-02 -0.114094E+03
  0.404578E+02 -0.289251E+00  0.475182E+01  0.619542E+01  0.513624E+01  0.390505E+02 -0.315381E+01 -0.822200E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.301974E+00  0.127532E-01  0.317951E-02  0.738985E-02  0.517960E-02 -0.114297E+03
  0.404578E+02 -0.289251E+00  0.325113E+01  0.619542E+01  0.513624E+01  0.390505E+02 -0.302807E+01 -0.822200E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.301533E+00  0.123672E-01  0.317893E-02  0.768896E-02  0.470752E-02 -0.113914E+03
  0.391070E+02 -0.185169E+01  0.325113E+01  0.619542E+01  0.513624E+01  0.390505E+02 -0.302807E+01 -0.882727E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.299380E+00  0.109539E-01  0.358124E-02  0.752077E-02  0.522457E-02 -0.115729E+03
  0.404260E+02  0.379000E+00  0.325113E+01  0.746738E+01  0.605004E+01  0.390677E+02 -0.302807E+01 -0.882727E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.299424E+00  0.111015E-01  0.489393E-02  0.656899E-02  0.591610E-02 -0.114658E+03
  0.404260E+02 -0.191055E+01  0.325113E+01  0.746738E+01  0.425503E+01  0.390677E+02 -0.302807E+01 -0.350542E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.299543E+00  0.102929E-01  0.397059E-02  0.656899E-02  0.687736E-02 -0.116761E+03
  0.399798E+02 -0.191055E+01  0.325113E+01 -0.133790E+01  0.425503E+01  0.370809E+02 -0.302807E+01 -0.406921E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.299499E+00  0.116389E-01  0.528662E-02  0.618600E-02  0.685794E-02 -0.114880E+03
  0.399798E+02 -0.191055E+01  0.325113E+01  0.302981E+01  0.553572E+01  0.370259E+02 -0.302807E+01 -0.441120E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.300552E+00  0.997077E-02  0.337223E-02  0.476933E-02  0.532148E-02 -0.111592E+03
  0.399798E+02 -0.191055E+01  0.325113E+01  0.605326E+01  0.630400E+01  0.367056E+02 -0.268320E+01 -0.441120E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.300708E+00  0.984986E-02  0.208065E-02  0.405439E-02  0.448805E-02 -0.112053E+03
  0.399798E+02 -0.191055E+01  0.325113E+01  0.605326E+01  0.630400E+01  0.365663E+02 -0.268320E+01 -0.135738E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.300772E+00  0.854128E-02  0.170871E-02  0.294763E-02  0.399767E-02 -0.113441E+03
  0.399798E+02 -0.191055E+01  0.128345E+01  0.605326E+01  0.649400E+01  0.360066E+02 -0.208414E+01 -0.402038E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.301205E+00  0.865714E-02  0.170871E-02  0.327936E-02  0.404795E-02 -0.112841E+03
  0.399798E+02 -0.191055E+01  0.128345E+01  0.605326E+01  0.649400E+01  0.360066E+02 -0.208414E+01 -0.539256E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.304011E+00  0.902138E-02  0.256972E-02  0.306384E-02  0.488027E-02 -0.113972E+03
  0.396425E+02 -0.191055E+01  0.688212E+00  0.605326E+01  0.545493E+01  0.360066E+02 -0.208414E+01 -0.539256E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.302012E+00  0.786052E-02  0.423374E-02  0.255669E-02  0.517464E-02 -0.113929E+03
  0.396425E+02 -0.191055E+01  0.108357E+01  0.408529E+01  0.443626E+01  0.360066E+02 -0.198965E+01 -0.539256E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.302563E+00  0.744028E-02  0.276171E-02  0.153665E-02  0.591444E-02 -0.112509E+03
  0.396425E+02 -0.191055E+01  0.108357E+01  0.261925E+01  0.443626E+01  0.360066E+02 -0.198965E+01 -0.418939E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.305199E+00  0.627317E-02  0.344817E-02  0.402225E-02  0.516044E-02 -0.113348E+03
  0.396425E+02 -0.198854E+01  0.108357E+01  0.373177E+01  0.185850E+01  0.362658E+02 -0.248706E+01 -0.418939E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.305001E+00  0.525632E-02  0.263636E-02  0.241047E-02  0.498872E-02 -0.113664E+03
  0.396425E+02 -0.203892E+01  0.108357E+01 -0.242975E-01  0.425921E+01  0.362658E+02 -0.223432E+01 -0.418939E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.302026E+00  0.409951E-02  0.327847E-02  0.437177E-02  0.650968E-02 -0.113590E+03
  0.396425E+02 -0.203892E+01  0.108357E+01  0.359551E+01  0.425921E+01  0.360972E+02 -0.223432E+01 -0.434663E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.301972E+00  0.443491E-02  0.355802E-02  0.172167E-02  0.554577E-02 -0.112000E+03
  0.396425E+02 -0.203892E+01  0.108357E+01  0.136590E+01  0.313259E+01  0.360972E+02 -0.223432E+01 -0.268457E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.301972E+00  0.364128E-02  0.237347E-02  0.323340E-02  0.412808E-02 -0.112920E+03
  0.395506E+02 -0.203892E+01  0.108357E+01  0.673200E+01  0.325752E+01  0.360972E+02  0.146887E+01 -0.366035E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.300752E+00  0.417359E-02  0.479816E-02  0.287746E-02  0.376984E-02 -0.115959E+03
  0.397273E+02 -0.203892E+01  0.108357E+01  0.673200E+01  0.325752E+01  0.360972E+02 -0.205640E+01 -0.366035E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.301683E+00  0.387712E-02  0.610374E-02  0.287746E-02  0.403017E-02 -0.113912E+03
  0.397273E+02 -0.245405E+01  0.108357E+01  0.673200E+01  0.501788E+01  0.360972E+02 -0.915283E+00 -0.667259E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.303519E+00  0.273997E-02  0.682794E-02  0.325274E-02  0.332526E-02 -0.114126E+03
  0.397273E+02 -0.245405E+01  0.232886E+01  0.673200E+01  0.501788E+01  0.360972E+02  0.175007E+01 -0.995282E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.302666E+00  0.332803E-02  0.746637E-02  0.435835E-02  0.199652E-02 -0.113455E+03
  0.397273E+02 -0.245405E+01  0.232886E+01  0.673200E+01  0.501788E+01  0.360972E+02  0.175007E+01 -0.995282E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.300890E+00  0.434887E-02  0.644204E-02  0.513576E-02  0.174191E-02 -0.112974E+03
  0.393194E+02 -0.245405E+01  0.232886E+01  0.673200E+01  0.501788E+01  0.360972E+02  0.175007E+01 -0.995282E+01  0.186529E+02 -0.597459E+01 -0.758497E+01 -0.606664E+01  0.836740E+01  0.300347E+00  0.390250E-02  0.505136E-02  0.588520E-02  0.130400E-02 -0.113509E+03
