Kmin_a0        Kmin_a1        Kmin_a2        Kmin_a3        Kmin_a4        Kmin_a5        Kmin_a6        Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.312207E+02  -0.748318E+00  -0.610254E+01   0.955577E+01   0.779881E+01   0.198459E+01  -0.198856E+01   0.108488E-01   0.584764E-02   0.880585E-03   0.432118E-02   0.198728E-01  -0.851468E+03   0.153285E+02   0.000000E+00  -0.866796E+03   0.173359E+04
   0.308447E+02   0.791657E+00  -0.736417E+01   0.756236E+01   0.129177E+02   0.111311E+01  -0.117070E+01   0.263033E-01   0.804500E-02   0.461171E-02   0.353735E-01   0.761853E-03  -0.859439E+03   0.135415E+02   0.000000E+00  -0.872980E+03   0.174596E+04
   0.310779E+02   0.104249E+00  -0.628937E+01   0.571302E+01   0.103879E+02   0.456968E+01  -0.319450E+00   0.240219E-01   0.231980E-01   0.332462E-02   0.571843E-01   0.460829E-02  -0.856260E+03   0.958916E+01   0.000000E+00  -0.865849E+03   0.173170E+04
   0.305234E+02  -0.107505E+01  -0.684548E+01   0.810233E+01   0.912993E+01   0.639274E+01  -0.319450E+00   0.204880E-02   0.485970E-02   0.666511E-02   0.609597E-02   0.883298E-02  -0.849440E+03   0.157753E+02   0.000000E+00  -0.865215E+03   0.173043E+04
   0.306718E+02   0.127236E+00  -0.571474E+01   0.797502E+01   0.967959E+01   0.397790E+01  -0.210602E+01   0.192406E-01   0.537297E-02   0.520618E-02   0.416502E-03   0.328421E-02  -0.845992E+03   0.169927E+02   0.000000E+00  -0.862985E+03   0.172597E+04
   0.299683E+02   0.698339E+00  -0.378484E+01   0.703558E+01   0.848756E+01   0.562547E+01  -0.335342E+01   0.289412E-02   0.464794E-02   0.502143E-03   0.416502E-03   0.582029E-02  -0.845857E+03   0.172820E+02   0.000000E+00  -0.863139E+03   0.172628E+04
   0.299835E+02   0.698339E+00  -0.378283E+01   0.529191E+01   0.103410E+02   0.716802E+01  -0.465297E+01   0.241629E-02   0.151561E-01   0.502143E-03   0.270694E-01   0.106844E-01  -0.853298E+03   0.130795E+02   0.000000E+00  -0.866377E+03   0.173275E+04
   0.297160E+02   0.819904E+00  -0.773149E+01   0.574293E+01   0.991483E+01   0.313778E+01  -0.152306E+01   0.232917E-02   0.263322E-01   0.217460E-01   0.276773E-01   0.638934E-01  -0.862910E+03   0.445579E+01   0.000000E+00  -0.867366E+03   0.173473E+04
   0.300349E+02   0.819904E+00  -0.468208E+01   0.679914E+01   0.979387E+01   0.445164E+01  -0.187415E+01   0.132756E-01   0.192965E-01   0.221978E-02   0.844458E-02   0.663004E-01  -0.853308E+03   0.879455E+01   0.000000E+00  -0.862103E+03   0.172421E+04
   0.302726E+02  -0.426357E+00  -0.548707E+01   0.879125E+01   0.746540E+01   0.478501E+01  -0.195784E+01   0.118498E-01   0.279786E-01   0.841378E-02   0.392742E-02   0.482220E-02  -0.849685E+03   0.139065E+02   0.000000E+00  -0.863591E+03   0.172718E+04
