Kmin_a0       Kmin_a1       Kmin_a2       Kmin_a3       Kmin_a4       Kmin_a5       Kmin_a6       Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.306790E+02  0.236274E+00 -0.632288E+01  0.908904E+01  0.104904E+02  0.676830E+01 -0.180295E+01  0.426894E-02  0.242463E-02  0.187656E-01  0.988890E-02  0.636948E-02 -0.851021E+03
  0.306790E+02  0.236274E+00 -0.632288E+01  0.908904E+01  0.104904E+02  0.676830E+01 -0.180295E+01  0.417162E-02  0.286837E-02  0.185033E-01  0.931315E-02  0.581123E-02 -0.850922E+03
  0.310228E+02  0.236274E+00 -0.632288E+01  0.558121E+01  0.104904E+02  0.676830E+01 -0.180295E+01  0.449174E-02  0.194862E-02  0.181619E-01  0.109489E-01  0.647414E-02 -0.850197E+03
  0.310228E+02  0.236274E+00 -0.632288E+01  0.597198E+01  0.104904E+02  0.477805E+01 -0.180295E+01  0.649874E-02  0.832198E-03  0.155182E-01  0.112229E-01  0.509499E-02 -0.849422E+03
  0.310228E+02  0.236274E+00 -0.632288E+01  0.597198E+01  0.104904E+02  0.425294E+01 -0.128564E+01  0.678099E-02  0.130845E-02  0.148975E-01  0.108289E-01  0.472729E-02 -0.849762E+03
  0.310228E+02  0.236274E+00 -0.566205E+01  0.815493E+01  0.104904E+02  0.425294E+01 -0.839838E+00  0.718337E-02  0.191505E-02  0.156483E-01  0.101863E-01  0.354472E-02 -0.847762E+03
  0.310756E+02  0.236274E+00 -0.566205E+01  0.815493E+01  0.104904E+02  0.425294E+01 -0.839838E+00  0.632427E-02  0.213538E-02  0.150634E-01  0.917877E-02  0.292608E-02 -0.847773E+03
  0.310756E+02  0.236274E+00 -0.441116E+01  0.815493E+01  0.104904E+02  0.387838E+01  0.450716E+00  0.659121E-02  0.103931E-02  0.159193E-01  0.894031E-02  0.353086E-02 -0.848650E+03
  0.310756E+02  0.236274E+00 -0.441116E+01  0.885352E+01  0.104904E+02  0.387838E+01  0.450716E+00  0.684774E-02  0.264392E-02  0.176437E-01  0.964874E-02  0.217116E-02 -0.848926E+03
  0.310756E+02  0.236274E+00 -0.441116E+01  0.885352E+01  0.104904E+02  0.387838E+01  0.450716E+00  0.651822E-02  0.284190E-02  0.164089E-01  0.101697E-01  0.197959E-02 -0.848863E+03
  0.310756E+02  0.236274E+00 -0.441116E+01  0.801737E+01  0.104904E+02  0.387838E+01  0.450716E+00  0.724837E-02  0.284190E-02  0.144167E-01  0.760652E-02  0.244309E-02 -0.848452E+03
  0.310756E+02  0.236274E+00 -0.441116E+01  0.801737E+01  0.111731E+02  0.225086E+01  0.450716E+00  0.769574E-02  0.308151E-02  0.145831E-01  0.678942E-02  0.231345E-02 -0.849963E+03
  0.310756E+02  0.236274E+00 -0.594620E+01  0.801737E+01  0.111731E+02  0.225086E+01  0.450716E+00  0.616063E-02  0.416542E-02  0.145831E-01  0.700394E-02  0.185214E-02 -0.849968E+03
  0.300622E+02  0.236274E+00 -0.594620E+01  0.801737E+01  0.860908E+01  0.225086E+01  0.450716E+00  0.697163E-02  0.485136E-02  0.138676E-01  0.858012E-02  0.164572E-02 -0.847784E+03
  0.300622E+02  0.236274E+00 -0.250914E+01  0.725785E+01  0.860908E+01  0.328215E+01  0.450716E+00  0.782934E-02  0.555535E-02  0.131304E-01  0.105974E-01  0.168162E-02 -0.848649E+03
  0.300622E+02  0.236274E+00 -0.250914E+01  0.725785E+01  0.860908E+01  0.328215E+01  0.450716E+00  0.756009E-02  0.555535E-02  0.116741E-01  0.112578E-01  0.221797E-03 -0.848434E+03
  0.300622E+02  0.567707E+00 -0.250914E+01  0.843105E+01  0.860908E+01  0.328215E+01  0.148784E+01  0.761698E-02  0.425334E-02  0.107265E-01  0.108918E-01  0.144240E-02 -0.848700E+03
  0.300622E+02  0.567707E+00 -0.757595E+01  0.703739E+01  0.888083E+01  0.660410E+01  0.148784E+01  0.728918E-02  0.485090E-02  0.109550E-01  0.121060E-01  0.169268E-02 -0.850881E+03
  0.300622E+02  0.567707E+00 -0.186206E+01  0.703739E+01  0.888083E+01  0.673603E+01  0.222513E+01  0.747865E-02  0.433667E-02  0.115996E-01  0.120781E-01  0.271763E-02 -0.850628E+03
  0.300622E+02  0.567707E+00 -0.186206E+01  0.703739E+01  0.888083E+01  0.673603E+01  0.222513E+01  0.716774E-02  0.241948E-02  0.117390E-01  0.123368E-01  0.271983E-02 -0.850481E+03
  0.300622E+02  0.567707E+00 -0.186206E+01  0.703739E+01  0.888083E+01  0.673603E+01  0.862427E+00  0.788401E-02  0.845737E-03  0.121266E-01  0.107898E-01  0.302629E-02 -0.849540E+03
  0.300622E+02  0.945016E+00 -0.177471E+01  0.703739E+01  0.888083E+01  0.673603E+01  0.862427E+00  0.774983E-02  0.172437E-02  0.116402E-01  0.101307E-01  0.339945E-02 -0.849876E+03
  0.300622E+02  0.889215E+00 -0.177471E+01  0.703739E+01  0.102591E+02  0.673603E+01  0.862427E+00  0.919123E-02  0.155027E-02  0.105204E-01  0.104929E-01  0.437001E-02 -0.850533E+03
  0.300622E+02  0.889215E+00 -0.177471E+01  0.654818E+01  0.760042E+01  0.673603E+01 -0.180274E+01  0.864897E-02  0.819519E-03  0.105204E-01  0.982307E-02  0.450036E-02 -0.850416E+03
  0.300622E+02  0.889215E+00 -0.177471E+01  0.654818E+01  0.760042E+01  0.401061E+01 -0.180274E+01  0.786828E-02  0.744661E-03  0.125166E-01  0.109332E-01  0.528382E-02 -0.851054E+03
  0.295949E+02  0.889215E+00 -0.124807E+01  0.654818E+01  0.760042E+01  0.335526E+01 -0.679180E+00  0.961267E-02  0.129242E-02  0.136515E-01  0.105365E-01  0.566381E-02 -0.852147E+03
  0.295949E+02  0.889215E+00 -0.124807E+01  0.630009E+01  0.760042E+01  0.432290E+01  0.102683E+00  0.786751E-02  0.113258E-02  0.130970E-01  0.930056E-02  0.635337E-02 -0.851840E+03
  0.296219E+02  0.889215E+00 -0.609247E+01  0.535700E+01  0.760042E+01  0.432290E+01  0.102683E+00  0.775978E-02  0.240645E-03  0.136201E-01  0.101374E-01  0.395856E-02 -0.850238E+03
  0.296092E+02  0.889215E+00 -0.391421E+01  0.535700E+01  0.760042E+01  0.432290E+01  0.102683E+00  0.869805E-02  0.240645E-03  0.129230E-01  0.112126E-01  0.341323E-02 -0.848812E+03
  0.296092E+02  0.889215E+00 -0.391421E+01  0.535700E+01  0.760042E+01  0.875092E+01  0.102683E+00  0.803215E-02  0.240645E-03  0.116446E-01  0.989226E-02  0.270100E-02 -0.849356E+03
  0.296092E+02  0.889215E+00 -0.391421E+01  0.676658E+01  0.760042E+01  0.732366E+01 -0.168762E+01  0.786499E-02  0.601297E-03  0.127979E-01  0.763295E-02  0.200517E-02 -0.847572E+03
  0.296092E+02  0.889215E+00 -0.391421E+01  0.676658E+01  0.699516E+01  0.472746E+01 -0.168762E+01  0.743818E-02  0.601297E-03  0.163225E-01  0.877876E-02  0.173495E-02 -0.847623E+03
  0.296092E+02  0.889215E+00 -0.391421E+01  0.676658E+01  0.699516E+01  0.599941E+01 -0.773823E+00  0.744723E-02  0.601297E-03  0.160555E-01  0.852972E-02  0.161920E-02 -0.847401E+03
  0.296092E+02  0.889215E+00 -0.391421E+01  0.647053E+01  0.699516E+01  0.490115E+01 -0.773823E+00  0.964199E-02  0.231223E-02  0.157291E-01  0.898063E-02  0.312611E-02 -0.847896E+03
  0.296092E+02  0.889215E+00 -0.391421E+01  0.647053E+01  0.699516E+01  0.490115E+01 -0.773823E+00  0.884788E-02  0.231223E-02  0.172818E-01  0.769686E-02  0.375617E-02 -0.847977E+03
  0.296295E+02  0.889215E+00 -0.391421E+01  0.647053E+01  0.699516E+01  0.490115E+01 -0.223570E+01  0.957786E-02  0.119229E-02  0.183364E-01  0.683958E-02  0.255927E-02 -0.848038E+03
  0.296295E+02  0.568784E+00 -0.391421E+01  0.647053E+01  0.699516E+01  0.490115E+01 -0.233015E+01  0.886273E-02  0.470842E-03  0.198518E-01  0.596085E-02  0.296561E-02 -0.847768E+03
  0.296295E+02  0.568784E+00 -0.391421E+01  0.647053E+01  0.699516E+01  0.490115E+01 -0.233015E+01  0.862486E-02  0.163661E-02  0.204565E-01  0.610054E-02  0.279703E-02 -0.847940E+03
  0.298365E+02  0.568784E+00 -0.391421E+01  0.647053E+01  0.699516E+01  0.490115E+01 -0.233015E+01  0.774506E-02  0.245712E-02  0.205741E-01  0.533517E-02  0.262146E-02 -0.847825E+03
  0.298365E+02  0.568784E+00 -0.391421E+01  0.774500E+01  0.699516E+01  0.490115E+01 -0.233015E+01  0.814532E-02  0.252299E-02  0.194867E-01  0.539338E-02  0.143184E-02 -0.847629E+03
  0.298365E+02  0.568784E+00 -0.391421E+01  0.774500E+01  0.699516E+01  0.293347E+01  0.200755E+01  0.817987E-02  0.222841E-02  0.196065E-01  0.486078E-02  0.266195E-03 -0.848857E+03
