Km_SU1_Rh_a0   Km_SU1_Rh_a1   Km_SU1_Rh_a2   Km_SU1_Rh_a3   Km_SU1_Rh_a4   Km_SU2_Rh_a0   Km_SU2_Rh_a1   Km_SU1_Ai_a0   Km_SU1_Ai_a1   Km_SU1_Ai_a2   Km_SU1_Ai_a3   Km_SU1_Ai_a4   Km_SU2_Ai_a0   Km_SU2_Ai_a1   Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.402147E+02   0.245194E+00   0.254636E+01   0.817450E+01   0.725948E+01   0.367206E+02   0.101903E+02   0.223671E+02  -0.920883E+01  -0.103116E+02  -0.175321E+01   0.109513E+02   0.384446E+02  -0.701191E+01   0.117623E+00   0.421107E-02   0.156093E-01   0.127623E-01   0.239764E-01   0.611772E+02
   0.402147E+02   0.245194E+00   0.254636E+01   0.817450E+01   0.725948E+01   0.368036E+02   0.101903E+02   0.223107E+02  -0.920883E+01  -0.103116E+02  -0.175321E+01   0.109513E+02   0.367636E+02  -0.701544E+01   0.117952E+00   0.363985E-02   0.150645E-01   0.123842E-01   0.219841E-01   0.620324E+02
   0.402147E+02   0.245194E+00   0.254636E+01   0.817450E+01   0.738227E+01   0.368036E+02   0.101903E+02   0.223107E+02  -0.920883E+01  -0.103116E+02  -0.175321E+01   0.109513E+02   0.459501E+02  -0.848478E+00   0.118757E+00   0.342687E-02   0.152312E-01   0.110897E-01   0.213379E-01   0.652505E+02
   0.402147E+02   0.245194E+00   0.254636E+01   0.817450E+01   0.738227E+01   0.369471E+02   0.109287E+02   0.223107E+02  -0.920883E+01  -0.103116E+02  -0.274165E+01   0.109513E+02   0.555105E+02   0.950266E+01   0.118398E+00   0.397248E-02   0.170546E-01   0.123776E-01   0.223332E-01   0.645341E+02
   0.402147E+02   0.245194E+00   0.254636E+01   0.817450E+01   0.738227E+01   0.369471E+02   0.109287E+02   0.223107E+02  -0.920883E+01  -0.103116E+02  -0.274165E+01   0.109819E+02   0.571527E+02   0.571512E+01   0.118398E+00   0.205491E-02   0.190230E-01   0.120238E-01   0.232164E-01   0.644887E+02
   0.402147E+02   0.245194E+00   0.254636E+01   0.817450E+01   0.568756E+01   0.367356E+02   0.109287E+02   0.223107E+02  -0.920883E+01  -0.103116E+02  -0.274165E+01   0.108516E+02   0.598424E+02   0.530132E+01   0.118398E+00   0.292369E-02   0.195630E-01   0.132513E-01   0.235921E-01   0.648994E+02
   0.402147E+02   0.245194E+00   0.254636E+01   0.817450E+01   0.568756E+01   0.367356E+02   0.109287E+02   0.223107E+02  -0.920883E+01  -0.103116E+02  -0.274165E+01   0.111620E+02   0.555737E+02   0.128859E+02   0.118398E+00   0.413686E-02   0.185576E-01   0.129616E-01   0.225275E-01   0.653938E+02
   0.402147E+02   0.721647E+00   0.254636E+01   0.729661E+01   0.568756E+01   0.367356E+02   0.109287E+02   0.226930E+02  -0.920883E+01  -0.103116E+02  -0.274165E+01   0.105748E+02   0.497203E+02   0.442322E+01   0.118398E+00   0.627946E-02   0.191356E-01   0.141109E-01   0.216273E-01   0.645688E+02
   0.402147E+02   0.721647E+00   0.254636E+01   0.729661E+01   0.568756E+01   0.367356E+02   0.109287E+02   0.229581E+02  -0.920883E+01  -0.103116E+02  -0.246937E+01   0.105748E+02   0.475112E+02  -0.154934E+01   0.118627E+00   0.664437E-02   0.191909E-01   0.155097E-01   0.207518E-01   0.644679E+02
   0.402147E+02   0.721647E+00   0.254636E+01   0.729661E+01   0.568756E+01   0.372134E+02   0.975204E+01   0.229581E+02  -0.920883E+01  -0.103116E+02  -0.246937E+01   0.120649E+02   0.509208E+02  -0.273473E+01   0.119459E+00   0.650833E-02   0.168094E-01   0.153656E-01   0.207518E-01   0.674327E+02
   0.402147E+02   0.721647E+00   0.254636E+01   0.729661E+01   0.568756E+01   0.372134E+02   0.975204E+01   0.229581E+02  -0.920883E+01  -0.103116E+02  -0.393786E+01   0.120649E+02   0.487565E+02  -0.410412E+01   0.119549E+00   0.590762E-02   0.151647E-01   0.152200E-01   0.207747E-01   0.674645E+02
   0.402147E+02   0.721647E+00   0.254636E+01   0.775765E+01   0.708593E+01   0.372134E+02   0.784185E+01   0.229581E+02  -0.920883E+01  -0.103116E+02  -0.393786E+01   0.120649E+02   0.455328E+02  -0.243366E+01   0.120190E+00   0.413941E-02   0.166285E-01   0.149979E-01   0.219453E-01   0.679802E+02
   0.402147E+02   0.721647E+00   0.254636E+01   0.775765E+01   0.708593E+01   0.372134E+02   0.784185E+01   0.229581E+02  -0.920883E+01  -0.103116E+02  -0.393786E+01   0.120649E+02   0.565584E+02  -0.880997E+01   0.121171E+00   0.289214E-02   0.178681E-01   0.153310E-01   0.226901E-01   0.714094E+02
   0.402147E+02  -0.923657E-02   0.254636E+01   0.775765E+01   0.708593E+01   0.366983E+02   0.784185E+01   0.229430E+02  -0.920883E+01  -0.103116E+02  -0.393786E+01   0.140291E+02   0.541175E+02   0.220199E+01   0.122199E+00   0.201262E-02   0.193876E-01   0.160632E-01   0.194174E-01   0.753801E+02
   0.402147E+02  -0.923657E-02   0.254636E+01   0.775765E+01   0.708593E+01   0.366983E+02   0.784185E+01   0.229430E+02  -0.920883E+01  -0.106711E+02  -0.393786E+01   0.138876E+02   0.511772E+02   0.405208E+01   0.122744E+00   0.142065E-02   0.209062E-01   0.166054E-01   0.201608E-01   0.789824E+02
   0.402147E+02  -0.923657E-02   0.254636E+01   0.775765E+01   0.708593E+01   0.366983E+02   0.784185E+01   0.229430E+02  -0.920883E+01  -0.106711E+02  -0.393786E+01   0.138876E+02   0.597473E+02   0.516462E+01   0.122744E+00   0.302161E-02   0.200332E-01   0.153024E-01   0.218237E-01   0.788737E+02
   0.402147E+02  -0.133331E+00   0.254636E+01   0.698536E+01   0.708593E+01   0.367732E+02   0.784185E+01   0.229430E+02  -0.920883E+01  -0.106711E+02  -0.393786E+01   0.127129E+02   0.575960E+02   0.538039E+01   0.122744E+00   0.360715E-02   0.227003E-01   0.149108E-01   0.214296E-01   0.792314E+02
   0.404055E+02  -0.133331E+00   0.254636E+01   0.698536E+01   0.708593E+01   0.367732E+02   0.784185E+01   0.229430E+02  -0.920883E+01  -0.106711E+02  -0.393786E+01   0.127129E+02   0.653700E+02   0.514668E+01   0.122744E+00   0.289738E-02   0.255416E-01   0.147787E-01   0.237771E-01   0.783298E+02
   0.399441E+02  -0.133331E+00   0.254636E+01   0.536603E+01   0.708593E+01   0.367732E+02   0.784185E+01   0.229430E+02  -0.920883E+01  -0.106711E+02  -0.393786E+01   0.127129E+02   0.646784E+02  -0.104920E+02   0.124198E+00   0.269735E-02   0.258937E-01   0.147787E-01   0.227992E-01   0.811146E+02
