a0_min         a1_min         Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   LogPost        LogPrior       LogHyper       LogLkh         Deviance       
   0.101286E+03   0.148914E+01   0.698228E-03   0.406346E-03   0.116632E-03   0.154034E-02   0.190003E+03   0.000000E+00   0.000000E+00   0.190003E+03  -0.380006E+03
   0.101286E+03   0.148914E+01   0.698228E-03   0.406346E-03   0.116632E-03   0.154034E-02   0.190003E+03   0.000000E+00   0.000000E+00   0.190003E+03  -0.380006E+03
   0.101286E+03   0.249061E+01   0.698228E-03   0.162022E-04   0.116632E-03   0.154034E-02   0.191221E+03   0.000000E+00   0.000000E+00   0.191221E+03  -0.382442E+03
   0.101286E+03   0.249061E+01   0.652576E-03   0.162022E-04   0.116632E-03   0.171465E-02   0.191103E+03   0.000000E+00   0.000000E+00   0.191103E+03  -0.382206E+03
   0.101286E+03   0.249061E+01   0.652576E-03   0.162022E-04   0.116632E-03   0.171465E-02   0.191103E+03   0.000000E+00   0.000000E+00   0.191103E+03  -0.382206E+03
   0.101286E+03  -0.585893E+00   0.149454E-02   0.162022E-04   0.116632E-03   0.171465E-02   0.187730E+03   0.000000E+00   0.000000E+00   0.187730E+03  -0.375460E+03
   0.101286E+03   0.269213E+01   0.149454E-02   0.162022E-04   0.116632E-03   0.171465E-02   0.187675E+03   0.000000E+00   0.000000E+00   0.187675E+03  -0.375350E+03
   0.101593E+03   0.269213E+01   0.150358E-02   0.162022E-04   0.116632E-03   0.171465E-02   0.187234E+03   0.000000E+00   0.000000E+00   0.187234E+03  -0.374468E+03
   0.999203E+02   0.269213E+01   0.150358E-02   0.162022E-04   0.350226E-03   0.171465E-02   0.185141E+03   0.000000E+00   0.000000E+00   0.185141E+03  -0.370282E+03
   0.999203E+02   0.308983E+01   0.254654E-03   0.162022E-04   0.350226E-03   0.171465E-02   0.189505E+03   0.000000E+00   0.000000E+00   0.189505E+03  -0.379010E+03
   0.103149E+03   0.308983E+01   0.254654E-03   0.162022E-04   0.350226E-03   0.218305E-02   0.184149E+03   0.000000E+00   0.000000E+00   0.184149E+03  -0.368298E+03
   0.103149E+03   0.308983E+01   0.254654E-03   0.162022E-04   0.350226E-03   0.218305E-02   0.184149E+03   0.000000E+00   0.000000E+00   0.184149E+03  -0.368298E+03
   0.103149E+03   0.308983E+01   0.186755E-03   0.162022E-04   0.350226E-03   0.191278E-02   0.184645E+03   0.000000E+00   0.000000E+00   0.184645E+03  -0.369290E+03
