a0_min        a1_min        Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  LogPost       
  0.100873E+03  0.387077E-01  0.683459E-03  0.980230E-03  0.103707E-03  0.856517E-03  0.186759E+03
  0.100873E+03  0.387077E-01  0.683459E-03  0.980230E-03  0.103707E-03  0.856517E-03  0.186759E+03
  0.100873E+03 -0.355886E+01  0.282793E-03  0.980230E-03  0.103707E-03  0.856517E-03  0.186533E+03
  0.100873E+03 -0.355886E+01  0.282793E-03  0.980230E-03  0.103707E-03  0.856517E-03  0.186533E+03
  0.100873E+03  0.834204E+00  0.282793E-03  0.980230E-03  0.103707E-03  0.856517E-03  0.187889E+03
  0.100991E+03 -0.219940E+01  0.282793E-03  0.980230E-03  0.103707E-03  0.856517E-03  0.187186E+03
  0.100991E+03 -0.219940E+01  0.282793E-03  0.980230E-03  0.103707E-03  0.856517E-03  0.187186E+03
  0.100991E+03 -0.219940E+01  0.282793E-03  0.368289E-03  0.103707E-03  0.856517E-03  0.189959E+03
  0.100991E+03 -0.219940E+01  0.282793E-03  0.368289E-03  0.103707E-03  0.113521E-02  0.190797E+03
  0.100991E+03  0.208459E+01  0.282793E-03  0.368289E-03  0.103707E-03  0.113521E-02  0.191970E+03
  0.100991E+03 -0.216511E+01  0.282793E-03  0.368289E-03  0.103707E-03  0.113521E-02  0.190826E+03
  0.100991E+03 -0.216511E+01  0.282793E-03  0.221770E-03  0.103707E-03  0.113521E-02  0.191163E+03
  0.102298E+03 -0.216511E+01  0.282793E-03  0.221770E-03  0.103707E-03  0.113521E-02  0.188104E+03
  0.102298E+03 -0.216511E+01  0.282793E-03  0.221770E-03  0.103707E-03  0.165252E-02  0.188234E+03
  0.102298E+03  0.259738E+01  0.282793E-03  0.221770E-03  0.103707E-03  0.165252E-02  0.188919E+03
  0.102298E+03  0.259738E+01  0.282793E-03  0.221770E-03  0.103707E-03  0.165252E-02  0.188919E+03
  0.102298E+03  0.259738E+01  0.282793E-03  0.221770E-03  0.103707E-03  0.165252E-02  0.188919E+03
  0.102298E+03  0.118120E+01  0.282793E-03  0.221770E-03  0.103707E-03  0.165252E-02  0.189280E+03
  0.102298E+03  0.118120E+01  0.282793E-03  0.221770E-03  0.103707E-03  0.165252E-02  0.189280E+03
  0.102298E+03  0.471764E+00  0.282793E-03  0.221770E-03  0.103707E-03  0.165252E-02  0.189282E+03
  0.102298E+03  0.471764E+00  0.282793E-03  0.221770E-03  0.103707E-03  0.285372E-02  0.186989E+03
  0.102298E+03  0.471764E+00  0.282793E-03  0.221770E-03  0.103707E-03  0.285372E-02  0.186989E+03
  0.102298E+03  0.471764E+00  0.282793E-03  0.221770E-03  0.103707E-03  0.285372E-02  0.186989E+03
  0.102298E+03  0.471764E+00  0.282793E-03  0.221770E-03  0.103707E-03  0.285372E-02  0.186989E+03
  0.102298E+03  0.471764E+00  0.282793E-03  0.221770E-03  0.103707E-03  0.285372E-02  0.186989E+03
  0.102298E+03  0.471764E+00  0.282793E-03  0.221770E-03  0.103707E-03  0.285372E-02  0.186989E+03
  0.102298E+03  0.471764E+00  0.282793E-03  0.221770E-03  0.103707E-03  0.189462E-02  0.188916E+03
  0.102298E+03  0.845128E+00  0.282793E-03  0.221770E-03  0.103707E-03  0.189462E-02  0.188930E+03
  0.102298E+03 -0.461874E+01  0.282793E-03  0.221770E-03  0.103707E-03  0.189462E-02  0.185396E+03
  0.102298E+03  0.315867E+00  0.282793E-03  0.221770E-03  0.103707E-03  0.189462E-02  0.188899E+03
  0.102298E+03  0.271188E+01  0.282793E-03  0.221770E-03  0.310760E-03  0.189462E-02  0.188443E+03
  0.102298E+03  0.271188E+01  0.575792E-03  0.221770E-03  0.310760E-03  0.189462E-02  0.187719E+03
  0.102298E+03  0.271188E+01  0.575792E-03  0.221770E-03  0.310760E-03  0.189462E-02  0.187719E+03
  0.102298E+03  0.271188E+01  0.575792E-03  0.221770E-03  0.310760E-03  0.189462E-02  0.187719E+03
  0.102298E+03  0.271188E+01  0.575792E-03  0.221770E-03  0.310760E-03  0.189462E-02  0.187719E+03
  0.102298E+03  0.279154E+01  0.575792E-03  0.221770E-03  0.310760E-03  0.189462E-02  0.187694E+03
  0.100931E+03  0.279154E+01  0.575792E-03  0.221770E-03  0.310760E-03  0.189462E-02  0.189951E+03
  0.100931E+03  0.279154E+01  0.575792E-03  0.221770E-03  0.310760E-03  0.189462E-02  0.189951E+03
  0.100931E+03  0.279154E+01  0.575792E-03  0.221770E-03  0.310760E-03  0.189462E-02  0.189951E+03
  0.100931E+03  0.279154E+01  0.575792E-03  0.221770E-03  0.310760E-03  0.189462E-02  0.189951E+03
