Kmin_a0       Kmin_a1       Kmin_a2       Kmin_a3       Kmin_a4       Kmin_a5       Kmin_a6       Kmin_a7       Kmin_a8       Kmin_a9       Kmin_a10      Y1_intercept  Y2_intercept  Y3_intercept  Y4_intercept  Y5_intercept  LogPost       
  0.305964E+02  0.232758E+01 -0.375624E+01  0.422782E+01  0.871424E+01  0.625071E+01  0.507960E+01 -0.709190E+01 -0.213916E+01 -0.153056E+02  0.479290E+01  0.268367E-02  0.133806E-01  0.618040E-02  0.479196E-02  0.125111E-01 -0.823614E+03
  0.305964E+02  0.132627E+01 -0.375624E+01  0.422782E+01  0.871424E+01  0.625071E+01  0.507960E+01 -0.709190E+01 -0.213916E+01 -0.137866E+02  0.496712E+01  0.248248E-02  0.149101E-01  0.436108E-02  0.392361E-02  0.129915E-01 -0.820859E+03
  0.305964E+02  0.132627E+01 -0.375624E+01  0.422782E+01  0.871424E+01  0.697854E+01  0.507960E+01 -0.709190E+01 -0.250915E+01 -0.152557E+02  0.496712E+01  0.221813E-02  0.153701E-01  0.423869E-02  0.286159E-02  0.142649E-01 -0.821572E+03
  0.305964E+02  0.132627E+01 -0.375624E+01  0.422782E+01  0.899293E+01  0.442139E+01  0.507960E+01 -0.860761E+01 -0.250915E+01 -0.994056E+01  0.496712E+01  0.179316E-02  0.145763E-01  0.359912E-02  0.203085E-02  0.152702E-01 -0.821309E+03
  0.305964E+02  0.132627E+01 -0.375624E+01  0.422782E+01  0.964638E+01  0.442139E+01  0.732228E+01 -0.760434E+01 -0.250915E+01 -0.994056E+01  0.496712E+01  0.905143E-03  0.140199E-01  0.317826E-02  0.646650E-03  0.136071E-01 -0.824100E+03
  0.305964E+02  0.132627E+01 -0.375624E+01  0.422782E+01  0.964638E+01  0.508222E+01  0.732228E+01 -0.760434E+01 -0.250915E+01 -0.994056E+01  0.697899E+01  0.151175E-02  0.147707E-01  0.253563E-02  0.646650E-03  0.142654E-01 -0.823965E+03
  0.305964E+02  0.132627E+01 -0.375624E+01  0.422782E+01  0.964638E+01  0.508222E+01  0.732228E+01 -0.760434E+01 -0.250915E+01 -0.148408E+02  0.662427E+01  0.179043E-02  0.160393E-01  0.382405E-02  0.646650E-03  0.135588E-01 -0.824117E+03
  0.305964E+02  0.951707E+00 -0.375624E+01  0.556249E+01  0.964638E+01  0.508222E+01  0.613001E+01 -0.458044E+01 -0.250915E+01 -0.148408E+02  0.662427E+01  0.101551E-03  0.161833E-01  0.430982E-02  0.181679E-02  0.134394E-01 -0.823286E+03
  0.305964E+02  0.951707E+00 -0.375624E+01  0.556249E+01  0.964638E+01  0.508222E+01  0.613001E+01 -0.458044E+01 -0.250915E+01 -0.148408E+02  0.662427E+01  0.106869E-02  0.173771E-01  0.202195E-02  0.106886E-02  0.129127E-01 -0.823065E+03
  0.305964E+02  0.951707E+00 -0.375624E+01  0.574918E+01  0.964638E+01  0.508222E+01  0.613001E+01 -0.458044E+01 -0.250915E+01 -0.175727E+02  0.662427E+01  0.125717E-02  0.190876E-01  0.971791E-03  0.275882E-02  0.130493E-01 -0.825592E+03
  0.305964E+02  0.951707E+00 -0.375624E+01  0.574918E+01  0.964638E+01  0.508222E+01  0.548178E+01 -0.458044E+01 -0.879526E+00 -0.175727E+02  0.534659E+01  0.199451E-02  0.205125E-01  0.971791E-03  0.437107E-02  0.137465E-01 -0.826246E+03
  0.305964E+02  0.951707E+00 -0.415272E+01  0.574918E+01  0.964638E+01  0.508222E+01  0.548178E+01 -0.458044E+01 -0.405156E+01 -0.128261E+02  0.534659E+01  0.136866E-02  0.191862E-01  0.971791E-03  0.594725E-02  0.135401E-01 -0.822267E+03
  0.307273E+02  0.951707E+00 -0.415272E+01  0.498966E+01  0.790749E+01  0.611351E+01  0.548178E+01 -0.458044E+01 -0.405156E+01 -0.128261E+02  0.534659E+01  0.140456E-02  0.175624E-01  0.108317E-02  0.650132E-02  0.132409E-01 -0.821627E+03
  0.307273E+02  0.951707E+00 -0.415272E+01  0.498966E+01  0.790749E+01  0.611351E+01  0.548178E+01 -0.458044E+01 -0.405156E+01 -0.124946E+02  0.680862E+01  0.163920E-02  0.176816E-01  0.236907E-04  0.670874E-02  0.132978E-01 -0.821207E+03
  0.307273E+02  0.951707E+00 -0.598306E+01  0.498966E+01  0.790749E+01  0.611351E+01  0.414969E+00 -0.597410E+01 -0.377982E+01 -0.917270E+01  0.680862E+01  0.131140E-02  0.182792E-01  0.252198E-03  0.792302E-02  0.135481E-01 -0.821138E+03
  0.307273E+02  0.951707E+00 -0.598306E+01  0.498966E+01  0.790749E+01  0.624544E+01  0.115226E+01 -0.597410E+01 -0.377982E+01 -0.917270E+01  0.666895E+01  0.233635E-02  0.174630E-01  0.252198E-03  0.817897E-02  0.122808E-01 -0.820510E+03
