Kmin_a0        Kmin_a1        Kmin_a2        Kmin_a3        Kmin_a4        Kmin_a5        Kmin_a6        Kmin_a7        Kmin_a8        Kmin_a9        Kmin_a10       Y1_intercept   Y2_intercept   Y3_intercept   Y4_intercept   Y5_intercept   LogPost        
   0.310975E+02   0.913586E+00  -0.482970E+01   0.722245E+01   0.794783E+01   0.371842E+01   0.398715E+01  -0.902901E+01  -0.272449E+00  -0.874492E+01   0.497752E+01   0.447694E-02   0.246804E-01   0.508053E-04   0.274185E-02   0.332984E-02  -0.822203E+03
   0.305038E+02   0.180504E+01  -0.336977E+01   0.640173E+01   0.642393E+01   0.437688E+01   0.701350E+01  -0.902901E+01  -0.328997E+01  -0.915918E+01   0.522362E+01   0.273081E-03   0.190604E-01   0.391798E-03   0.552888E-02   0.760436E-02  -0.823702E+03
   0.305631E+02   0.203403E+00  -0.399234E+01   0.695353E+01   0.655904E+01   0.471603E+01   0.445266E+01  -0.648368E+01  -0.362675E+01  -0.773078E+01   0.550376E+01   0.429958E-03   0.997934E-02   0.212815E-03   0.552888E-02   0.169023E-01  -0.822246E+03
   0.305631E+02   0.953861E+00  -0.490572E+01   0.302580E+01   0.715922E+01   0.600035E+01   0.116346E+01  -0.939930E+01  -0.212446E+01  -0.135073E+02   0.321966E+01   0.148746E-01   0.567080E-02   0.212815E-03   0.506301E-02   0.224822E-02  -0.822569E+03
   0.308800E+02   0.638336E+00  -0.490572E+01   0.713374E+01   0.628518E+01   0.334014E+01   0.383370E+01  -0.781583E+01  -0.242126E+01  -0.120074E+02   0.650028E+01   0.712163E-02   0.916095E-03   0.472931E-02   0.164414E-01   0.460725E-02  -0.820907E+03
   0.312520E+02   0.615614E+00  -0.459729E+01   0.536761E+01   0.847354E+01   0.792408E+01   0.223064E+01  -0.728523E+01  -0.151723E+01  -0.104201E+02   0.422044E+01   0.463574E-02   0.142765E-01   0.112566E-01   0.163603E-02   0.292048E-01  -0.822877E+03
   0.318864E+02   0.615614E+00  -0.624442E+01   0.528092E+01   0.831912E+01   0.711679E+01   0.374099E+01  -0.969225E+01  -0.435232E+01  -0.109950E+02   0.257098E+01   0.669627E-02   0.133186E-01   0.146714E-01   0.318280E-02   0.325172E-02  -0.822628E+03
   0.317545E+02   0.739292E+00  -0.670536E+01   0.711151E+01   0.878375E+01   0.243502E+01  -0.542030E+00  -0.100442E+02  -0.318542E+01  -0.834798E+01   0.331762E+01   0.387225E-02   0.542083E-02   0.512520E-02   0.254960E-02   0.254043E-01  -0.826600E+03
   0.318099E+02  -0.367811E+00  -0.662829E+01   0.391247E+01   0.838420E+01   0.748286E+01   0.129982E+01  -0.862319E+01  -0.352071E+01  -0.105144E+02   0.603735E+01   0.790223E-02   0.109575E-01   0.761465E-02   0.156004E-02   0.273744E-01  -0.826349E+03
   0.311904E+02   0.295126E+01  -0.446585E+01   0.450797E+01   0.885270E+01   0.439112E+01   0.293772E+01  -0.871655E+01  -0.434415E+01  -0.108831E+02   0.672930E+01   0.553925E-02   0.406090E-02   0.151722E-01   0.150661E-02   0.557407E-02  -0.821085E+03
   0.308390E+02   0.916846E+00  -0.309954E+01   0.569346E+01   0.753082E+01   0.356179E+01   0.414153E+01  -0.640877E+01  -0.710195E+01  -0.129622E+02   0.636877E+01   0.760222E-02   0.992149E-03   0.171935E-01   0.458706E-02   0.117943E-01  -0.822431E+03
